"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","BCG","78.0","78.0","78.0","76.0","74.0","72.0","78.0","71.0","68.0","64.0","66.0","60.0","60.0","57.0","51.0","44.0","46.0","43.0","30.0","38.0","35.0","43.0","47.0","31.0","15.0","17.0","19.0","21.0","30.0","38.0","40.0","27.0","18.0","17.0","11.0","10.0","10.0","",""
"Eastern Europe & Central Asia","ALB","Albania","BCG","99.0","99.0","99.0","99.0","99.0","99.0","96.0","97.0","99.0","97.0","99.0","98.0","97.0","98.0","97.0","95.0","94.0","93.0","93.0","93.0","87.0","94.0","94.0","97.0","87.0","82.0","81.0","80.0","94.0","94.0","92.0","92.0","92.0","92.0","90.0","90.0","92.0","93.0","93.0"
"Middle East & North Africa","DZA","Algeria","BCG","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","98.0","97.0","97.0","97.0","95.0","94.0","94.0","93.0","93.0","95.0","97.0","98.0","99.0","96.0","96.0","93.0","88.0","86.0","","","","",""
"Eastern & Southern Africa","AGO","Angola","BCG","86.0","83.0","49.0","69.0","72.0","71.0","73.0","74.0","79.0","70.0","73.0","75.0","54.0","51.0","63.0","54.0","76.0","70.0","53.0","49.0","60.0","70.0","65.0","60.0","48.0","53.0","47.0","53.0","48.0","47.0","32.0","29.0","32.0","28.0","28.0","25.0","","",""
"Latin America & Caribbean","ARG","Argentina","BCG","93.0","95.0","92.0","96.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","95.0","92.0","95.0","96.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","92.0","91.0","94.0","99.0","90.0","78.0","70.0","77.0","70.0","62.0"
"Eastern Europe & Central Asia","ARM","Armenia","BCG","99.0","99.0","99.0","99.0","99.0","99.0","96.0","96.0","95.0","99.0","98.0","94.0","91.0","94.0","96.0","92.0","97.0","96.0","97.0","93.0","95.0","72.0","82.0","84.0","83.0","84.0","88.0","","","","","","","","","","","",""
"Western Europe","AUT","Austria","BCG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0"
"Eastern Europe & Central Asia","AZE","Azerbaijan","BCG","97.0","97.0","98.0","98.0","98.0","98.0","98.0","99.0","98.0","95.0","92.0","88.0","86.0","82.0","82.0","83.0","82.0","83.0","81.0","82.0","79.0","77.0","76.0","76.0","77.0","74.0","69.0","","","","","","","","","","","",""
"South Asia","BGD","Bangladesh","BCG","99.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","98.0","99.0","99.0","98.0","97.0","97.0","96.0","93.0","95.0","95.0","94.0","92.0","91.0","92.0","90.0","93.0","95.0","93.0","89.0","87.0","86.0","56.0","26.0","15.0","4.0","2.0","2.0","2.0","1.0","1.0",""
"Eastern Europe & Central Asia","BLR","Belarus","BCG","98.0","98.0","98.0","97.0","98.0","99.0","98.0","99.0","99.0","98.0","98.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","96.0","94.0","93.0","95.0","","","","","","","","","","","",""
