"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","HEPBB","18.0","18.0","18.0","18.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","97.0","97.0","99.0","98.0","98.0","98.0","99.0","99.0","99.0","98.0","99.0","98.0","98.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","97.0","97.0","97.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","HEPBB","94.0","94.0","94.0","94.0","94.0","96.0","95.0","93.0","94.0","94.0","98.0","98.0","98.0","97.0","97.0","96.0","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","HEPBB","82.0","80.0","81.0","84.0","87.0","85.0","88.0","85.0","79.0","81.0","79.0","76.0","72.0","71.0","65.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","HEPBB","97.0","97.0","98.0","98.0","98.0","98.0","95.0","95.0","94.0","92.0","91.0","92.0","92.0","93.0","94.0","95.0","95.0","96.0","97.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AUT","Austria","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","98.0","95.0","92.0","88.0","86.0","82.0","82.0","83.0","82.0","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BHS","Bahamas","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","BHR","Bahrain","HEPBB","98.0","99.0","99.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BGD","Bangladesh","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRB","Barbados","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BLR","Belarus","HEPBB","98.0","98.0","98.0","98.0","99.0","99.0","98.0","98.0","98.0","98.0","98.0","98.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","BEL","Belgium","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BLZ","Belize","HEPBB","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BEN","Benin","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BTN","Bhutan","HEPBB","96.0","95.0","82.0","78.0","78.0","64.0","60.0","29.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRA","Brazil","HEPBB","80.0","80.0","82.0","91.0","88.0","89.0","90.0","91.0","92.0","92.0","93.0","94.0","95.0","94.0","92.0","91.0","93.0","95.0","99.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","BRN","Brunei Darussalam","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","95.0","95.0","96.0","99.0","99.0","99.0","97.0","96.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BGR","Bulgaria","HEPBB","96.0","97.0","96.0","97.0","98.0","98.0","98.0","99.0","98.0","98.0","98.0","98.0","99.0","99.0","98.0","98.0","96.0","99.0","98.0","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","HEPBB","97.0","96.0","96.0","93.0","99.0","94.0","99.0","99.0","99.0","91.0","81.0","84.0","68.0","68.0","75.0","76.0","77.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","HEPBB","73.0","79.0","87.0","88.0","91.0","62.0","68.0","68.0","56.0","52.0","43.0","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","HEPBB","96.0","96.0","96.0","96.0","94.0","99.0","96.0","95.0","92.0","93.0","91.0","86.0","88.0","86.0","76.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","HEPBB","77.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","HEPBB","99.0","99.0","99.0","99.0","99.0","98.0","97.0","97.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","76.0","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","HEPBB","90.0","87.0","91.0","90.0","89.0","90.0","90.0","88.0","86.0","87.0","87.0","88.0","88.0","89.0","89.0","86.0","87.0","87.0","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","HEPBB","","","","","98.0","98.0","96.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CYP","Cyprus","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CZE","Czechia","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","HEPBB","98.0","98.0","98.0","97.0","99.0","99.0","99.0","99.0","99.0","98.0","97.0","96.0","94.0","94.0","99.0","28.0","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","HEPBB","93.0","92.0","90.0","92.0","94.0","86.0","87.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","HEPBB","46.0","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","HEPBB","65.0","67.0","66.0","64.0","67.0","63.0","59.0","67.0","65.0","58.0","54.0","46.0","75.0","75.0","66.0","66.0","66.0","66.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","HEPBB","70.0","61.0","68.0","75.0","79.0","69.0","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","HEPBB","89.0","84.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","HEPBB","77.0","80.0","81.0","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","HEPBB","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","90.0","86.0","96.0","95.0","99.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FIN","Finland","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FRA","France","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","HEPBB","97.0","94.0","94.0","93.0","95.0","80.0","92.0","93.0","95.0","73.0","99.0","99.0","97.0","93.0","92.0","90.0","80.0","69.0","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DEU","Germany","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GHA","Ghana","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","GRC","Greece","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","HEPBB","95.0","78.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","HEPBB","48.0","45.0","38.0","32.0","22.0","32.0","35.0","31.0","15.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GIN","Guinea","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNB","Guinea-Bissau","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GUY","Guyana","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HTI","Haiti","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HND","Honduras","HEPBB","79.0","75.0","80.0","80.0","79.0","79.0","78.0","77.0","78.0","72.0","61.0","44.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","HUN","Hungary","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ISL","Iceland","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","IND","India","HEPBB","54.0","54.0","47.0","44.0","41.0","37.0","23.0","8.0","8.0","8.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","HEPBB","54.0","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","HEPBB","95.0","95.0","95.0","96.0","97.0","99.0","96.0","99.0","99.0","99.0","99.0","99.0","99.0","96.0","99.0","99.0","99.0","94.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","HEPBB","41.0","44.0","47.0","43.0","43.0","43.0","37.0","32.0","27.0","60.0","92.0","90.0","88.0","93.0","92.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","IRL","Ireland","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","HEPBB","95.0","95.0","95.0","96.0","97.0","97.0","97.0","98.0","97.0","98.0","99.0","99.0","96.0","96.0","96.0","96.0","96.0","96.0","96.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ITA","Italy","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","JPN","Japan","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
