"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","HIB3","66.0","66.0","66.0","65.0","62.0","64.0","67.0","68.0","66.0","63.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","HIB3","99.0","99.0","98.0","99.0","98.0","99.0","99.0","99.0","99.0","98.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","HIB3","91.0","91.0","91.0","95.0","95.0","95.0","95.0","95.0","95.0","95.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","HIB3","99.0","99.0","98.0","97.0","97.0","96.0","98.0","99.0","98.0","97.0","98.0","95.0","93.0","97.0","95.0","91.0","92.0","92.0","90.0","80.0","55.0","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","HIB3","59.0","52.0","55.0","55.0","55.0","54.0","52.0","46.0","52.0","34.0","41.0","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","HIB3","95.0","95.0","92.0","99.0","99.0","99.0","98.0","99.0","98.0","94.0","97.0","99.0","99.0","99.0","97.0","97.0","97.0","97.0","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","HIB3","86.0","86.0","92.0","94.0","94.0","94.0","91.0","91.0","94.0","94.0","93.0","91.0","91.0","98.0","98.0","96.0","93.0","83.0","83.0","86.0","49.0","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","HIB3","92.0","94.0","94.0","94.0","93.0","95.0","95.0","95.0","48.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","HIB3","94.0","94.0","94.0","93.0","91.0","91.0","92.0","92.0","92.0","94.0","94.0","94.0","95.0","94.0","95.0","95.0","95.0","95.0","90.0","87.0","82.0","77.0","","","","","","","","","","","","","","","","",""
"Western Europe","AUT","Austria","HIB3","85.0","90.0","87.0","93.0","98.0","95.0","92.0","89.0","86.0","83.0","83.0","85.0","83.0","86.0","83.0","84.0","82.0","74.0","72.0","74.0","","","","","","","","","","","","","","","","","","",""
