"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","PCV3","65.0","65.0","65.0","65.0","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","PCV3","98.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","PCV3","91.0","89.0","61.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","PCV3","94.0","98.0","92.0","92.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","PCV3","67.0","59.0","59.0","58.0","45.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","PCV3","88.0","76.0","82.0","82.0","89.0","86.0","41.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","PCV3","92.0","94.0","94.0","44.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","PCV3","95.0","94.0","94.0","93.0","91.0","91.0","91.0","91.0","91.0","91.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AUT","Austria","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","PCV3","95.0","96.0","97.0","94.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BHS","Bahamas","PCV3","90.0","93.0","94.0","95.0","96.0","97.0","37.0","1.0","1.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","BHR","Bahrain","PCV3","98.0","97.0","99.0","98.0","98.0","99.0","99.0","99.0","99.0","96.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BGD","Bangladesh","PCV3","97.0","97.0","97.0","48.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRB","Barbados","PCV3","89.0","89.0","96.0","97.0","90.0","87.0","84.0","81.0","78.0","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BLR","Belarus","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","BEL","Belgium","PCV3","94.0","94.0","94.0","94.0","93.0","93.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BLZ","Belize","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BEN","Benin","PCV3","73.0","73.0","73.0","72.0","69.0","70.0","67.0","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BTN","Bhutan","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","PCV3","83.0","83.0","87.0","86.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","PCV3","91.0","89.0","91.0","93.0","95.0","72.0","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRA","Brazil","PCV3","84.0","84.0","84.0","94.0","93.0","94.0","88.0","82.0","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","BRN","Brunei Darussalam","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BGR","Bulgaria","PCV3","88.0","91.0","90.0","90.0","92.0","94.0","94.0","94.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","PCV3","91.0","91.0","91.0","91.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","PCV3","90.0","91.0","94.0","94.0","95.0","96.0","96.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","PCV3","84.0","82.0","87.0","68.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","PCV3","79.0","84.0","84.0","85.0","87.0","88.0","84.0","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","PCV3","81.0","81.0","80.0","80.0","79.0","79.0","73.0","66.0","58.0","50.0","42.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","PCV3","47.0","47.0","47.0","47.0","47.0","23.0","47.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","PCV3","93.0","93.0","93.0","90.0","92.0","79.0","82.0","54.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","PCV3","94.0","91.0","89.0","91.0","89.0","87.0","84.0","46.0","22.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","PCV3","73.0","66.0","67.0","80.0","85.0","85.0","10.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","PCV3","96.0","96.0","94.0","94.0","83.0","94.0","89.0","68.0","94.0","48.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","PCV3","81.0","82.0","80.0","70.0","2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CYP","Cyprus","PCV3","81.0","81.0","81.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CZE","Czechia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","PCV3","81.0","79.0","77.0","73.0","61.0","31.0","13.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","PCV3","96.0","97.0","94.0","91.0","93.0","90.0","93.0","90.0","88.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","PCV3","84.0","76.0","68.0","82.0","78.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","PCV3","70.0","64.0","30.0","22.0","27.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","PCV3","85.0","84.0","84.0","81.0","86.0","90.0","94.0","71.0","17.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","PCV3","75.0","87.0","90.0","98.0","86.0","92.0","94.0","98.0","69.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","PCV3","95.0","95.0","95.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","PCV3","88.0","87.0","90.0","90.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","PCV3","67.0","68.0","69.0","68.0","55.0","48.0","30.0","12.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","PCV3","99.0","99.0","99.0","99.0","99.0","87.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FIN","Finland","PCV3","88.0","85.0","87.0","92.0","92.0","92.0","92.0","92.0","92.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FRA","France","PCV3","92.0","92.0","92.0","91.0","89.0","89.0","89.0","89.0","89.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","PCV3","93.0","90.0","95.0","97.0","96.0","96.0","98.0","95.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","PCV3","81.0","80.0","75.0","16.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DEU","Germany","PCV3","84.0","84.0","84.0","84.0","84.0","84.0","84.0","86.0","85.0","84.0","68.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GHA","Ghana","PCV3","96.0","99.0","93.0","88.0","99.0","89.0","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","GRC","Greece","PCV3","96.0","96.0","96.0","96.0","96.0","32.0","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","PCV3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","PCV3","85.0","84.0","81.0","82.0","51.0","24.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
