"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"South Asia","AFG","Afghanistan","ROTAC","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ALB","Albania","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","DZA","Algeria","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AND","Andorra","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","AGO","Angola","ROTAC","65.0","58.0","59.0","55.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ATG","Antigua and Barbuda","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","ROTAC","80.0","78.0","75.0","61.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","ARM","Armenia","ROTAC","93.0","94.0","94.0","93.0","91.0","33.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","AUS","Australia","ROTAC","87.0","87.0","87.0","85.0","84.0","84.0","84.0","85.0","84.0","82.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","AUT","Austria","ROTAC","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","61.0","47.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","AZE","Azerbaijan","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BHS","Bahamas","ROTAC","70.0","90.0","11.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","BHR","Bahrain","ROTAC","98.0","97.0","98.0","97.0","97.0","97.0","96.0","96.0","59.0","90.0","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BGD","Bangladesh","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRB","Barbados","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BLR","Belarus","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","BEL","Belgium","ROTAC","87.0","87.0","87.0","88.0","86.0","86.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BLZ","Belize","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BEN","Benin","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","BTN","Bhutan","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","ROTAC","87.0","84.0","87.0","89.0","85.0","85.0","91.0","91.0","87.0","76.0","51.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BIH","Bosnia and Herzegovina","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BWA","Botswana","ROTAC","87.0","85.0","88.0","92.0","95.0","85.0","74.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRA","Brazil","ROTAC","80.0","70.0","88.0","94.0","92.0","93.0","86.0","87.0","83.0","86.0","81.0","80.0","47.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","BRN","Brunei Darussalam","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","BGR","Bulgaria","ROTAC","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","ROTAC","91.0","91.0","91.0","91.0","91.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","ROTAC","92.0","93.0","96.0","96.0","84.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KHM","Cambodia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","ROTAC","78.0","83.0","80.0","73.0","46.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North America","CAN","Canada","ROTAC","79.0","79.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","TCD","Chad","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CHL","Chile","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","CHN","China","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","COL","Colombia","ROTAC","90.0","90.0","90.0","91.0","89.0","87.0","87.0","78.0","74.0","55.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","COM","Comoros","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COG","Congo","ROTAC","72.0","64.0","64.0","80.0","60.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","COK","Cook Islands","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CRI","Costa Rica","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CIV","Cote d'Ivoire","ROTAC","59.0","40.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","HRV","Croatia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","CUB","Cuba","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CYP","Cyprus","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","CZE","Czechia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PRK","Democratic People's Republic of Korea","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","COD","Democratic Republic of the Congo","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DNK","Denmark","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","DJI","Djibouti","ROTAC","87.0","80.0","72.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DMA","Dominica","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","DOM","Dominican Republic","ROTAC","82.0","82.0","75.0","83.0","86.0","69.0","9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ECU","Ecuador","ROTAC","85.0","84.0","80.0","78.0","81.0","83.0","87.0","90.0","94.0","97.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","EGY","Egypt","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","SLV","El Salvador","ROTAC","82.0","84.0","93.0","93.0","96.0","92.0","93.0","90.0","90.0","62.0","83.0","78.0","25.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNQ","Equatorial Guinea","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ERI","Eritrea","ROTAC","96.0","96.0","96.0","96.0","25.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","EST","Estonia","ROTAC","85.0","87.0","85.0","64.0","32.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","SWZ","Eswatini","ROTAC","90.0","86.0","95.0","36.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","ETH","Ethiopia","ROTAC","79.0","80.0","80.0","79.0","56.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FJI","Fiji","ROTAC","99.0","99.0","99.0","99.0","99.0","85.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FIN","Finland","ROTAC","82.0","80.0","84.0","91.0","92.0","93.0","93.0","93.0","93.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","FRA","France","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GAB","Gabon","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GMB","Gambia","ROTAC","93.0","93.0","95.0","97.0","92.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","GEO","Georgia","ROTAC","79.0","76.0","75.0","72.0","69.0","41.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","DEU","Germany","ROTAC","68.0","68.0","68.0","68.0","67.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GHA","Ghana","ROTAC","94.0","97.0","94.0","88.0","98.0","87.0","49.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","GRC","Greece","ROTAC","20.0","20.0","20.0","20.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GRD","Grenada","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GTM","Guatemala","ROTAC","87.0","80.0","82.0","79.0","54.0","81.0","81.0","71.0","38.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GIN","Guinea","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","GNB","Guinea-Bissau","ROTAC","88.0","88.0","61.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","GUY","Guyana","ROTAC","91.0","97.0","96.0","96.0","95.0","94.0","91.0","77.0","39.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HTI","Haiti","ROTAC","58.0","58.0","58.0","58.0","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","HND","Honduras","ROTAC","91.0","90.0","95.0","99.0","99.0","98.0","98.0","97.0","97.0","81.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","HUN","Hungary","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ISL","Iceland","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","IND","India","ROTAC","35.0","13.0","4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","IDN","Indonesia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRN","Iran (Islamic Republic of)","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","IRQ","Iraq","ROTAC","60.0","63.0","53.0","43.0","29.0","52.0","31.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","IRL","Ireland","ROTAC","89.0","89.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","ISR","Israel","ROTAC","81.0","81.0","81.0","80.0","81.0","80.0","82.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","ITA","Italy","ROTAC","19.0","14.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","JAM","Jamaica","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","JPN","Japan","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","JOR","Jordan","ROTAC","93.0","96.0","97.0","88.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KAZ","Kazakhstan","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","KEN","Kenya","ROTAC","78.0","67.0","74.0","66.0","19.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","KIR","Kiribati","ROTAC","97.0","91.0","79.0","37.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","KWT","Kuwait","ROTAC","3.0","3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","KGZ","Kyrgyzstan","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","LAO","Lao People's Democratic Republic","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LVA","Latvia","ROTAC","79.0","78.0","73.0","68.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBN","Lebanon","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","LSO","Lesotho","ROTAC","70.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","LBR","Liberia","ROTAC","74.0","74.0","35.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","LBY","Libya","ROTAC","97.0","96.0","97.0","93.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LTU","Lithuania","ROTAC","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","LUX","Luxembourg","ROTAC","89.0","89.0","89.0","89.0","89.0","89.0","89.0","88.0","87.0","86.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MDG","Madagascar","ROTAC","78.0","77.0","78.0","69.0","50.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","ROTAC","90.0","85.0","81.0","84.0","83.0","81.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","MDV","Maldives","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","ROTAC","55.0","51.0","47.0","35.0","23.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","ROTAC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","ROTAC","42.0","46.0","38.0","41.0","44.0","52.0","60.0","43.0","25.0","71.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MRT","Mauritania","ROTAC","76.0","76.0","73.0","56.0","5.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
