"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Eastern & Southern Africa","AGO","Angola","YFV","28.0","28.0","24.0","43.0","48.0","21.0","36.0","38.0","16.0","17.0","39.0","51.0","22.0","23.0","39.0","31.0","25.0","25.0","29.0","32.0","24.0","16.0","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","ARG","Argentina","YFV","7.0","6.0","6.0","5.0","7.0","7.0","8.0","12.0","14.0","8.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BEN","Benin","YFV","71.0","70.0","64.0","63.0","63.0","70.0","69.0","69.0","68.0","72.0","66.0","70.0","67.0","61.0","65.0","65.0","27.0","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BOL","Bolivia (Plurinational State of)","YFV","84.0","82.0","89.0","88.0","73.0","83.0","90.0","92.0","74.0","72.0","88.0","93.0","87.0","84.0","23.0","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","BRA","Brazil","YFV","51.0","55.0","43.0","46.0","47.0","45.0","42.0","37.0","34.0","34.0","35.0","36.0","34.0","34.0","31.0","34.0","20.0","39.0","37.0","38.0","38.0","","","","","","","","","","","","","","","","","",""
"West & Central Africa","BFA","Burkina Faso","YFV","85.0","47.0","49.0","88.0","88.0","88.0","87.0","82.0","82.0","93.0","91.0","89.0","88.0","84.0","71.0","60.0","45.0","36.0","40.0","17.0","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","BDI","Burundi","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CPV","Cabo Verde","YFV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CMR","Cameroon","YFV","74.0","78.0","78.0","77.0","80.0","83.0","80.0","75.0","79.0","72.0","77.0","74.0","72.0","68.0","59.0","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","CAF","Central African Republic","YFV","48.0","48.0","48.0","48.0","48.0","24.0","48.0","48.0","55.0","62.0","62.0","62.0","62.0","62.0","55.0","48.0","42.0","35.0","36.0","37.0","41.0","42.0","","","","","","","","","","","","","","","","",""
