Year,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,95.0,95.0,,94.0,95.0,93.0,95.0,95.0,87.0,East Asia & Pacific
2017,98.0,95.0,95.0,,94.0,95.0,93.0,94.0,95.0,87.0,East Asia & Pacific
2016,98.0,94.0,94.0,,94.0,95.0,94.0,94.0,95.0,87.0,East Asia & Pacific
2015,97.0,93.0,93.0,,93.0,95.0,93.0,93.0,95.0,85.0,East Asia & Pacific
2014,92.0,92.0,91.0,,91.0,94.0,93.0,91.0,94.0,84.0,East Asia & Pacific
2013,92.0,91.0,91.0,,91.0,94.0,92.0,91.0,94.0,84.0,East Asia & Pacific
2012,92.0,92.0,91.0,,92.0,94.0,91.0,91.0,94.0,84.0,East Asia & Pacific
2011,92.0,92.0,92.0,,92.0,94.0,90.0,91.0,94.0,85.0,East Asia & Pacific
2010,97.0,92.0,92.0,,92.0,94.0,88.0,91.0,94.0,84.0,East Asia & Pacific
2009,97.0,92.0,94.0,,94.0,94.0,82.0,91.0,94.0,82.0,East Asia & Pacific
2008,97.0,92.0,94.0,,94.0,94.0,80.0,91.0,94.0,81.0,East Asia & Pacific
2007,97.0,92.0,94.0,,94.0,94.0,89.0,,94.0,,East Asia & Pacific
2006,97.0,92.0,95.0,,95.0,94.0,87.0,,94.0,,East Asia & Pacific
2005,97.0,92.0,95.0,,94.0,94.0,85.0,,94.0,,East Asia & Pacific
2004,97.0,92.0,95.0,,95.0,94.0,85.0,,94.0,,East Asia & Pacific
2003,97.0,93.0,95.0,,95.0,94.0,,,94.0,,East Asia & Pacific
2002,97.0,92.0,95.0,,95.0,94.0,,,94.0,,East Asia & Pacific
2001,97.0,92.0,94.0,,95.0,92.0,,,92.0,,East Asia & Pacific
2000,96.0,90.0,,,90.0,91.0,,,91.0,,East Asia & Pacific
1999,96.0,88.0,,,87.0,88.0,,,88.0,,East Asia & Pacific
1998,84.0,82.0,,,82.0,82.0,,,82.0,,East Asia & Pacific
1997,91.0,77.0,,,77.0,85.0,,,85.0,,East Asia & Pacific
1996,95.0,86.0,,,,87.0,,,87.0,,East Asia & Pacific
1995,95.0,86.0,,,,87.0,,,87.0,,East Asia & Pacific
1994,96.0,88.0,,,,86.0,,,86.0,,East Asia & Pacific
1993,96.0,90.0,,,,86.0,,,86.0,,East Asia & Pacific
1992,97.0,91.0,,,,86.0,,,86.0,,East Asia & Pacific
1991,97.0,93.0,,,,86.0,,,86.0,,East Asia & Pacific
1990,98.0,95.0,,,,86.0,,,86.0,,East Asia & Pacific
1989,97.0,93.0,,,,85.0,,,85.0,,East Asia & Pacific
1988,96.0,88.0,,,,77.0,,,77.0,,East Asia & Pacific
1987,93.0,81.0,,,,68.0,,,68.0,,East Asia & Pacific
1986,91.0,75.0,,,,68.0,,,68.0,,East Asia & Pacific
1985,87.0,68.0,,,,68.0,,,68.0,,East Asia & Pacific
1984,83.0,62.0,,,,68.0,,,68.0,,East Asia & Pacific
1983,78.0,55.0,,,,68.0,,,68.0,,East Asia & Pacific
1982,72.0,48.0,,,,,,,,,East Asia & Pacific
1981,65.0,40.0,,,,,,,,,East Asia & Pacific
1980,58.0,33.0,,,,,,,,,East Asia & Pacific
