Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,,99.0,,East Asia & Pacific
2017,99.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,,97.0,,East Asia & Pacific
2016,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,,98.0,,East Asia & Pacific
2015,99.0,99.0,99.0,99.0,99.0,99.0,96.0,97.0,,96.0,,East Asia & Pacific
2014,99.0,99.0,99.0,99.0,99.0,96.0,97.0,96.0,,97.0,,East Asia & Pacific
2013,99.0,99.0,99.0,98.0,99.0,99.0,96.0,92.0,,96.0,,East Asia & Pacific
2012,99.0,98.0,95.0,99.0,95.0,95.0,95.0,96.0,,95.0,,East Asia & Pacific
2011,96.0,99.0,97.0,93.0,95.0,97.0,91.0,93.0,,91.0,,East Asia & Pacific
2010,95.0,98.0,95.0,96.0,96.0,95.0,94.0,93.0,,94.0,,East Asia & Pacific
2009,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2008,99.0,99.0,98.0,96.0,99.0,98.0,99.0,90.0,,99.0,,East Asia & Pacific
2007,96.0,99.0,99.0,97.0,99.0,99.0,97.0,92.0,,97.0,,East Asia & Pacific
2006,99.0,99.0,97.0,99.0,97.0,97.0,97.0,94.0,,97.0,,East Asia & Pacific
2005,94.0,99.0,94.0,99.0,96.0,94.0,98.0,95.0,,98.0,,East Asia & Pacific
2004,99.0,99.0,92.0,99.0,99.0,92.0,99.0,97.0,,99.0,,East Asia & Pacific
2003,95.0,99.0,92.0,99.0,99.0,92.0,98.0,96.0,,98.0,,East Asia & Pacific
2002,95.0,99.0,94.0,99.0,99.0,94.0,99.0,96.0,,99.0,,East Asia & Pacific
2001,99.0,99.0,97.0,99.0,99.0,,99.0,95.0,,99.0,,East Asia & Pacific
2000,99.0,99.0,99.0,99.0,99.0,,99.0,95.0,,99.0,,East Asia & Pacific
1999,98.0,99.0,92.0,93.0,,,94.0,,,94.0,,East Asia & Pacific
1998,96.0,99.0,97.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1997,99.0,99.0,99.0,98.0,,,98.0,,,98.0,,East Asia & Pacific
1996,99.0,99.0,99.0,98.0,,,99.0,,,99.0,,East Asia & Pacific
1995,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1994,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1993,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1992,97.0,98.0,96.0,96.0,,,92.0,,,92.0,,East Asia & Pacific
1991,94.0,98.0,95.0,96.0,,,96.0,,,96.0,,East Asia & Pacific
1990,91.0,97.0,93.0,96.0,,,99.0,,,99.0,,East Asia & Pacific
1989,88.0,97.0,91.0,,,,99.0,,,99.0,,East Asia & Pacific
1988,85.0,96.0,89.0,,,,99.0,,,99.0,,East Asia & Pacific
1987,84.0,95.0,85.0,,,,99.0,,,99.0,,East Asia & Pacific
1986,85.0,95.0,86.0,,,,99.0,,,99.0,,East Asia & Pacific
1985,95.0,96.0,88.0,,,,98.0,,,98.0,,East Asia & Pacific
1984,90.0,98.0,96.0,,,,90.0,,,90.0,,East Asia & Pacific
1983,99.0,95.0,85.0,,,,94.0,,,,,East Asia & Pacific
1982,99.0,99.0,99.0,,,,88.0,,,,,East Asia & Pacific
1981,99.0,97.0,94.0,,,,80.0,,,,,East Asia & Pacific
1980,99.0,96.0,89.0,,,,73.0,,,,,East Asia & Pacific
