Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2017,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,95.0,,98.0,,East Asia & Pacific
2016,99.0,99.0,99.0,99.0,99.0,99.0,99.0,90.0,90.0,,90.0,,East Asia & Pacific
2015,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,95.0,,99.0,,East Asia & Pacific
2014,99.0,99.0,99.0,99.0,99.0,99.0,,98.0,98.0,,98.0,,East Asia & Pacific
2013,98.0,98.0,98.0,98.0,98.0,98.0,,97.0,95.0,,97.0,,East Asia & Pacific
2012,98.0,98.0,98.0,98.0,97.0,98.0,,97.0,98.0,,97.0,,East Asia & Pacific
2011,98.0,98.0,93.0,93.0,97.0,93.0,,89.0,96.0,,89.0,,East Asia & Pacific
2010,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,98.0,,99.0,,East Asia & Pacific
2009,99.0,99.0,82.0,82.0,99.0,82.0,,78.0,61.0,,78.0,,East Asia & Pacific
2008,99.0,99.0,99.0,99.0,99.0,,,95.0,95.0,,95.0,,East Asia & Pacific
2007,99.0,99.0,99.0,99.0,99.0,,,98.0,98.0,,98.0,,East Asia & Pacific
2006,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,East Asia & Pacific
2005,99.0,99.0,99.0,99.0,99.0,,,99.0,97.0,,,,East Asia & Pacific
2004,99.0,99.0,99.0,99.0,99.0,,,99.0,86.0,,,,East Asia & Pacific
2003,99.0,96.0,96.0,93.0,99.0,,,99.0,88.0,,,,East Asia & Pacific
2002,98.0,99.0,97.0,93.0,99.0,,,95.0,61.0,,,,East Asia & Pacific
2001,98.0,97.0,90.0,93.0,99.0,,,83.0,50.0,,,,East Asia & Pacific
2000,99.0,99.0,92.0,98.0,76.0,,,76.0,70.0,,,,East Asia & Pacific
1999,97.0,98.0,92.0,90.0,,,,84.0,,,,,East Asia & Pacific
1998,98.0,98.0,93.0,88.0,,,,97.0,,,,,East Asia & Pacific
1997,85.0,97.0,93.0,99.0,,,,88.0,,,,,East Asia & Pacific
1996,90.0,91.0,75.0,65.0,,,,72.0,,,,,East Asia & Pacific
1995,96.0,97.0,93.0,85.0,,,,96.0,,,,,East Asia & Pacific
1994,99.0,95.0,86.0,79.0,,,,72.0,,,,,East Asia & Pacific
1993,94.0,99.0,99.0,76.0,,,,99.0,,,,,East Asia & Pacific
1992,94.0,95.0,87.0,98.0,,,,87.0,,,,,East Asia & Pacific
1991,96.0,95.0,87.0,85.0,,,,94.0,,,,,East Asia & Pacific
1990,99.0,97.0,93.0,71.0,,,,67.0,,,,,East Asia & Pacific
1989,94.0,96.0,89.0,,,,,99.0,,,,,East Asia & Pacific
1988,90.0,97.0,94.0,,,,,92.0,,,,,East Asia & Pacific
1987,89.0,94.0,83.0,,,,,84.0,,,,,East Asia & Pacific
1986,87.0,95.0,87.0,,,,,70.0,,,,,East Asia & Pacific
1985,99.0,92.0,78.0,,,,,76.0,,,,,East Asia & Pacific
1984,60.0,72.0,48.0,,,,,65.0,,,,,East Asia & Pacific
1983,74.0,80.0,57.0,,,,,68.0,,,,,East Asia & Pacific
1982,59.0,75.0,51.0,,,,,,,,,,East Asia & Pacific
1981,44.0,71.0,46.0,,,,,,,,,,East Asia & Pacific
1980,29.0,65.0,40.0,,,,,,,,,,East Asia & Pacific
