Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,90.0,99.0,99.0,94.0,94.0,99.0,94.0,99.0,East Asia & Pacific
2017,99.0,99.0,99.0,99.0,90.0,99.0,99.0,94.0,94.0,99.0,94.0,99.0,East Asia & Pacific
2016,99.0,99.0,99.0,99.0,90.0,99.0,99.0,94.0,94.0,99.0,94.0,99.0,East Asia & Pacific
2015,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,99.0,94.0,99.0,East Asia & Pacific
2014,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,99.0,94.0,99.0,East Asia & Pacific
2013,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,87.0,94.0,85.0,East Asia & Pacific
2012,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,,94.0,,East Asia & Pacific
2011,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,,94.0,,East Asia & Pacific
2010,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,,94.0,,East Asia & Pacific
2009,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,,94.0,,East Asia & Pacific
2008,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,,94.0,,East Asia & Pacific
2007,99.0,99.0,99.0,99.0,90.0,99.0,,94.0,94.0,,94.0,,East Asia & Pacific
2006,99.0,99.0,98.0,99.0,90.0,99.0,,92.0,94.0,,92.0,,East Asia & Pacific
2005,98.0,99.0,96.0,99.0,90.0,99.0,,90.0,74.0,,90.0,,East Asia & Pacific
2004,98.0,99.0,95.0,99.0,86.0,99.0,,88.0,,,88.0,,East Asia & Pacific
2003,97.0,98.0,94.0,99.0,96.0,99.0,,86.0,,,86.0,,East Asia & Pacific
2002,97.0,98.0,93.0,99.0,95.0,99.0,,85.0,,,85.0,,East Asia & Pacific
2001,97.0,97.0,91.0,98.0,99.0,98.0,,83.0,,,83.0,,East Asia & Pacific
2000,96.0,97.0,90.0,98.0,,98.0,,81.0,,,81.0,,East Asia & Pacific
1999,96.0,96.0,89.0,98.0,,98.0,,79.0,,,79.0,,East Asia & Pacific
1998,95.0,96.0,87.0,98.0,,98.0,,77.0,,,77.0,,East Asia & Pacific
1997,95.0,95.0,86.0,98.0,,98.0,,75.0,,,75.0,,East Asia & Pacific
1996,99.0,98.0,97.0,90.0,,,,94.0,,,94.0,,East Asia & Pacific
1995,99.0,98.0,97.0,82.0,,,,94.0,,,94.0,,East Asia & Pacific
1994,99.0,98.0,96.0,60.0,,,,96.0,,,,,East Asia & Pacific
1993,99.0,98.0,96.0,88.0,,,,96.0,,,,,East Asia & Pacific
1992,98.0,98.0,97.0,,,,,91.0,,,,,East Asia & Pacific
1991,99.0,99.0,99.0,,,,,93.0,,,,,East Asia & Pacific
1990,99.0,98.0,97.0,,,,,84.0,,,,,East Asia & Pacific
1989,99.0,98.0,98.0,,,,,65.0,,,,,East Asia & Pacific
1988,99.0,98.0,98.0,,,,,69.0,,,,,East Asia & Pacific
1987,98.0,96.0,90.0,,,,,64.0,,,,,East Asia & Pacific
1986,96.0,88.0,71.0,,,,,61.0,,,,,East Asia & Pacific
1985,99.0,87.0,69.0,,,,,57.0,,,,,East Asia & Pacific
1984,94.0,91.0,77.0,,,,,22.0,,,,,East Asia & Pacific
1983,99.0,93.0,80.0,,,,,25.0,,,,,East Asia & Pacific
1982,98.0,84.0,64.0,,,,,2.0,,,,,East Asia & Pacific
1981,98.0,88.0,70.0,,,,,40.0,,,,,East Asia & Pacific
1980,95.0,87.0,68.0,,,,,32.0,,,,,East Asia & Pacific
