Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,89.0,98.0,95.0,95.0,89.0,95.0,92.0,84.0,79.0,94.0,84.0,97.0
2017,89.0,94.0,90.0,90.0,89.0,90.0,87.0,81.0,79.0,91.0,81.0,91.0
2016,79.0,82.0,81.0,81.0,79.0,81.0,81.0,80.0,79.0,79.0,80.0,79.0
2015,79.0,81.0,78.0,82.0,75.0,82.0,52.0,84.0,76.0,74.0,84.0,37.0
2014,72.0,83.0,75.0,75.0,66.0,75.0,,88.0,80.0,57.0,88.0,
2013,86.0,95.0,95.0,95.0,84.0,95.0,,91.0,84.0,40.0,91.0,
2012,95.0,94.0,94.0,94.0,82.0,94.0,,91.0,9.0,,91.0,
2011,86.0,99.0,99.0,95.0,66.0,95.0,,90.0,61.0,,90.0,
2010,87.0,97.0,91.0,91.0,63.0,91.0,,89.0,21.0,,89.0,
2009,76.0,90.0,86.0,86.0,52.0,86.0,,82.0,35.0,,82.0,
2008,83.0,97.0,82.0,83.0,59.0,83.0,,72.0,,,72.0,
2007,90.0,99.0,94.0,96.0,58.0,,,93.0,,,93.0,
2006,91.0,98.0,86.0,88.0,68.0,,,61.0,,,61.0,
2005,93.0,93.0,79.0,50.0,70.0,,,85.0,,,85.0,
2004,94.0,75.0,62.0,67.0,72.0,,,56.0,,,56.0,
2003,91.0,78.0,70.0,73.0,74.0,,,72.0,,,,
2002,88.0,82.0,77.0,79.0,76.0,,,88.0,,,,
2001,85.0,85.0,85.0,85.0,78.0,,,76.0,,,,
2000,80.0,95.0,90.0,90.0,80.0,,,80.0,,,,
1999,70.0,96.0,78.0,82.0,,,,62.0,,,,
1998,97.0,96.0,88.0,89.0,,,,77.0,,,,
1997,99.0,97.0,91.0,97.0,,,,82.0,,,,
1996,99.0,92.0,79.0,66.0,,,,64.0,,,,
1995,47.0,82.0,60.0,36.0,,,,47.0,,,,
1994,60.0,88.0,71.0,36.0,,,,70.0,,,,
1993,87.0,99.0,99.0,8.0,,,,89.0,,,,
1992,79.0,95.0,86.0,6.0,,,,77.0,,,,
1991,94.0,88.0,70.0,7.0,,,,62.0,,,,
1990,93.0,98.0,97.0,73.0,,,,75.0,,,,
1989,99.0,92.0,79.0,,,,,63.0,,,,
1988,98.0,84.0,63.0,,,,,54.0,,,,
1987,68.0,61.0,36.0,,,,,14.0,,,,
1986,65.0,62.0,37.0,,,,,9.0,,,,
1985,62.0,62.0,37.0,,,,,4.0,,,,
1984,54.0,41.0,18.0,,,,,8.0,,,,
1983,72.0,65.0,40.0,,,,,24.0,,,,
1982,91.0,77.0,53.0,,,,,,,,,
1981,68.0,54.0,29.0,,,,,,,,,
1980,66.0,68.0,43.0,,,,,,,,,
