Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,98.0,97.0,81.0,84.0,94.0,72.0,83.0,61.0,67.0,83.0,42.0
2017,92.0,97.0,80.0,82.0,97.0,65.0,83.0,62.0,72.0,83.0,46.0
2016,94.0,87.0,71.0,73.0,99.0,58.0,75.0,49.0,65.0,75.0,38.0
2015,99.0,95.0,85.0,85.0,99.0,70.0,75.0,70.0,75.0,75.0,41.0
2014,89.0,97.0,78.0,79.0,87.0,65.0,79.0,53.0,29.0,79.0,44.0
2013,93.0,97.0,79.0,80.0,92.0,66.0,79.0,56.0,38.0,79.0,52.0
2012,97.0,97.0,80.0,80.0,96.0,67.0,78.0,58.0,46.0,78.0,60.0
2011,98.0,99.0,87.0,89.0,99.0,80.0,88.0,74.0,35.0,88.0,43.0
2010,99.0,99.0,94.0,97.0,99.0,92.0,97.0,90.0,24.0,97.0,25.0
2009,98.0,99.0,96.0,99.0,99.0,99.0,78.0,66.0,49.0,78.0,71.0
2008,95.0,99.0,95.0,97.0,99.0,92.0,86.0,79.0,,86.0,
2007,92.0,99.0,93.0,93.0,99.0,83.0,94.0,91.0,,94.0,
2006,92.0,90.0,74.0,97.0,99.0,60.0,96.0,60.0,,96.0,
2005,93.0,89.0,77.0,89.0,99.0,69.0,86.0,71.0,,86.0,
2004,91.0,71.0,64.0,72.0,99.0,46.0,70.0,92.0,,70.0,
2003,93.0,90.0,68.0,74.0,99.0,70.0,90.0,90.0,,90.0,
2002,90.0,90.0,80.0,80.0,99.0,80.0,80.0,70.0,,80.0,
2001,99.0,99.0,48.0,76.0,99.0,45.0,64.0,6.0,,64.0,
2000,89.0,64.0,39.0,38.0,99.0,45.0,94.0,6.0,,94.0,
1999,81.0,85.0,66.0,80.0,,,93.0,,,93.0,
1998,81.0,95.0,86.0,80.0,,,93.0,,,93.0,
1997,94.0,92.0,78.0,70.0,,,52.0,,,,
1996,98.0,92.0,78.0,68.0,,,69.0,,,,
1995,71.0,88.0,70.0,47.0,,,57.0,,,,
1994,96.0,86.0,67.0,46.0,,,59.0,,,,
1993,88.0,79.0,56.0,17.0,,,36.0,,,,
1992,72.0,94.0,82.0,24.0,,,86.0,,,,
1991,71.0,88.0,71.0,17.0,,,74.0,,,,
1990,49.0,97.0,92.0,10.0,,,52.0,,,,
1989,,97.0,92.0,3.0,,,39.0,,,,
1988,,97.0,92.0,,,,25.0,,,,
1987,,,,,,,31.0,,,,
1986,,,,,,,,,,,
1985,,,,,,,,,,,
1984,,,,,,,,,,,
1983,,,,,,,,,,,
1982,,,,,,,,,,,
1981,,,,,,,,,,,
1980,,,,,,,,,,,
