Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,99.0,99.0,99.0,99.0,98.0,99.0,,99.0,98.0,26.0,99.0,
2017,99.0,99.0,99.0,99.0,98.0,99.0,,99.0,98.0,13.0,99.0,
2016,99.0,99.0,99.0,99.0,98.0,99.0,,98.0,90.0,,98.0,
2015,99.0,99.0,99.0,99.0,97.0,99.0,,98.0,98.0,,98.0,
2014,99.0,99.0,99.0,99.0,97.0,99.0,,98.0,98.0,,98.0,
2013,99.0,98.0,98.0,98.0,97.0,98.0,,97.0,97.0,,97.0,
2012,99.0,99.0,99.0,99.0,97.0,99.0,,99.0,98.0,,99.0,
2011,99.0,99.0,99.0,99.0,96.0,99.0,,98.0,98.0,,98.0,
2010,99.0,98.0,96.0,96.0,95.0,96.0,,97.0,95.0,,97.0,
2009,98.0,95.0,95.0,97.0,98.0,97.0,,94.0,97.0,,94.0,
2008,98.0,98.0,96.0,96.0,94.0,96.0,,97.0,96.0,,,
2007,99.0,95.0,95.0,98.0,97.0,78.0,,98.0,97.0,,,
2006,98.0,99.0,99.0,98.0,98.0,56.0,,99.0,96.0,,,
2005,99.0,99.0,99.0,98.0,89.0,28.0,,97.0,98.0,,,
2004,98.0,99.0,99.0,98.0,98.0,,,99.0,98.0,,,
2003,98.0,98.0,98.0,98.0,99.0,,,98.0,98.0,,,
2002,98.0,99.0,98.0,98.0,98.0,,,98.0,96.0,,,
2001,98.0,95.0,95.0,95.0,98.0,,,95.0,95.0,,,
2000,97.0,95.0,94.0,93.0,96.0,,,92.0,75.0,,,
1999,97.0,95.0,94.0,92.0,,,,93.0,,,,
1998,95.0,96.0,94.0,91.0,,,,93.0,,,,
1997,96.0,97.0,92.0,88.0,,,,91.0,,,,
1996,90.0,96.0,90.0,93.0,,,,89.0,,,,
1995,94.0,96.0,88.0,88.0,,,,85.0,,,,
1994,90.0,92.0,78.0,67.0,,,,80.0,,,,
1993,84.0,93.0,79.0,69.0,,,,84.0,,,,
1992,83.0,93.0,64.0,47.0,,,,84.0,,,,
1991,85.0,93.0,81.0,18.0,,,,82.0,,,,
1990,81.0,94.0,84.0,,,,,92.0,,,,
1989,92.0,94.0,84.0,,,,,86.0,,,,
1988,78.0,94.0,82.0,,,,,70.0,,,,
1987,60.0,93.0,80.0,,,,,61.0,,,,
1986,54.0,93.0,81.0,,,,,11.0,,,,
1985,52.0,93.0,80.0,,,,,18.0,,,,
1984,52.0,91.0,77.0,,,,,20.0,,,,
1983,52.0,92.0,79.0,,,,,1.0,,,,
1982,52.0,92.0,79.0,,,,,6.0,,,,
1981,53.0,92.0,78.0,,,,,12.0,,,,
1980,51.0,91.0,76.0,,,,,17.0,,,,
