Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,90.0,95.0,91.0,91.0,7.0,91.0,82.0,93.0,87.0,91.0,93.0,
2017,91.0,94.0,89.0,89.0,1.0,89.0,12.0,83.0,80.0,89.0,83.0,
2016,88.0,94.0,90.0,90.0,,90.0,72.0,91.0,86.0,14.0,91.0,
2015,94.0,94.0,89.0,89.0,,89.0,8.0,84.0,78.0,,84.0,
2014,92.0,92.0,88.0,88.0,,88.0,,88.0,82.0,,,
2013,86.0,90.0,75.0,75.0,,75.0,,86.0,80.0,,,
2012,87.0,89.0,84.0,58.0,,,,84.0,,,,
2011,93.0,88.0,84.0,40.0,,,,88.0,80.0,,,
2010,93.0,93.0,90.0,92.0,,,,88.0,75.0,,,
2009,93.0,93.0,90.0,91.0,,,,87.0,65.0,,,
2008,88.0,88.0,85.0,85.0,,,,82.0,57.0,,,
2007,89.0,89.0,86.0,85.0,,,,81.0,,,,
2006,85.0,86.0,82.0,75.0,,,,78.0,,,,
2005,76.0,76.0,73.0,62.0,,,,84.0,,,,
2004,85.0,86.0,82.0,39.0,,,,86.0,,,,
2003,80.0,80.0,78.0,8.0,,,,80.0,,,,
2002,82.0,81.0,79.0,,,,,77.0,,,,
2001,75.0,81.0,73.0,,,,,73.0,,,,
2000,88.0,87.0,82.0,,,,,84.0,,,,
1999,90.0,87.0,75.0,,,,,86.0,,,,
1998,95.0,92.0,90.0,,,,,89.0,,,,
1997,94.0,96.0,90.0,,,,,88.0,,,,
1996,92.0,96.0,88.0,,,,,86.0,,,,
1995,90.0,94.0,84.0,,,,,82.0,,,,
1994,83.0,91.0,77.0,,,,,77.0,,,,
1993,80.0,96.0,73.0,,,,,71.0,,,,
1992,77.0,95.0,71.0,,,,,68.0,,,,
1991,69.0,94.0,66.0,,,,,67.0,,,,
1990,95.0,96.0,88.0,,,,,68.0,,,,
1989,66.0,74.0,50.0,,,,,50.0,,,,
1988,60.0,53.0,28.0,,,,,32.0,,,,
1987,54.0,47.0,23.0,,,,,17.0,,,,
1986,28.0,44.0,20.0,,,,,5.0,,,,
1985,45.0,39.0,16.0,,,,,,,,,
1984,36.0,33.0,12.0,,,,,,,,,
1983,28.0,32.0,11.0,,,,,,,,,
1982,20.0,29.0,9.0,,,,,,,,,
1981,15.0,24.0,5.0,,,,,,,,,
1980,9.0,22.0,4.0,,,,,,,,,
