Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,90.0,90.0,99.0,90.0,99.0,99.0,94.0,,99.0,,East Asia & Pacific
2017,99.0,99.0,87.0,87.0,99.0,87.0,99.0,95.0,94.0,,95.0,,East Asia & Pacific
2016,99.0,99.0,97.0,97.0,99.0,97.0,97.0,98.0,97.0,,98.0,,East Asia & Pacific
2015,99.0,98.0,91.0,91.0,99.0,91.0,91.0,98.0,96.0,,98.0,,East Asia & Pacific
2014,99.0,99.0,95.0,95.0,99.0,95.0,,98.0,94.0,,98.0,,East Asia & Pacific
2013,99.0,99.0,87.0,87.0,99.0,87.0,,97.0,88.0,,97.0,,East Asia & Pacific
2012,99.0,98.0,79.0,79.0,99.0,79.0,,96.0,81.0,,96.0,,East Asia & Pacific
2011,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,,East Asia & Pacific
2010,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,,East Asia & Pacific
2009,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,92.0,,92.0,,East Asia & Pacific
2008,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,East Asia & Pacific
2007,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,99.0,,East Asia & Pacific
2006,99.0,98.0,72.0,99.0,99.0,,,99.0,97.0,,97.0,,East Asia & Pacific
2005,90.0,90.0,80.0,80.0,98.0,,,80.0,50.0,,,,East Asia & Pacific
2004,93.0,93.0,80.0,78.0,90.0,,,67.0,60.0,,,,East Asia & Pacific
2003,97.0,97.0,80.0,77.0,95.0,,,53.0,72.0,,,,East Asia & Pacific
2002,99.0,99.0,80.0,75.0,99.0,,,40.0,83.0,,,,East Asia & Pacific
2001,99.0,98.0,95.0,95.0,99.0,,,95.0,95.0,,,,East Asia & Pacific
2000,93.0,85.0,44.0,58.0,98.0,,,8.0,,,,,East Asia & Pacific
1999,95.0,81.0,64.0,62.0,,,,49.0,,,,,East Asia & Pacific
1998,89.0,78.0,72.0,29.0,,,,90.0,,,,,East Asia & Pacific
1997,78.0,74.0,50.0,86.0,,,,99.0,,,,,East Asia & Pacific
1996,78.0,77.0,53.0,72.0,,,,,,,,,East Asia & Pacific
1995,78.0,79.0,56.0,57.0,,,,,,,,,East Asia & Pacific
1994,81.0,82.0,60.0,79.0,,,,,,,,,East Asia & Pacific
1993,84.0,84.0,63.0,99.0,,,,,,,,,East Asia & Pacific
1992,86.0,86.0,67.0,90.0,,,,,,,,,East Asia & Pacific
1991,90.0,88.0,70.0,79.0,,,,,,,,,East Asia & Pacific
1990,93.0,90.0,74.0,,,,,,,,,,East Asia & Pacific
1989,96.0,91.0,75.0,,,,,,,,,,East Asia & Pacific
1988,95.0,86.0,67.0,,,,,,,,,,East Asia & Pacific
1987,93.0,78.0,55.0,,,,,,,,,,East Asia & Pacific
1986,87.0,82.0,61.0,,,,,,,,,,East Asia & Pacific
1985,81.0,86.0,67.0,,,,,,,,,,East Asia & Pacific
1984,81.0,86.0,67.0,,,,,,,,,,East Asia & Pacific
1983,,,,,,,,,,,,,East Asia & Pacific
1982,,,,,,,,,,,,,East Asia & Pacific
1981,,,,,,,,,,,,,East Asia & Pacific
1980,,,,,,,,,,,,,East Asia & Pacific
