Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,54.0,99.0,99.0,99.0,99.0,99.0,99.0,East Asia & Pacific
2017,99.0,99.0,99.0,99.0,84.0,99.0,99.0,99.0,99.0,99.0,99.0,East Asia & Pacific
2016,92.0,99.0,99.0,99.0,88.0,99.0,99.0,99.0,99.0,99.0,74.0,East Asia & Pacific
2015,99.0,99.0,99.0,99.0,92.0,99.0,99.0,99.0,99.0,99.0,,East Asia & Pacific
2014,99.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,,East Asia & Pacific
2013,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,East Asia & Pacific
2012,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,,East Asia & Pacific
2011,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,,East Asia & Pacific
2010,99.0,99.0,99.0,99.0,55.0,99.0,99.0,99.0,99.0,99.0,,East Asia & Pacific
2009,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,East Asia & Pacific
2008,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2007,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2006,99.0,99.0,99.0,99.0,70.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2005,97.0,95.0,85.0,86.0,9.0,99.0,99.0,70.0,,99.0,,East Asia & Pacific
2004,96.0,99.0,99.0,99.0,21.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2003,99.0,99.0,95.0,95.0,99.0,99.0,86.0,86.0,,86.0,,East Asia & Pacific
2002,99.0,99.0,99.0,99.0,99.0,99.0,99.0,90.0,,99.0,,East Asia & Pacific
2001,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
2000,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,,East Asia & Pacific
1999,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1998,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1997,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1996,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1995,92.0,99.0,99.0,90.0,,,34.0,,,34.0,,East Asia & Pacific
1994,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1993,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1992,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1991,99.0,99.0,99.0,99.0,,,99.0,,,99.0,,East Asia & Pacific
1990,99.0,99.0,99.0,,,,99.0,,,99.0,,East Asia & Pacific
1989,99.0,99.0,99.0,,,,99.0,,,99.0,,East Asia & Pacific
1988,99.0,99.0,99.0,,,,94.0,,,94.0,,East Asia & Pacific
1987,99.0,99.0,99.0,,,,94.0,,,94.0,,East Asia & Pacific
1986,71.0,93.0,81.0,,,,73.0,,,73.0,,East Asia & Pacific
1985,41.0,83.0,62.0,,,,52.0,,,52.0,,East Asia & Pacific
1984,41.0,68.0,43.0,,,,52.0,,,52.0,,East Asia & Pacific
1983,60.0,56.0,31.0,,,,58.0,,,58.0,,East Asia & Pacific
1982,80.0,44.0,20.0,,,,65.0,,,65.0,,East Asia & Pacific
1981,99.0,28.0,8.0,,,,71.0,,,71.0,,East Asia & Pacific
1980,85.0,27.0,7.0,,,,77.0,,,77.0,,East Asia & Pacific
