Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,99.0,97.0,97.0,98.0,97.0,65.0,98.0,99.0,,,,East Asia & Pacific
2017,98.0,98.0,97.0,97.0,98.0,97.0,,99.0,98.0,,,,East Asia & Pacific
2016,97.0,97.0,96.0,96.0,98.0,96.0,52.0,99.0,98.0,,,,East Asia & Pacific
2015,97.0,97.0,96.0,96.0,97.0,96.0,80.0,98.0,85.0,,,,East Asia & Pacific
2014,98.0,94.0,93.0,93.0,99.0,93.0,,99.0,76.0,,,,East Asia & Pacific
2013,98.0,94.0,93.0,93.0,99.0,93.0,,99.0,76.0,,,,East Asia & Pacific
2012,98.0,97.0,96.0,96.0,99.0,32.0,,99.0,76.0,,,,East Asia & Pacific
2011,98.0,95.0,94.0,94.0,99.0,,,99.0,76.0,,,,East Asia & Pacific
2010,98.0,94.0,93.0,93.0,99.0,,,99.0,76.0,,,,East Asia & Pacific
2009,98.0,94.0,93.0,93.0,98.0,,,98.0,75.0,,,,East Asia & Pacific
2008,97.0,93.0,92.0,92.0,97.0,,,98.0,75.0,,,,East Asia & Pacific
2007,96.0,93.0,92.0,92.0,96.0,,,99.0,,,,,East Asia & Pacific
2006,96.0,91.0,89.0,96.0,94.0,,,96.0,,,,,East Asia & Pacific
2005,94.0,83.0,79.0,92.0,94.0,,,96.0,,,,,East Asia & Pacific
2004,95.0,75.0,72.0,98.0,99.0,,,95.0,,,,,East Asia & Pacific
2003,88.0,70.0,68.0,27.0,28.0,,,95.0,,,,,East Asia & Pacific
2002,96.0,65.0,64.0,,,,,98.0,,,,,East Asia & Pacific
2001,82.0,63.0,62.0,,,,,92.0,,,,,East Asia & Pacific
2000,78.0,61.0,56.0,,,,,78.0,,,,,East Asia & Pacific
1999,73.0,58.0,50.0,,,,,63.0,,,,,East Asia & Pacific
1998,69.0,56.0,43.0,,,,,49.0,,,,,East Asia & Pacific
1997,64.0,54.0,37.0,,,,,34.0,,,,,East Asia & Pacific
1996,73.0,74.0,50.0,,,,,50.0,,,,,East Asia & Pacific
1995,82.0,84.0,64.0,,,,,67.0,,,,,East Asia & Pacific
1994,90.0,91.0,77.0,,,,,83.0,,,,,East Asia & Pacific
1993,99.0,96.0,90.0,,,,,99.0,,,,,East Asia & Pacific
1992,99.0,96.0,90.0,,,,,99.0,,,,,East Asia & Pacific
1991,99.0,98.0,97.0,,,,,98.0,,,,,East Asia & Pacific
1990,99.0,98.0,98.0,,,,,98.0,,,,,East Asia & Pacific
1989,99.0,98.0,97.0,,,,,99.0,,,,,East Asia & Pacific
1988,98.0,95.0,87.0,,,,,58.0,,,,,East Asia & Pacific
1987,69.0,95.0,86.0,,,,,35.0,,,,,East Asia & Pacific
1986,53.0,82.0,61.0,,,,,44.0,,,,,East Asia & Pacific
1985,51.0,78.0,55.0,,,,,38.0,,,,,East Asia & Pacific
1984,49.0,86.0,67.0,,,,,31.0,,,,,East Asia & Pacific
1983,52.0,76.0,52.0,,,,,30.0,,,,,East Asia & Pacific
1982,51.0,75.0,51.0,,,,,29.0,,,,,East Asia & Pacific
1981,52.0,76.0,52.0,,,,,31.0,,,,,East Asia & Pacific
1980,50.0,74.0,50.0,,,,,29.0,,,,,East Asia & Pacific
