Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,69.0,67.0,61.0,61.0,25.0,61.0,35.0,61.0,,43.0,61.0,
2017,79.0,69.0,62.0,62.0,33.0,62.0,32.0,62.0,,44.0,62.0,
2016,89.0,87.0,72.0,72.0,35.0,72.0,14.0,70.0,,20.0,70.0,
2015,82.0,83.0,73.0,73.0,32.0,73.0,,79.0,,20.0,79.0,
2014,98.0,87.0,73.0,73.0,31.0,73.0,,84.0,,,,
2013,99.0,88.0,79.0,79.0,37.0,79.0,,89.0,,,,
2012,99.0,85.0,74.0,74.0,35.0,74.0,,86.0,,,,
2011,99.0,83.0,72.0,72.0,31.0,72.0,,79.0,,,,
2010,96.0,80.0,67.0,67.0,31.0,67.0,,74.0,,,,
2009,96.0,80.0,73.0,66.0,26.0,73.0,,74.0,,,,
2008,85.0,70.0,63.0,59.0,27.0,,,73.0,,,,
2007,84.0,76.0,71.0,61.0,29.0,,,77.0,,,,
2006,92.0,85.0,72.0,71.0,35.0,,,84.0,,,,
2005,90.0,80.0,72.0,63.0,,,,82.0,,,,
2004,89.0,81.0,62.0,60.0,,,,77.0,,,,
2003,89.0,88.0,68.0,67.0,,,,77.0,,,,
2002,84.0,81.0,61.0,60.0,,,,73.0,,,,
2001,81.0,77.0,55.0,59.0,,,,65.0,,,,
2000,88.0,84.0,59.0,57.0,,,,69.0,,,,
1999,82.0,82.0,60.0,54.0,,,,67.0,,,,
1998,86.0,85.0,60.0,47.0,,,,63.0,,,,
1997,88.0,87.0,45.0,44.0,,,,50.0,,,,
1996,80.0,80.0,56.0,43.0,,,,24.0,,,,
1995,91.0,97.0,62.0,23.0,,,,42.0,,,,
1994,85.0,91.0,61.0,20.0,,,,36.0,,,,
1993,94.0,93.0,58.0,7.0,,,,28.0,,,,
1992,82.0,82.0,58.0,12.0,,,,70.0,,,,
1991,89.0,93.0,68.0,19.0,,,,69.0,,,,
1990,92.0,97.0,68.0,20.0,,,,67.0,,,,
1989,82.0,77.0,53.0,,,,,52.0,,,,
1988,80.0,72.0,48.0,,,,,46.0,,,,
1987,74.0,69.0,44.0,,,,,37.0,,,,
1986,76.0,69.0,44.0,,,,,39.0,,,,
1985,66.0,65.0,40.0,,,,,33.0,,,,
1984,66.0,59.0,34.0,,,,,26.0,,,,
1983,58.0,52.0,27.0,,,,,1.0,,,,
1982,50.0,54.0,29.0,,,,,,,,,
1981,64.0,57.0,32.0,,,,,,,,,
1980,62.0,57.0,32.0,,,,,,,,,
