Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,75.0,66.0,65.0,65.0,50.0,65.0,41.0,67.0,40.0,43.0,67.0,
2017,82.0,72.0,72.0,72.0,55.0,72.0,41.0,73.0,46.0,36.0,73.0,
2016,90.0,87.0,86.0,86.0,59.0,86.0,37.0,80.0,47.0,36.0,80.0,
2015,80.0,69.0,60.0,60.0,56.0,60.0,,82.0,51.0,17.0,82.0,2.0
2014,79.0,78.0,67.0,67.0,51.0,67.0,,79.0,47.0,35.0,79.0,1.0
2013,87.0,93.0,89.0,89.0,46.0,89.0,,87.0,45.0,,87.0,28.0
2012,89.0,91.0,88.0,88.0,39.0,22.0,,87.0,35.0,,87.0,5.0
2011,91.0,92.0,87.0,87.0,46.0,14.0,,87.0,33.0,,87.0,
2010,83.0,81.0,79.0,77.0,37.0,1.0,,80.0,10.0,,80.0,
2009,90.0,89.0,87.0,85.0,34.0,,,88.0,19.0,,,
2008,93.0,94.0,91.0,88.0,21.0,,,92.0,,,,
2007,90.0,90.0,87.0,87.0,9.0,,,92.0,,,,
2006,91.0,90.0,88.0,77.0,,,,92.0,,,,
2005,91.0,91.0,89.0,49.0,,,,92.0,,,,
2004,91.0,92.0,88.0,48.0,,,,92.0,,,,
2003,86.0,86.0,84.0,52.0,,,,87.0,,,,
2002,85.0,84.0,79.0,42.0,,,,82.0,,,,
2001,92.0,92.0,79.0,45.0,,,,81.0,,,,
2000,92.0,92.0,78.0,7.0,,,,78.0,,,,
1999,92.0,91.0,80.0,32.0,,,,80.0,,,,
1998,92.0,91.0,81.0,30.0,,,,80.0,,,,
1997,91.0,90.0,81.0,31.0,,,,79.0,,,,
1996,86.0,82.0,75.0,35.0,,,,76.0,,,,
1995,82.0,76.0,70.0,38.0,,,,72.0,,,,
1994,86.0,81.0,73.0,,,,,75.0,,,,
1993,91.0,86.0,76.0,,,,,78.0,,,,
1992,94.0,91.0,80.0,,,,,81.0,,,,
1991,97.0,96.0,90.0,,,,,83.0,,,,
1990,96.0,96.0,88.0,,,,,85.0,,,,
1989,96.0,95.0,86.0,,,,,83.0,,,,
1988,95.0,92.0,79.0,,,,,77.0,,,,
1987,90.0,90.0,72.0,,,,,67.0,,,,
1986,84.0,86.0,66.0,,,,,51.0,,,,
1985,76.0,81.0,59.0,,,,,49.0,,,,
1984,71.0,80.0,57.0,,,,,44.0,,,,
1983,69.0,78.0,55.0,,,,,27.0,,,,
1982,66.0,77.0,54.0,,,,,9.0,,,,
1981,61.0,77.0,54.0,,,,,,,,,
1980,56.0,72.0,47.0,,,,,,,,,
