Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,98.0,98.0,96.0,96.0,91.0,96.0,98.0,95.0,84.0,82.0,95.0,
2017,99.0,98.0,96.0,96.0,91.0,96.0,97.0,95.0,90.0,83.0,95.0,
2016,99.0,98.0,97.0,96.0,91.0,96.0,98.0,95.0,88.0,78.0,95.0,
2015,99.0,98.0,96.0,96.0,71.0,96.0,98.0,95.0,90.0,75.0,95.0,
2014,99.0,98.0,96.0,96.0,68.0,86.0,,95.0,90.0,68.0,95.0,
2013,99.0,98.0,97.0,97.0,68.0,85.0,,95.0,90.0,60.0,95.0,
2012,99.0,98.0,97.0,97.0,67.0,,,95.0,95.0,52.0,95.0,
2011,99.0,97.0,96.0,96.0,69.0,,,95.0,96.0,40.0,95.0,
2010,99.0,98.0,96.0,96.0,69.0,,,95.0,96.0,22.0,95.0,
2009,99.0,98.0,97.0,96.0,69.0,,,95.0,95.0,17.0,95.0,
2008,99.0,98.0,97.0,97.0,71.0,,,95.0,96.0,,95.0,
2007,99.0,98.0,97.0,96.0,72.0,,,95.0,96.0,,95.0,
2006,98.0,96.0,95.0,95.0,74.0,,,95.0,96.0,,95.0,
2005,98.0,96.0,96.0,96.0,74.0,,,96.0,95.0,,96.0,
2004,99.0,96.0,95.0,94.0,72.0,,,95.0,96.0,,95.0,
2003,99.0,96.0,96.0,95.0,77.0,,,93.0,96.0,,93.0,
2002,98.0,98.0,94.0,95.0,,,,94.0,96.0,,94.0,
2001,98.0,98.0,96.0,95.0,,,,95.0,96.0,,95.0,
2000,99.0,98.0,98.0,97.0,,,,96.0,98.0,,96.0,
1999,99.0,98.0,97.0,96.0,,,,97.0,,,97.0,
1998,98.0,98.0,97.0,96.0,,,,96.0,,,96.0,
1997,98.0,98.0,98.0,97.0,,,,98.0,,,98.0,
1996,98.0,94.0,97.0,96.0,,,,97.0,,,97.0,
1995,98.0,98.0,98.0,96.0,,,,97.0,,,97.0,
1994,97.0,95.0,95.0,94.0,,,,95.0,,,95.0,
1993,98.0,97.0,92.0,90.0,,,,87.0,,,87.0,
1992,99.0,96.0,89.0,78.0,,,,89.0,,,89.0,
1991,99.0,97.0,91.0,76.0,,,,92.0,,,92.0,
1990,99.0,95.0,85.0,74.0,,,,84.0,,,84.0,
1989,99.0,96.0,90.0,,,,,81.0,,,,
1988,99.0,96.0,90.0,,,,,87.0,,,,
1987,98.0,98.0,96.0,,,,,94.0,,,,
1986,99.0,97.0,91.0,,,,,85.0,,,,
1985,93.0,92.0,78.0,,,,,75.0,,,,
1984,93.0,91.0,77.0,,,,,85.0,,,,
1983,83.0,94.0,84.0,,,,,88.0,,,,
1982,87.0,94.0,83.0,,,,,78.0,,,,
1981,83.0,95.0,87.0,,,,,57.0,,,,
1980,85.0,94.0,84.0,,,,,47.0,,,,
