Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,98.0,98.0,98.0,98.0,91.0,98.0,98.0,97.0,97.0,98.0,
2017,98.0,98.0,97.0,98.0,93.0,97.0,97.0,97.0,97.0,97.0,
2016,98.0,98.0,98.0,98.0,92.0,97.0,98.0,97.0,98.0,98.0,
2015,97.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,98.0,
2014,99.0,99.0,99.0,99.0,92.0,97.0,99.0,96.0,,99.0,
2013,99.0,99.0,99.0,99.0,,,99.0,95.0,,99.0,
2012,99.0,99.0,99.0,99.0,,,99.0,97.0,,99.0,
2011,99.0,99.0,99.0,99.0,,,99.0,98.0,,99.0,
2010,96.0,96.0,94.0,94.0,,,98.0,98.0,,98.0,
2009,96.0,96.0,94.0,94.0,,,93.0,99.0,,93.0,
2008,96.0,95.0,94.0,94.0,,,92.0,99.0,,92.0,
2007,96.0,95.0,91.0,91.0,,,92.0,99.0,,92.0,
2006,98.0,98.0,98.0,99.0,,,99.0,99.0,,99.0,
2005,97.0,98.0,96.0,99.0,,,99.0,99.0,,99.0,
2004,93.0,95.0,88.0,92.0,,,99.0,99.0,,99.0,
2003,87.0,97.0,97.0,91.0,,,96.0,95.0,,96.0,
2002,89.0,97.0,97.0,92.0,,,97.0,95.0,,97.0,
2001,81.0,97.0,97.0,89.0,,,96.0,67.0,,96.0,
2000,73.0,97.0,97.0,93.0,,,95.0,39.0,,95.0,
1999,74.0,96.0,86.0,88.0,,,90.0,,,90.0,
1998,75.0,94.0,74.0,82.0,,,85.0,,,85.0,
1997,91.0,93.0,80.0,88.0,,,85.0,,,85.0,
1996,92.0,96.0,90.0,93.0,,,89.0,,,89.0,
1995,93.0,99.0,99.0,99.0,,,93.0,,,93.0,
1994,93.0,97.0,93.0,,,,92.0,,,92.0,
1993,88.0,96.0,88.0,,,,92.0,,,92.0,
1992,83.0,94.0,84.0,,,,93.0,,,93.0,
1991,77.0,92.0,79.0,,,,93.0,,,93.0,
1990,72.0,90.0,74.0,,,,93.0,,,93.0,
1989,70.0,96.0,89.0,,,,95.0,,,95.0,
1988,57.0,80.0,58.0,,,,70.0,,,70.0,
1987,54.0,80.0,57.0,,,,82.0,,,82.0,
1986,47.0,91.0,76.0,,,,89.0,,,89.0,
1985,47.0,91.0,76.0,,,,89.0,,,89.0,
1984,47.0,91.0,76.0,,,,61.0,,,61.0,
1983,45.0,87.0,69.0,,,,33.0,,,33.0,
1982,44.0,82.0,61.0,,,,5.0,,,5.0,
1981,42.0,82.0,61.0,,,,5.0,,,,
1980,,,,,,,4.0,,,,
