Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,99.0,99.0,97.0,97.0,99.0,,95.0,96.0,87.0,,96.0,
2017,99.0,99.0,99.0,99.0,99.0,,95.0,99.0,95.0,,99.0,
2016,99.0,99.0,99.0,99.0,,,,99.0,95.0,,99.0,
2015,99.0,99.0,99.0,99.0,,,,99.0,95.0,,99.0,
2014,99.0,99.0,99.0,99.0,,,,99.0,94.0,,99.0,
2013,99.0,99.0,99.0,99.0,,,,99.0,94.0,,99.0,
2012,99.0,99.0,99.0,98.0,,,,98.0,91.0,,98.0,
2011,99.0,99.0,99.0,98.0,,,,98.0,91.0,,98.0,
2010,99.0,99.0,99.0,98.0,,,,98.0,91.0,,98.0,
2009,99.0,99.0,99.0,98.0,,,,98.0,91.0,,98.0,
2008,99.0,99.0,99.0,98.0,,,,98.0,91.0,,98.0,
2007,99.0,99.0,98.0,96.0,,,,96.0,94.0,,96.0,
2006,99.0,99.0,98.0,96.0,,,,96.0,94.0,,96.0,
2005,99.0,99.0,98.0,96.0,,,,96.0,95.0,,96.0,
2004,99.0,99.0,98.0,96.0,,,,96.0,95.0,,96.0,
2003,99.0,99.0,98.0,96.0,,,,96.0,92.0,,96.0,
2002,99.0,98.0,96.0,95.0,,,,94.0,89.0,,94.0,
2001,99.0,98.0,96.0,95.0,,,,94.0,86.0,,94.0,
2000,99.0,98.0,97.0,95.0,,,,94.0,99.0,,94.0,
1999,98.0,99.0,97.0,95.0,,,,96.0,,,96.0,
1998,99.0,98.0,96.0,95.0,,,,96.0,,,96.0,
1997,99.0,98.0,95.0,94.0,,,,93.0,,,93.0,
1996,98.0,97.0,94.0,93.0,,,,92.0,,,92.0,
1995,98.0,98.0,96.0,93.0,,,,91.0,,,91.0,
1994,99.0,97.0,93.0,66.0,,,,86.0,,,86.0,
1993,99.0,96.0,89.0,58.0,,,,80.0,,,80.0,
1992,99.0,95.0,85.0,15.0,,,,74.0,,,,
1991,99.0,96.0,90.0,,,,,79.0,,,,
1990,99.0,97.0,92.0,,,,,80.0,,,,
1989,98.0,96.0,84.0,,,,,66.0,,,,
1988,91.0,93.0,80.0,,,,,63.0,,,,
1987,93.0,91.0,75.0,,,,,52.0,,,,
1986,83.0,86.0,66.0,,,,,45.0,,,,
1985,80.0,83.0,62.0,,,,,26.0,,,,
1984,76.0,77.0,53.0,,,,,5.0,,,,
1983,75.0,73.0,49.0,,,,,,,,,
1982,73.0,73.0,49.0,,,,,,,,,
1981,71.0,76.0,52.0,,,,,,,,,
1980,68.0,73.0,49.0,,,,,,,,,
