Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,92.0,83.0,83.0,66.0,83.0,81.0,77.0,54.0,,77.0,,East Asia & Pacific
2017,95.0,92.0,83.0,83.0,61.0,83.0,80.0,77.0,57.0,,77.0,,East Asia & Pacific
2016,86.0,86.0,79.0,79.0,42.0,79.0,48.0,74.0,30.0,,74.0,,East Asia & Pacific
2015,79.0,80.0,76.0,76.0,,76.0,,70.0,,,,,East Asia & Pacific
2014,79.0,81.0,77.0,77.0,,77.0,,74.0,,,,,East Asia & Pacific
2013,86.0,87.0,82.0,82.0,,82.0,,70.0,,,,,East Asia & Pacific
2012,86.0,84.0,83.0,83.0,,,,73.0,,,,,East Asia & Pacific
2011,79.0,70.0,67.0,67.0,,,,62.0,,,,,East Asia & Pacific
2010,79.0,76.0,72.0,72.0,,,,66.0,,,,,East Asia & Pacific
2009,74.0,77.0,72.0,72.0,,,,70.0,,,,,East Asia & Pacific
2008,85.0,85.0,79.0,79.0,,,,73.0,,,,,East Asia & Pacific
2007,74.0,76.0,70.0,,,,,63.0,,,,,East Asia & Pacific
2006,74.0,71.0,63.0,,,,,61.0,,,,,East Asia & Pacific
2005,70.0,64.0,55.0,,,,,48.0,,,,,East Asia & Pacific
2004,72.0,65.0,57.0,,,,,55.0,,,,,East Asia & Pacific
2003,72.0,65.0,55.0,,,,,55.0,,,,,East Asia & Pacific
2002,75.0,68.0,54.0,,,,,56.0,,,,,East Asia & Pacific
2001,,,,,,,,,,,,,East Asia & Pacific
2000,,,,,,,,,,,,,East Asia & Pacific
1999,,,,,,,,,,,,,East Asia & Pacific
1998,,,,,,,,,,,,,East Asia & Pacific
1997,,,,,,,,,,,,,East Asia & Pacific
1996,,,,,,,,,,,,,East Asia & Pacific
1995,,,,,,,,,,,,,East Asia & Pacific
1994,,,,,,,,,,,,,East Asia & Pacific
1993,,,,,,,,,,,,,East Asia & Pacific
1992,,,,,,,,,,,,,East Asia & Pacific
1991,,,,,,,,,,,,,East Asia & Pacific
1990,,,,,,,,,,,,,East Asia & Pacific
1989,,,,,,,,,,,,,East Asia & Pacific
1988,,,,,,,,,,,,,East Asia & Pacific
1987,,,,,,,,,,,,,East Asia & Pacific
1986,,,,,,,,,,,,,East Asia & Pacific
1985,,,,,,,,,,,,,East Asia & Pacific
1984,,,,,,,,,,,,,East Asia & Pacific
1983,,,,,,,,,,,,,East Asia & Pacific
1982,,,,,,,,,,,,,East Asia & Pacific
1981,,,,,,,,,,,,,East Asia & Pacific
1980,,,,,,,,,,,,,East Asia & Pacific
