Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,88.0,86.0,81.0,81.0,88.0,81.0,81.0,85.0,85.0,,85.0,,East Asia & Pacific
2017,89.0,86.0,81.0,81.0,88.0,81.0,81.0,85.0,85.0,,85.0,,East Asia & Pacific
2016,80.0,83.0,78.0,78.0,80.0,78.0,82.0,84.0,85.0,,84.0,,East Asia & Pacific
2015,80.0,86.0,78.0,78.0,81.0,78.0,34.0,85.0,85.0,,85.0,,East Asia & Pacific
2014,89.0,86.0,80.0,80.0,89.0,80.0,,85.0,78.0,,85.0,,East Asia & Pacific
2013,89.0,86.0,82.0,82.0,89.0,82.0,,86.0,86.0,,86.0,,East Asia & Pacific
2012,84.0,81.0,77.0,77.0,84.0,77.0,,81.0,81.0,,81.0,,East Asia & Pacific
2011,89.0,86.0,82.0,82.0,89.0,82.0,,85.0,85.0,,85.0,,East Asia & Pacific
2010,89.0,86.0,82.0,82.0,88.0,81.0,,86.0,84.0,,86.0,,East Asia & Pacific
2009,90.0,87.0,84.0,84.0,88.0,81.0,,87.0,84.0,,87.0,,East Asia & Pacific
2008,91.0,90.0,86.0,84.0,88.0,81.0,,89.0,84.0,,89.0,,East Asia & Pacific
2007,92.0,91.0,87.0,87.0,89.0,82.0,,90.0,85.0,,90.0,,East Asia & Pacific
2006,93.0,92.0,88.0,89.0,89.0,82.0,,90.0,85.0,,90.0,,East Asia & Pacific
2005,93.0,94.0,89.0,89.0,89.0,82.0,,92.0,84.0,,92.0,,East Asia & Pacific
2004,95.0,95.0,90.0,90.0,89.0,,,93.0,85.0,,93.0,,East Asia & Pacific
2003,95.0,96.0,90.0,85.0,89.0,,,93.0,82.0,,93.0,,East Asia & Pacific
2002,92.0,94.0,84.0,88.0,88.0,,,85.0,,,85.0,,East Asia & Pacific
2001,88.0,99.0,89.0,91.0,89.0,,,89.0,,,,,East Asia & Pacific
2000,97.0,99.0,91.0,93.0,89.0,,,92.0,,,,,East Asia & Pacific
1999,99.0,99.0,91.0,90.0,,,,95.0,,,,,East Asia & Pacific
1998,99.0,98.0,96.0,95.0,,,,95.0,,,,,East Asia & Pacific
1997,99.0,98.0,96.0,95.0,,,,97.0,,,,,East Asia & Pacific
1996,99.0,99.0,99.0,94.0,,,,95.0,,,,,East Asia & Pacific
1995,99.0,98.0,95.0,91.0,,,,94.0,,,,,East Asia & Pacific
1994,99.0,96.0,89.0,90.0,,,,86.0,,,,,East Asia & Pacific
1993,97.0,98.0,96.0,96.0,,,,87.0,,,,,East Asia & Pacific
1992,96.0,99.0,99.0,82.0,,,,87.0,,,,,East Asia & Pacific
1991,99.0,96.0,88.0,88.0,,,,90.0,,,,,East Asia & Pacific
1990,99.0,97.0,94.0,94.0,,,,86.0,,,,,East Asia & Pacific
1989,97.0,97.0,93.0,,,,,84.0,,,,,East Asia & Pacific
1988,95.0,97.0,92.0,,,,,81.0,,,,,East Asia & Pacific
1987,93.0,99.0,99.0,,,,,88.0,,,,,East Asia & Pacific
1986,98.0,91.0,75.0,,,,,37.0,,,,,East Asia & Pacific
1985,99.0,97.0,92.0,,,,,81.0,,,,,East Asia & Pacific
1984,78.0,75.0,51.0,,,,,43.0,,,,,East Asia & Pacific
1983,83.0,84.0,63.0,,,,,67.0,,,,,East Asia & Pacific
1982,98.0,76.0,52.0,,,,,44.0,,,,,East Asia & Pacific
1981,86.0,62.0,37.0,,,,,9.0,,,,,East Asia & Pacific
1980,99.0,65.0,40.0,,,,,,,,,,East Asia & Pacific
