Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,94.0,93.0,85.0,85.0,80.0,85.0,84.0,75.0,,,75.0,
2017,95.0,91.0,85.0,85.0,75.0,85.0,85.0,80.0,,,80.0,
2016,94.0,93.0,81.0,81.0,,81.0,50.0,84.0,,,84.0,
2015,95.0,89.0,80.0,80.0,,80.0,4.0,76.0,,,76.0,
2014,95.0,94.0,86.0,86.0,,86.0,,90.0,,,,
2013,93.0,92.0,84.0,83.0,,86.0,,84.0,,,,
2012,92.0,90.0,82.0,79.0,,64.0,,79.0,,,,
2011,90.0,88.0,79.0,76.0,,64.0,,75.0,,,,
2010,88.0,86.0,77.0,73.0,,,,70.0,,,,
2009,86.0,84.0,75.0,69.0,,,,65.0,,,,
2008,85.0,82.0,73.0,66.0,,,,61.0,,,,
2007,83.0,80.0,70.0,62.0,,,,56.0,,,,
2006,81.0,78.0,68.0,59.0,,,,52.0,,,,
2005,81.0,79.0,68.0,61.0,,,,53.0,,,,
2004,80.0,80.0,69.0,63.0,,,,55.0,,,,
2003,80.0,82.0,69.0,64.0,,,,56.0,,,,
2002,80.0,83.0,70.0,66.0,,,,58.0,,,,
2001,79.0,84.0,70.0,68.0,,,,59.0,,,,
2000,79.0,85.0,71.0,70.0,,,,61.0,,,,
1999,79.0,87.0,71.0,71.0,,,,62.0,,,,
1998,78.0,88.0,72.0,73.0,,,,64.0,,,,
1997,78.0,89.0,72.0,75.0,,,,65.0,,,,
1996,72.0,86.0,67.0,69.0,,,,61.0,,,,
1995,67.0,90.0,73.0,66.0,,,,60.0,,,,
1994,82.0,90.0,74.0,69.0,,,,53.0,,,,
1993,96.0,95.0,86.0,82.0,,,,74.0,,,,
1992,84.0,91.0,77.0,82.0,,,,66.0,,,,
1991,99.0,94.0,83.0,46.0,,,,63.0,,,,
1990,96.0,91.0,76.0,,,,,66.0,,,,
1989,80.0,82.0,61.0,,,,,50.0,,,,
1988,73.0,80.0,58.0,,,,,46.0,,,,
1987,79.0,79.0,56.0,,,,,34.0,,,,
1986,75.0,56.0,31.0,,,,,22.0,,,,
1985,83.0,55.0,30.0,,,,,26.0,,,,
1984,64.0,53.0,28.0,,,,,18.0,,,,
1983,58.0,52.0,27.0,,,,,23.0,,,,
1982,61.0,46.0,22.0,,,,,20.0,,,,
1981,32.0,,,,,,,,,,,
1980,,,,,,,,,,,,
