Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC
2018,95.0,78.0,75.0,75.0,74.0,75.0,19.0,97.0,90.0,,90.0,
2017,97.0,98.0,94.0,94.0,77.0,94.0,,97.0,93.0,,93.0,
2016,95.0,96.0,96.0,96.0,68.0,96.0,,99.0,95.0,,95.0,
2015,97.0,98.0,97.0,97.0,70.0,97.0,,97.0,92.0,,92.0,
2014,96.0,95.0,95.0,95.0,55.0,95.0,,97.0,94.0,,,
2013,95.0,83.0,59.0,59.0,56.0,59.0,,98.0,86.0,,,
2012,98.0,99.0,97.0,97.0,76.0,97.0,,96.0,83.0,,,
2011,98.0,97.0,95.0,95.0,55.0,95.0,,96.0,93.0,,,
2010,94.0,93.0,93.0,88.0,21.0,63.0,,98.0,98.0,,,
2009,97.0,97.0,96.0,94.0,40.0,,,97.0,96.0,,,
2008,92.0,97.0,93.0,87.0,25.0,,,92.0,97.0,,,
2007,94.0,92.0,92.0,67.0,27.0,,,83.0,18.0,,,
2006,95.0,94.0,94.0,93.0,,,,93.0,,,,
2005,95.0,98.0,95.0,94.0,,,,95.0,,,,
2004,96.0,98.0,96.0,94.0,,,,97.0,,,,
2003,97.0,99.0,99.0,78.0,,,,93.0,,,,
2002,97.0,85.0,75.0,,,,,96.0,,,,
2001,97.0,99.0,96.0,,,,,98.0,,,,
2000,98.0,97.0,96.0,,,,,97.0,,,,
1999,95.0,97.0,93.0,,,,,94.0,,,,
1998,93.0,98.0,94.0,,,,,96.0,,,,
1997,96.0,98.0,95.0,,,,,96.0,,,,
1996,95.0,97.0,94.0,,,,,96.0,,,,
1995,96.0,97.0,93.0,,,,,95.0,,,,
1994,96.0,97.0,94.0,,,,,96.0,,,,
1993,94.0,97.0,91.0,,,,,93.0,,,,
1992,91.0,96.0,88.0,,,,,90.0,,,,
1991,91.0,96.0,88.0,,,,,88.0,,,,
1990,90.0,96.0,88.0,,,,,88.0,,,,
1989,94.0,96.0,88.0,,,,,76.0,,,,
1988,79.0,88.0,70.0,,,,,56.0,,,,
1987,59.0,74.0,50.0,,,,,36.0,,,,
1986,55.0,68.0,43.0,,,,,39.0,,,,
1985,50.0,67.0,42.0,,,,,19.0,,,,
1984,48.0,24.0,5.0,,,,,4.0,,,,
1983,4.0,22.0,4.0,,,,,3.0,,,,
1982,,,,,,,,1.0,,,,
1981,,,,,,,,,,,,
1980,,,,,,,,,,,,
