Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,99.0,99.0,99.0,99.0,99.0,99.0,94.0,96.0,98.0,94.0,,Eastern Europe & Central Asia
2017,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,98.0,99.0,96.0,,Eastern Europe & Central Asia
2016,99.0,99.0,98.0,98.0,99.0,98.0,98.0,96.0,98.0,98.0,96.0,,Eastern Europe & Central Asia
2015,99.0,99.0,99.0,99.0,99.0,99.0,99.0,97.0,98.0,99.0,97.0,,Eastern Europe & Central Asia
2014,99.0,99.0,98.0,98.0,99.0,98.0,,98.0,98.0,99.0,98.0,,Eastern Europe & Central Asia
2013,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,,Eastern Europe & Central Asia
2012,96.0,99.0,99.0,99.0,97.0,99.0,,98.0,99.0,99.0,98.0,,Eastern Europe & Central Asia
2011,97.0,99.0,99.0,99.0,97.0,99.0,,99.0,99.0,99.0,99.0,,Eastern Europe & Central Asia
2010,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2009,97.0,99.0,98.0,98.0,98.0,98.0,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2008,99.0,99.0,99.0,99.0,98.0,,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2007,98.0,98.0,98.0,98.0,98.0,,,97.0,95.0,,97.0,,Eastern Europe & Central Asia
2006,97.0,98.0,97.0,98.0,99.0,,,95.0,94.0,,95.0,,Eastern Europe & Central Asia
2005,98.0,99.0,98.0,98.0,99.0,,,97.0,97.0,,97.0,,Eastern Europe & Central Asia
2004,97.0,98.0,97.0,99.0,99.0,,,96.0,96.0,,96.0,,Eastern Europe & Central Asia
2003,95.0,97.0,97.0,97.0,98.0,,,93.0,93.0,,93.0,,Eastern Europe & Central Asia
2002,94.0,98.0,98.0,96.0,99.0,,,96.0,93.0,,96.0,,Eastern Europe & Central Asia
2001,93.0,97.0,97.0,96.0,98.0,,,95.0,90.0,,95.0,,Eastern Europe & Central Asia
2000,93.0,98.0,97.0,96.0,98.0,,,95.0,,,,,Eastern Europe & Central Asia
1999,93.0,98.0,97.0,96.0,,,,85.0,,,,,Eastern Europe & Central Asia
1998,87.0,99.0,96.0,94.0,,,,89.0,,,,,Eastern Europe & Central Asia
1997,94.0,99.0,99.0,97.0,,,,95.0,,,,,Eastern Europe & Central Asia
1996,94.0,98.0,98.0,96.0,,,,92.0,,,,,Eastern Europe & Central Asia
1995,97.0,98.0,97.0,88.0,,,,91.0,,,,,Eastern Europe & Central Asia
1994,87.0,99.0,99.0,99.0,,,,90.0,,,,,Eastern Europe & Central Asia
1993,82.0,98.0,96.0,,,,,76.0,,,,,Eastern Europe & Central Asia
1992,81.0,97.0,94.0,,,,,87.0,,,,,Eastern Europe & Central Asia
1991,80.0,92.0,78.0,,,,,80.0,,,,,Eastern Europe & Central Asia
1990,94.0,97.0,94.0,,,,,88.0,,,,,Eastern Europe & Central Asia
1989,94.0,97.0,94.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1988,92.0,98.0,96.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1987,92.0,98.0,96.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1986,92.0,98.0,96.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1985,92.0,98.0,96.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1984,90.0,98.0,95.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1983,90.0,98.0,95.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1982,92.0,98.0,95.0,,,,,93.0,,,,,Eastern Europe & Central Asia
1981,93.0,97.0,94.0,,,,,90.0,,,,,Eastern Europe & Central Asia
1980,93.0,97.0,94.0,,,,,90.0,,,,,Eastern Europe & Central Asia
