Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,96.0,92.0,92.0,97.0,92.0,93.0,95.0,96.0,92.0,95.0,93.0,Eastern Europe & Central Asia
2017,99.0,97.0,94.0,94.0,97.0,94.0,92.0,96.0,97.0,94.0,96.0,94.0,Eastern Europe & Central Asia
2016,99.0,97.0,94.0,94.0,98.0,94.0,34.0,97.0,97.0,94.0,97.0,94.0,Eastern Europe & Central Asia
2015,99.0,97.0,94.0,94.0,98.0,94.0,,97.0,97.0,44.0,97.0,93.0,Eastern Europe & Central Asia
2014,99.0,97.0,93.0,93.0,98.0,93.0,,97.0,97.0,,97.0,91.0,Eastern Europe & Central Asia
2013,99.0,97.0,95.0,95.0,98.0,95.0,,97.0,97.0,,97.0,33.0,Eastern Europe & Central Asia
2012,96.0,98.0,95.0,95.0,95.0,95.0,,97.0,97.0,,97.0,,Eastern Europe & Central Asia
2011,96.0,98.0,95.0,95.0,95.0,95.0,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2010,95.0,98.0,94.0,94.0,94.0,48.0,,97.0,97.0,,97.0,,Eastern Europe & Central Asia
2009,99.0,97.0,93.0,93.0,92.0,,,96.0,96.0,,96.0,,Eastern Europe & Central Asia
2008,98.0,96.0,89.0,89.0,91.0,,,94.0,94.0,,94.0,,Eastern Europe & Central Asia
2007,94.0,96.0,88.0,85.0,92.0,,,92.0,93.0,,92.0,,Eastern Europe & Central Asia
2006,91.0,95.0,87.0,78.0,92.0,,,92.0,85.0,,92.0,,Eastern Europe & Central Asia
2005,94.0,96.0,90.0,91.0,93.0,,,94.0,92.0,,94.0,,Eastern Europe & Central Asia
2004,96.0,97.0,91.0,91.0,94.0,,,92.0,94.0,,92.0,,Eastern Europe & Central Asia
2003,92.0,98.0,94.0,93.0,95.0,,,94.0,93.0,,94.0,,Eastern Europe & Central Asia
2002,97.0,98.0,94.0,91.0,95.0,,,91.0,95.0,,91.0,,Eastern Europe & Central Asia
2001,96.0,98.0,94.0,69.0,96.0,,,93.0,96.0,,,,Eastern Europe & Central Asia
2000,97.0,97.0,93.0,55.0,97.0,,,92.0,94.0,,,,Eastern Europe & Central Asia
1999,93.0,97.0,91.0,,,,,92.0,,,,,Eastern Europe & Central Asia
1998,95.0,93.0,82.0,,,,,94.0,,,,,Eastern Europe & Central Asia
1997,72.0,96.0,88.0,,,,,92.0,,,,,Eastern Europe & Central Asia
1996,82.0,95.0,86.0,,,,,89.0,,,,,Eastern Europe & Central Asia
1995,84.0,98.0,98.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1994,83.0,95.0,86.0,,,,,95.0,,,,,Eastern Europe & Central Asia
1993,84.0,95.0,85.0,,,,,95.0,,,,,Eastern Europe & Central Asia
1992,88.0,95.0,85.0,,,,,93.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
