Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,96.0,95.0,95.0,99.0,95.0,95.0,96.0,96.0,95.0,96.0,,Eastern Europe & Central Asia
2017,97.0,97.0,95.0,95.0,99.0,95.0,96.0,98.0,97.0,96.0,98.0,,Eastern Europe & Central Asia
2016,98.0,98.0,97.0,97.0,99.0,97.0,88.0,98.0,98.0,97.0,98.0,,Eastern Europe & Central Asia
2015,98.0,97.0,96.0,96.0,99.0,96.0,,98.0,98.0,94.0,98.0,,Eastern Europe & Central Asia
2014,98.0,96.0,94.0,94.0,99.0,94.0,,98.0,98.0,64.0,98.0,,Eastern Europe & Central Asia
2013,98.0,95.0,93.0,93.0,99.0,93.0,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2012,98.0,94.0,89.0,88.0,98.0,89.0,,94.0,95.0,,94.0,,Eastern Europe & Central Asia
2011,99.0,94.0,87.0,84.0,99.0,36.0,,92.0,92.0,,92.0,,Eastern Europe & Central Asia
2010,98.0,94.0,81.0,80.0,98.0,,,89.0,89.0,,89.0,,Eastern Europe & Central Asia
2009,95.0,90.0,81.0,74.0,95.0,,,85.0,83.0,,85.0,,Eastern Europe & Central Asia
2008,92.0,90.0,81.0,68.0,92.0,,,79.0,79.0,,79.0,,Eastern Europe & Central Asia
2007,88.0,87.0,79.0,62.0,88.0,,,75.0,75.0,,75.0,,Eastern Europe & Central Asia
2006,86.0,86.0,78.0,52.0,86.0,,,69.0,68.0,,69.0,,Eastern Europe & Central Asia
2005,82.0,81.0,75.0,49.0,82.0,,,67.0,67.0,,67.0,,Eastern Europe & Central Asia
2004,82.0,84.0,77.0,50.0,82.0,,,67.0,67.0,,67.0,,Eastern Europe & Central Asia
2003,83.0,83.0,77.0,51.0,83.0,,,67.0,66.0,,67.0,,Eastern Europe & Central Asia
2002,82.0,82.0,76.0,50.0,82.0,,,66.0,67.0,,,,Eastern Europe & Central Asia
2001,83.0,83.0,77.0,,,,,68.0,65.0,,,,Eastern Europe & Central Asia
2000,81.0,83.0,76.0,,,,,67.0,,,,,Eastern Europe & Central Asia
1999,82.0,83.0,75.0,,,,,68.0,,,,,Eastern Europe & Central Asia
1998,79.0,81.0,73.0,,,,,67.0,,,,,Eastern Europe & Central Asia
1997,77.0,78.0,70.0,,,,,66.0,,,,,Eastern Europe & Central Asia
1996,76.0,82.0,74.0,,,,,65.0,,,,,Eastern Europe & Central Asia
1995,76.0,79.0,74.0,,,,,64.0,,,,,Eastern Europe & Central Asia
1994,77.0,77.0,69.0,,,,,60.0,,,,,Eastern Europe & Central Asia
1993,74.0,65.0,66.0,,,,,49.0,,,,,Eastern Europe & Central Asia
1992,69.0,64.0,58.0,,,,,52.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
