Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,97.0,97.0,98.0,98.0,9.0,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2017,98.0,97.0,97.0,98.0,98.0,9.0,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2016,98.0,99.0,98.0,96.0,98.0,11.0,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2015,97.0,99.0,99.0,99.0,98.0,9.0,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2014,98.0,97.0,97.0,97.0,99.0,20.0,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2013,99.0,99.0,98.0,98.0,99.0,23.0,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2012,98.0,98.0,98.0,97.0,98.0,22.0,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2011,99.0,99.0,98.0,98.0,98.0,21.0,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2010,99.0,99.0,98.0,96.0,98.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2009,98.0,98.0,96.0,98.0,98.0,19.0,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2008,98.0,98.0,97.0,98.0,98.0,6.0,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2007,98.0,99.0,95.0,91.0,98.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2006,99.0,99.0,99.0,98.0,99.0,,97.0,95.0,,97.0,,Eastern Europe & Central Asia
2005,99.0,99.0,99.0,99.0,99.0,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2004,99.0,99.0,99.0,99.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2003,99.0,74.0,50.0,56.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2002,99.0,99.0,99.0,99.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2001,99.0,99.0,99.0,93.0,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2000,99.0,99.0,99.0,70.0,,,98.0,92.0,,98.0,,Eastern Europe & Central Asia
1999,99.0,99.0,99.0,,,,98.0,,,98.0,,Eastern Europe & Central Asia
1998,99.0,99.0,99.0,,,,98.0,,,98.0,,Eastern Europe & Central Asia
1997,98.0,98.0,98.0,,,,97.0,,,97.0,,Eastern Europe & Central Asia
1996,97.0,98.0,98.0,,,,96.0,,,96.0,,Eastern Europe & Central Asia
1995,96.0,98.0,96.0,,,,93.0,,,,,Eastern Europe & Central Asia
1994,94.0,97.0,92.0,,,,97.0,,,,,Eastern Europe & Central Asia
1993,93.0,97.0,91.0,,,,96.0,,,,,Eastern Europe & Central Asia
1992,95.0,96.0,90.0,,,,94.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,Eastern Europe & Central Asia
