Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,89.0,73.0,80.0,,62.0,89.0,68.0,76.0,,68.0,,Eastern Europe & Central Asia
2017,97.0,92.0,75.0,77.0,,68.0,91.0,69.0,80.0,,69.0,,Eastern Europe & Central Asia
2016,97.0,90.0,78.0,78.0,,69.0,58.0,68.0,78.0,,68.0,,Eastern Europe & Central Asia
2015,95.0,89.0,82.0,82.0,,78.0,56.0,83.0,88.0,,83.0,,Eastern Europe & Central Asia
2014,98.0,92.0,86.0,89.0,,79.0,,89.0,92.0,,89.0,,Eastern Europe & Central Asia
2013,97.0,94.0,89.0,91.0,,83.0,,92.0,93.0,,92.0,,Eastern Europe & Central Asia
2012,96.0,95.0,92.0,92.0,,87.0,,94.0,94.0,,94.0,,Eastern Europe & Central Asia
2011,94.0,94.0,88.0,88.0,,85.0,,89.0,88.0,,89.0,,Eastern Europe & Central Asia
2010,96.0,95.0,89.0,89.0,,83.0,,91.0,91.0,,91.0,,Eastern Europe & Central Asia
2009,97.0,95.0,90.0,90.0,,80.0,,93.0,88.0,,93.0,,Eastern Europe & Central Asia
2008,96.0,95.0,91.0,88.0,,83.0,,84.0,92.0,,84.0,,Eastern Europe & Central Asia
2007,98.0,96.0,95.0,94.0,,83.0,,96.0,95.0,,96.0,,Eastern Europe & Central Asia
2006,97.0,94.0,87.0,90.0,,82.0,,85.0,93.0,,85.0,,Eastern Europe & Central Asia
2005,95.0,95.0,93.0,93.0,,50.0,,90.0,90.0,,90.0,,Eastern Europe & Central Asia
2004,95.0,93.0,84.0,36.0,,49.0,,88.0,88.0,,88.0,,Eastern Europe & Central Asia
2003,94.0,93.0,87.0,,,,,84.0,85.0,,84.0,,Eastern Europe & Central Asia
2002,91.0,86.0,80.0,,,,,89.0,90.0,,89.0,,Eastern Europe & Central Asia
2001,95.0,94.0,91.0,,,,,92.0,86.0,,92.0,,Eastern Europe & Central Asia
2000,93.0,90.0,85.0,,,,,80.0,74.0,,80.0,,Eastern Europe & Central Asia
1999,99.0,90.0,90.0,,,,,83.0,,,83.0,,Eastern Europe & Central Asia
1998,92.0,91.0,89.0,,,,,84.0,,,84.0,,Eastern Europe & Central Asia
1997,97.0,92.0,79.0,,,,,86.0,,,86.0,,Eastern Europe & Central Asia
1996,80.0,86.0,67.0,,,,,70.0,,,70.0,,Eastern Europe & Central Asia
1995,64.0,78.0,55.0,,,,,53.0,,,53.0,,Eastern Europe & Central Asia
1994,85.0,94.0,82.0,,,,,57.0,,,57.0,,Eastern Europe & Central Asia
1993,24.0,63.0,38.0,,,,,48.0,,,48.0,,Eastern Europe & Central Asia
1992,20.0,80.0,58.0,,,,,52.0,,,52.0,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
