Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,94.0,92.0,85.0,96.0,92.0,93.0,87.0,88.0,93.0,31.0,Eastern Europe & Central Asia
2017,96.0,96.0,92.0,92.0,97.0,92.0,94.0,92.0,91.0,94.0,,Eastern Europe & Central Asia
2016,96.0,94.0,92.0,91.0,96.0,92.0,92.0,88.0,90.0,92.0,,Eastern Europe & Central Asia
2015,96.0,93.0,91.0,92.0,97.0,87.0,92.0,87.0,90.0,92.0,,Eastern Europe & Central Asia
2014,97.0,90.0,88.0,95.0,98.0,83.0,93.0,89.0,92.0,93.0,,Eastern Europe & Central Asia
2013,97.0,96.0,95.0,95.0,98.0,95.0,95.0,94.0,94.0,95.0,,Eastern Europe & Central Asia
2012,97.0,96.0,95.0,95.0,98.0,95.0,94.0,94.0,94.0,94.0,,Eastern Europe & Central Asia
2011,98.0,96.0,95.0,96.0,99.0,95.0,95.0,94.0,94.0,95.0,,Eastern Europe & Central Asia
2010,98.0,96.0,94.0,95.0,98.0,91.0,97.0,96.0,69.0,97.0,,Eastern Europe & Central Asia
2009,98.0,96.0,94.0,96.0,98.0,,96.0,93.0,,96.0,,Eastern Europe & Central Asia
2008,98.0,97.0,95.0,96.0,98.0,,96.0,94.0,,96.0,,Eastern Europe & Central Asia
2007,98.0,96.0,95.0,95.0,98.0,,96.0,94.0,,96.0,,Eastern Europe & Central Asia
2006,98.0,97.0,95.0,96.0,99.0,,96.0,93.0,,96.0,,Eastern Europe & Central Asia
2005,98.0,97.0,96.0,96.0,99.0,,96.0,92.0,,96.0,,Eastern Europe & Central Asia
2004,98.0,95.0,95.0,94.0,98.0,,95.0,91.0,,95.0,,Eastern Europe & Central Asia
2003,98.0,96.0,96.0,96.0,98.0,,96.0,89.0,,96.0,,Eastern Europe & Central Asia
2002,98.0,97.0,93.0,88.0,96.0,,92.0,79.0,,92.0,,Eastern Europe & Central Asia
2001,98.0,95.0,94.0,93.0,99.0,,90.0,85.0,,90.0,,Eastern Europe & Central Asia
2000,98.0,95.0,93.0,94.0,98.0,,89.0,83.0,,89.0,,Eastern Europe & Central Asia
1999,99.0,96.0,96.0,97.0,,,96.0,,,96.0,,Eastern Europe & Central Asia
1998,98.0,96.0,95.0,97.0,,,95.0,,,95.0,,Eastern Europe & Central Asia
1997,97.0,97.0,94.0,77.0,,,93.0,,,93.0,,Eastern Europe & Central Asia
1996,98.0,98.0,95.0,94.0,,,95.0,,,95.0,,Eastern Europe & Central Asia
1995,99.0,98.0,96.0,95.0,,,94.0,,,94.0,,Eastern Europe & Central Asia
1994,98.0,97.0,93.0,94.0,,,93.0,,,93.0,,Eastern Europe & Central Asia
1993,99.0,98.0,98.0,96.0,,,88.0,,,88.0,,Eastern Europe & Central Asia
1992,99.0,98.0,98.0,71.0,,,92.0,,,,,Eastern Europe & Central Asia
1991,99.0,99.0,99.0,,,,98.0,,,,,Eastern Europe & Central Asia
1990,99.0,99.0,99.0,,,,99.0,,,,,Eastern Europe & Central Asia
1989,99.0,99.0,99.0,,,,99.0,,,,,Eastern Europe & Central Asia
1988,99.0,99.0,99.0,,,,99.0,,,,,Eastern Europe & Central Asia
1987,99.0,99.0,99.0,,,,99.0,,,,,Eastern Europe & Central Asia
1986,99.0,99.0,99.0,,,,99.0,,,,,Eastern Europe & Central Asia
1985,99.0,99.0,99.0,,,,99.0,,,,,Eastern Europe & Central Asia
1984,99.0,99.0,99.0,,,,98.0,,,,,Eastern Europe & Central Asia
1983,99.0,99.0,99.0,,,,98.0,,,,,Eastern Europe & Central Asia
1982,99.0,99.0,99.0,,,,90.0,,,,,Eastern Europe & Central Asia
1981,99.0,99.0,99.0,,,,98.0,,,,,Eastern Europe & Central Asia
1980,99.0,98.0,98.0,,,,98.0,,,,,Eastern Europe & Central Asia
