Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,99.0,93.0,93.0,97.0,93.0,99.0,98.0,96.0,81.0,98.0,79.0,Eastern Europe & Central Asia
2017,96.0,98.0,91.0,91.0,94.0,91.0,98.0,95.0,90.0,80.0,95.0,76.0,Eastern Europe & Central Asia
2016,98.0,97.0,92.0,92.0,94.0,92.0,97.0,93.0,85.0,75.0,93.0,75.0,Eastern Europe & Central Asia
2015,96.0,97.0,94.0,94.0,93.0,87.0,10.0,96.0,91.0,16.0,96.0,72.0,Eastern Europe & Central Asia
2014,96.0,99.0,91.0,91.0,95.0,91.0,,92.0,87.0,,92.0,69.0,Eastern Europe & Central Asia
2013,95.0,99.0,93.0,96.0,80.0,96.0,,97.0,89.0,,97.0,41.0,Eastern Europe & Central Asia
2012,95.0,94.0,92.0,92.0,92.0,92.0,,93.0,79.0,,93.0,,Eastern Europe & Central Asia
2011,96.0,98.0,94.0,89.0,93.0,94.0,,91.0,77.0,,91.0,,Eastern Europe & Central Asia
2010,96.0,99.0,92.0,95.0,95.0,67.0,,94.0,84.0,,94.0,,Eastern Europe & Central Asia
2009,95.0,99.0,88.0,54.0,73.0,,,83.0,71.0,,83.0,,Eastern Europe & Central Asia
2008,95.0,99.0,92.0,89.0,99.0,,,97.0,87.0,,97.0,,Eastern Europe & Central Asia
2007,96.0,99.0,98.0,94.0,99.0,,,97.0,92.0,,97.0,,Eastern Europe & Central Asia
2006,95.0,99.0,88.0,84.0,97.0,,,96.0,88.0,,96.0,,Eastern Europe & Central Asia
2005,95.0,91.0,82.0,79.0,93.0,,,90.0,87.0,,90.0,,Eastern Europe & Central Asia
2004,91.0,88.0,78.0,64.0,92.0,,,86.0,75.0,,86.0,,Eastern Europe & Central Asia
2003,87.0,95.0,75.0,48.0,90.0,,,76.0,57.0,,,,Eastern Europe & Central Asia
2002,91.0,96.0,84.0,51.0,80.0,,,75.0,40.0,,,,Eastern Europe & Central Asia
2001,94.0,97.0,87.0,61.0,69.0,,,74.0,8.0,,,,Eastern Europe & Central Asia
2000,95.0,89.0,80.0,55.0,,,,73.0,,,,,Eastern Europe & Central Asia
1999,95.0,88.0,84.0,,,,,76.0,,,,,Eastern Europe & Central Asia
1998,94.0,87.0,80.0,,,,,73.0,,,,,Eastern Europe & Central Asia
1997,76.0,88.0,80.0,,,,,69.0,,,,,Eastern Europe & Central Asia
1996,70.0,90.0,80.0,,,,,65.0,,,,,Eastern Europe & Central Asia
1995,70.0,91.0,79.0,,,,,61.0,,,,,Eastern Europe & Central Asia
1994,30.0,80.0,58.0,,,,,63.0,,,,,Eastern Europe & Central Asia
1993,30.0,77.0,54.0,,,,,61.0,,,,,Eastern Europe & Central Asia
1992,67.0,80.0,58.0,,,,,16.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
