Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,99.0,98.0,98.0,95.0,98.0,99.0,99.0,98.0,95.0,99.0,,Eastern Europe & Central Asia
2017,95.0,99.0,99.0,99.0,90.0,99.0,99.0,99.0,99.0,98.0,99.0,,Eastern Europe & Central Asia
2016,95.0,93.0,82.0,82.0,95.0,82.0,93.0,99.0,99.0,97.0,99.0,,Eastern Europe & Central Asia
2015,95.0,99.0,98.0,98.0,95.0,98.0,99.0,99.0,98.0,74.0,99.0,,Eastern Europe & Central Asia
2014,95.0,96.0,95.0,95.0,95.0,95.0,,99.0,99.0,58.0,99.0,,Eastern Europe & Central Asia
2013,95.0,99.0,98.0,99.0,95.0,98.0,,99.0,99.0,52.0,99.0,,Eastern Europe & Central Asia
2012,95.0,99.0,99.0,95.0,96.0,97.0,,96.0,97.0,37.0,96.0,,Eastern Europe & Central Asia
2011,96.0,99.0,99.0,99.0,96.0,95.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2010,96.0,99.0,99.0,99.0,96.0,96.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2009,96.0,98.0,98.0,99.0,97.0,97.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2008,97.0,99.0,99.0,99.0,95.0,49.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2007,99.0,97.0,93.0,94.0,96.0,,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2006,99.0,99.0,99.0,99.0,97.0,,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2005,69.0,99.0,98.0,94.0,98.0,,,99.0,96.0,,99.0,,Eastern Europe & Central Asia
2004,65.0,85.0,82.0,99.0,99.0,,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2003,99.0,99.0,99.0,99.0,99.0,,,99.0,99.0,,,,Eastern Europe & Central Asia
2002,99.0,96.0,95.0,95.0,99.0,,,95.0,98.0,,,,Eastern Europe & Central Asia
2001,95.0,96.0,95.0,95.0,95.0,,,95.0,95.0,,,,Eastern Europe & Central Asia
2000,98.0,98.0,97.0,99.0,98.0,,,99.0,98.0,,,,Eastern Europe & Central Asia
1999,99.0,98.0,98.0,90.0,,,,99.0,,,,,Eastern Europe & Central Asia
1998,99.0,99.0,99.0,49.0,,,,99.0,,,,,Eastern Europe & Central Asia
1997,99.0,98.0,97.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1996,93.0,98.0,95.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1995,90.0,97.0,93.0,,,,,95.0,,,,,Eastern Europe & Central Asia
1994,86.0,91.0,76.0,,,,,91.0,,,,,Eastern Europe & Central Asia
1993,93.0,91.0,76.0,,,,,91.0,,,,,Eastern Europe & Central Asia
1992,90.0,93.0,81.0,,,,,89.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
