Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,98.0,94.0,92.0,97.0,92.0,54.0,96.0,96.0,92.0,96.0,,Eastern Europe & Central Asia
2017,97.0,94.0,92.0,92.0,97.0,92.0,,95.0,96.0,88.0,95.0,,Eastern Europe & Central Asia
2016,97.0,97.0,96.0,96.0,96.0,96.0,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2015,97.0,99.0,97.0,97.0,97.0,97.0,,99.0,96.0,,99.0,,Eastern Europe & Central Asia
2014,97.0,96.0,96.0,96.0,99.0,96.0,,96.0,97.0,,96.0,,Eastern Europe & Central Asia
2013,98.0,98.0,97.0,97.0,96.0,97.0,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2012,98.0,96.0,96.0,96.0,94.0,96.0,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2011,98.0,97.0,96.0,96.0,73.0,96.0,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2010,98.0,99.0,96.0,96.0,99.0,96.0,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2009,98.0,98.0,95.0,96.0,98.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2008,99.0,99.0,95.0,97.0,98.0,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2007,98.0,98.0,94.0,94.0,98.0,,,99.0,95.0,,99.0,,Eastern Europe & Central Asia
2006,99.0,96.0,92.0,90.0,97.0,,,97.0,97.0,,97.0,,Eastern Europe & Central Asia
2005,96.0,98.0,98.0,97.0,98.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2004,98.0,99.0,99.0,99.0,99.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2003,99.0,99.0,98.0,99.0,99.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2002,99.0,99.0,98.0,99.0,99.0,,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2001,99.0,99.0,99.0,57.0,93.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2000,96.0,99.0,99.0,44.0,45.0,,,98.0,96.0,,,,Eastern Europe & Central Asia
1999,99.0,99.0,99.0,10.0,,,,99.0,,,,,Eastern Europe & Central Asia
1998,94.0,98.0,97.0,,,,,98.0,,,,,Eastern Europe & Central Asia
1997,97.0,98.0,98.0,,,,,98.0,,,,,Eastern Europe & Central Asia
1996,99.0,98.0,98.0,,,,,98.0,,,,,Eastern Europe & Central Asia
1995,96.0,97.0,93.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1994,97.0,94.0,82.0,,,,,88.0,,,,,Eastern Europe & Central Asia
1993,95.0,84.0,64.0,,,,,93.0,,,,,Eastern Europe & Central Asia
1992,97.0,94.0,84.0,,,,,94.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
