Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,96.0,93.0,94.0,96.0,92.0,56.0,93.0,96.0,94.0,93.0,75.0,Eastern Europe & Central Asia
2017,96.0,91.0,88.0,89.0,96.0,88.0,,93.0,92.0,78.0,93.0,65.0,Eastern Europe & Central Asia
2016,97.0,94.0,89.0,90.0,99.0,89.0,,88.0,95.0,77.0,88.0,70.0,Eastern Europe & Central Asia
2015,97.0,88.0,87.0,88.0,96.0,86.0,,89.0,90.0,71.0,89.0,62.0,Eastern Europe & Central Asia
2014,97.0,94.0,90.0,92.0,96.0,89.0,,90.0,93.0,28.0,90.0,69.0,Eastern Europe & Central Asia
2013,96.0,96.0,90.0,91.0,95.0,89.0,,91.0,94.0,1.0,91.0,65.0,Eastern Europe & Central Asia
2012,99.0,97.0,92.0,94.0,99.0,90.0,,91.0,95.0,,91.0,21.0,Eastern Europe & Central Asia
2011,98.0,96.0,93.0,96.0,99.0,78.0,,91.0,96.0,,91.0,,Eastern Europe & Central Asia
2010,98.0,93.0,90.0,98.0,98.0,63.0,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2009,96.0,88.0,85.0,89.0,98.0,47.0,,90.0,98.0,,90.0,,Eastern Europe & Central Asia
2008,98.0,96.0,90.0,97.0,99.0,,,95.0,97.0,,95.0,,Eastern Europe & Central Asia
2007,98.0,95.0,92.0,95.0,99.0,,,96.0,95.0,,96.0,,Eastern Europe & Central Asia
2006,99.0,97.0,97.0,98.0,99.0,,,96.0,99.0,,96.0,,Eastern Europe & Central Asia
2005,97.0,98.0,98.0,99.0,99.0,,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2004,99.0,99.0,98.0,99.0,99.0,,,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2003,99.0,99.0,98.0,99.0,99.0,,,96.0,96.0,,96.0,,Eastern Europe & Central Asia
2002,99.0,99.0,97.0,99.0,99.0,,,94.0,69.0,,94.0,,Eastern Europe & Central Asia
2001,99.0,97.0,97.0,94.0,91.0,,,94.0,,,,,Eastern Europe & Central Asia
2000,99.0,98.0,95.0,92.0,93.0,,,89.0,,,,,Eastern Europe & Central Asia
1999,99.0,99.0,97.0,94.0,,,,93.0,,,,,Eastern Europe & Central Asia
1998,98.0,99.0,97.0,93.0,,,,93.0,,,,,Eastern Europe & Central Asia
1997,97.0,98.0,97.0,87.0,,,,95.0,,,,,Eastern Europe & Central Asia
1996,97.0,98.0,97.0,81.0,,,,90.0,,,,,Eastern Europe & Central Asia
1995,95.0,98.0,96.0,19.0,,,,91.0,,,,,Eastern Europe & Central Asia
1994,94.0,95.0,86.0,,,,,85.0,,,,,Eastern Europe & Central Asia
1993,92.0,88.0,70.0,,,,,64.0,,,,,Eastern Europe & Central Asia
1992,92.0,94.0,84.0,,,,,73.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
