Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,83.0,95.0,87.0,73.0,,87.0,95.0,58.0,83.0,,58.0,,Eastern Europe & Central Asia
2017,83.0,95.0,87.0,73.0,,87.0,95.0,58.0,83.0,,58.0,,Eastern Europe & Central Asia
2016,85.0,97.0,89.0,75.0,,89.0,97.0,47.0,86.0,,47.0,,Eastern Europe & Central Asia
2015,88.0,96.0,89.0,82.0,,89.0,96.0,64.0,94.0,,64.0,,Eastern Europe & Central Asia
2014,91.0,97.0,91.0,87.0,,91.0,,76.0,95.0,,76.0,,Eastern Europe & Central Asia
2013,93.0,98.0,94.0,90.0,,94.0,,88.0,94.0,,88.0,,Eastern Europe & Central Asia
2012,95.0,98.0,94.0,90.0,,94.0,,90.0,97.0,,90.0,,Eastern Europe & Central Asia
2011,97.0,98.0,95.0,91.0,,90.0,,91.0,97.0,,91.0,,Eastern Europe & Central Asia
2010,95.0,97.0,94.0,90.0,,90.0,,90.0,97.0,,90.0,,Eastern Europe & Central Asia
2009,95.0,96.0,92.0,87.0,,87.0,,86.0,96.0,,86.0,,Eastern Europe & Central Asia
2008,98.0,98.0,95.0,93.0,,93.0,,89.0,96.0,,89.0,,Eastern Europe & Central Asia
2007,98.0,98.0,92.0,90.0,,89.0,,90.0,95.0,,90.0,,Eastern Europe & Central Asia
2006,98.0,95.0,90.0,90.0,,90.0,,90.0,,,90.0,,Eastern Europe & Central Asia
2005,,,,,,,,,,,,,Eastern Europe & Central Asia
2004,,,,,,,,,,,,,Eastern Europe & Central Asia
2003,,,,,,,,,,,,,Eastern Europe & Central Asia
2002,,,,,,,,,,,,,Eastern Europe & Central Asia
2001,,,,,,,,,,,,,Eastern Europe & Central Asia
2000,,,,,,,,,,,,,Eastern Europe & Central Asia
1999,,,,,,,,,,,,,Eastern Europe & Central Asia
1998,,,,,,,,,,,,,Eastern Europe & Central Asia
1997,,,,,,,,,,,,,Eastern Europe & Central Asia
1996,,,,,,,,,,,,,Eastern Europe & Central Asia
1995,,,,,,,,,,,,,Eastern Europe & Central Asia
1994,,,,,,,,,,,,,Eastern Europe & Central Asia
1993,,,,,,,,,,,,,Eastern Europe & Central Asia
1992,,,,,,,,,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
