Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,97.0,91.0,91.0,98.0,91.0,97.0,83.0,97.0,,83.0,,Eastern Europe & Central Asia
2017,97.0,97.0,91.0,91.0,98.0,91.0,97.0,83.0,97.0,,83.0,,Eastern Europe & Central Asia
2016,99.0,97.0,95.0,94.0,98.0,94.0,97.0,82.0,93.0,,82.0,,Eastern Europe & Central Asia
2015,94.0,98.0,91.0,92.0,98.0,89.0,98.0,89.0,93.0,,89.0,,Eastern Europe & Central Asia
2014,99.0,98.0,95.0,97.0,98.0,94.0,,93.0,96.0,,93.0,,Eastern Europe & Central Asia
2013,97.0,99.0,98.0,97.0,98.0,97.0,,96.0,96.0,,96.0,,Eastern Europe & Central Asia
2012,95.0,98.0,95.0,98.0,99.0,95.0,,96.0,96.0,,96.0,,Eastern Europe & Central Asia
2011,94.0,97.0,96.0,96.0,97.0,96.0,,97.0,98.0,,97.0,,Eastern Europe & Central Asia
2010,96.0,97.0,95.0,90.0,95.0,89.0,,98.0,99.0,,98.0,,Eastern Europe & Central Asia
2009,98.0,96.0,96.0,95.0,93.0,82.0,,96.0,97.0,,96.0,,Eastern Europe & Central Asia
2008,94.0,96.0,95.0,97.0,92.0,13.0,,98.0,95.0,,98.0,,Eastern Europe & Central Asia
2007,95.0,95.0,95.0,96.0,90.0,,,96.0,95.0,,96.0,,Eastern Europe & Central Asia
2006,92.0,95.0,93.0,89.0,88.0,,,94.0,96.0,,94.0,,Eastern Europe & Central Asia
2005,99.0,99.0,97.0,53.0,,,,96.0,95.0,,96.0,,Eastern Europe & Central Asia
2004,94.0,96.0,94.0,,,,,96.0,95.0,,96.0,,Eastern Europe & Central Asia
2003,95.0,99.0,96.0,,,,,96.0,97.0,,96.0,,Eastern Europe & Central Asia
2002,91.0,99.0,96.0,,,,,98.0,95.0,,98.0,,Eastern Europe & Central Asia
2001,97.0,95.0,91.0,,,,,92.0,94.0,,92.0,,Eastern Europe & Central Asia
2000,97.0,98.0,95.0,,,,,97.0,95.0,,97.0,,Eastern Europe & Central Asia
1999,97.0,98.0,95.0,,,,,98.0,,,98.0,,Eastern Europe & Central Asia
1998,90.0,98.0,94.0,,,,,96.0,,,96.0,,Eastern Europe & Central Asia
1997,97.0,98.0,97.0,,,,,98.0,,,98.0,,Eastern Europe & Central Asia
1996,98.0,97.0,93.0,,,,,91.0,,,91.0,,Eastern Europe & Central Asia
1995,95.0,98.0,95.0,,,,,97.0,,,97.0,,Eastern Europe & Central Asia
1994,90.0,96.0,88.0,,,,,88.0,,,88.0,,Eastern Europe & Central Asia
1993,95.0,96.0,90.0,,,,,98.0,,,98.0,,Eastern Europe & Central Asia
1992,,,,,,,,,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
