Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,94.0,86.0,93.0,36.0,86.0,90.0,81.0,,90.0,,Eastern Europe & Central Asia
2017,97.0,94.0,82.0,92.0,36.0,82.0,86.0,75.0,,86.0,,Eastern Europe & Central Asia
2016,84.0,94.0,89.0,90.0,93.0,89.0,86.0,76.0,,86.0,,Eastern Europe & Central Asia
2015,98.0,95.0,89.0,90.0,96.0,89.0,86.0,80.0,,86.0,,Eastern Europe & Central Asia
2014,98.0,95.0,94.0,94.0,73.0,90.0,89.0,84.0,,89.0,,Eastern Europe & Central Asia
2013,98.0,95.0,92.0,96.0,98.0,91.0,92.0,88.0,,92.0,,Eastern Europe & Central Asia
2012,99.0,95.0,91.0,96.0,99.0,92.0,94.0,90.0,,94.0,,Eastern Europe & Central Asia
2011,99.0,96.0,89.0,96.0,99.0,89.0,93.0,91.0,,93.0,,Eastern Europe & Central Asia
2010,99.0,96.0,94.0,98.0,98.0,,95.0,93.0,,95.0,,Eastern Europe & Central Asia
2009,99.0,96.0,95.0,95.0,97.0,,96.0,94.0,,96.0,,Eastern Europe & Central Asia
2008,99.0,96.0,96.0,97.0,99.0,,96.0,95.0,,96.0,,Eastern Europe & Central Asia
2007,99.0,97.0,96.0,99.0,90.0,,97.0,96.0,,97.0,,Eastern Europe & Central Asia
2006,99.0,97.0,97.0,99.0,99.0,,95.0,96.0,,95.0,,Eastern Europe & Central Asia
2005,98.0,97.0,97.0,98.0,99.0,,97.0,96.0,,97.0,,Eastern Europe & Central Asia
2004,99.0,97.0,97.0,99.0,99.0,,97.0,96.0,,97.0,,Eastern Europe & Central Asia
2003,99.0,98.0,97.0,98.0,99.0,,97.0,97.0,,97.0,,Eastern Europe & Central Asia
2002,99.0,98.0,98.0,99.0,99.0,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2001,99.0,99.0,99.0,98.0,99.0,,98.0,97.0,,,,Eastern Europe & Central Asia
2000,99.0,99.0,99.0,98.0,99.0,,98.0,96.0,,,,Eastern Europe & Central Asia
1999,99.0,99.0,97.0,99.0,,,98.0,,,,,Eastern Europe & Central Asia
1998,99.0,99.0,97.0,99.0,,,97.0,,,,,Eastern Europe & Central Asia
1997,99.0,99.0,97.0,99.0,,,97.0,,,,,Eastern Europe & Central Asia
1996,99.0,98.0,98.0,99.0,,,94.0,,,,,Eastern Europe & Central Asia
1995,99.0,98.0,98.0,,,,93.0,,,,,Eastern Europe & Central Asia
1994,99.0,98.0,98.0,,,,91.0,,,,,Eastern Europe & Central Asia
1993,99.0,97.0,91.0,,,,93.0,,,,,Eastern Europe & Central Asia
1992,99.0,98.0,98.0,,,,91.0,,,,,Eastern Europe & Central Asia
1991,99.0,98.0,98.0,,,,92.0,,,,,Eastern Europe & Central Asia
1990,90.0,98.0,96.0,,,,92.0,,,,,Eastern Europe & Central Asia
1989,90.0,98.0,96.0,,,,90.0,,,,,Eastern Europe & Central Asia
1988,93.0,98.0,96.0,,,,78.0,,,,,Eastern Europe & Central Asia
1987,95.0,97.0,92.0,,,,90.0,,,,,Eastern Europe & Central Asia
1986,93.0,96.0,89.0,,,,81.0,,,,,Eastern Europe & Central Asia
1985,,98.0,95.0,,,,88.0,,,,,Eastern Europe & Central Asia
1984,,,,,,,86.0,,,,,Eastern Europe & Central Asia
1983,,,,,,,83.0,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,Eastern Europe & Central Asia
