Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,97.0,97.0,97.0,,,97.0,98.0,97.0,82.0,98.0,,Eastern Europe & Central Asia
2017,95.0,97.0,97.0,97.0,,,97.0,98.0,97.0,70.0,98.0,,Eastern Europe & Central Asia
2016,96.0,97.0,97.0,97.0,,,97.0,98.0,97.0,35.0,98.0,,Eastern Europe & Central Asia
2015,96.0,97.0,97.0,97.0,,,97.0,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2014,96.0,97.0,97.0,97.0,,,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2013,96.0,97.0,97.0,97.0,,,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2012,96.0,97.0,97.0,97.0,,,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2011,95.0,97.0,97.0,97.0,,,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2010,96.0,97.0,97.0,97.0,,,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2009,96.0,99.0,98.0,98.0,,,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2008,96.0,99.0,98.0,98.0,,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2007,97.0,99.0,98.0,98.0,,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2006,97.0,99.0,98.0,98.0,,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2005,97.0,99.0,98.0,97.0,,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2004,96.0,97.0,97.0,96.0,,,,98.0,97.0,,98.0,,Eastern Europe & Central Asia
2003,97.0,97.0,96.0,94.0,,,,98.0,96.0,,98.0,,Eastern Europe & Central Asia
2002,97.0,97.0,97.0,81.0,,,,98.0,93.0,,98.0,,Eastern Europe & Central Asia
2001,96.0,97.0,96.0,43.0,,,,97.0,88.0,,97.0,,Eastern Europe & Central Asia
2000,96.0,97.0,96.0,,,,,97.0,86.0,,97.0,,Eastern Europe & Central Asia
1999,96.0,97.0,95.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1998,95.0,96.0,91.0,,,,,94.0,,,,,Eastern Europe & Central Asia
1997,94.0,96.0,88.0,,,,,91.0,,,,,Eastern Europe & Central Asia
1996,93.0,94.0,84.0,,,,,88.0,,,,,Eastern Europe & Central Asia
1995,92.0,92.0,78.0,,,,,85.0,,,,,Eastern Europe & Central Asia
1994,92.0,96.0,88.0,,,,,81.0,,,,,Eastern Europe & Central Asia
1993,87.0,92.0,79.0,,,,,88.0,,,,,Eastern Europe & Central Asia
1992,86.0,89.0,73.0,,,,,83.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
