Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,98.0,96.0,91.0,99.0,96.0,98.0,92.0,90.0,48.0,92.0,,Eastern Europe & Central Asia
2017,97.0,98.0,95.0,93.0,99.0,95.0,98.0,86.0,91.0,,86.0,,Eastern Europe & Central Asia
2016,98.0,97.0,92.0,91.0,99.0,92.0,97.0,82.0,90.0,,82.0,,Eastern Europe & Central Asia
2015,98.0,98.0,95.0,94.0,99.0,95.0,98.0,86.0,86.0,,86.0,,Eastern Europe & Central Asia
2014,98.0,97.0,93.0,92.0,99.0,94.0,,86.0,91.0,,86.0,,Eastern Europe & Central Asia
2013,97.0,98.0,95.0,91.0,99.0,92.0,,92.0,82.0,,92.0,,Eastern Europe & Central Asia
2012,98.0,97.0,91.0,97.0,99.0,90.0,,87.0,90.0,,87.0,,Eastern Europe & Central Asia
2011,99.0,98.0,94.0,94.0,99.0,93.0,,93.0,90.0,,93.0,,Eastern Europe & Central Asia
2010,99.0,97.0,91.0,89.0,99.0,91.0,,95.0,91.0,,95.0,,Eastern Europe & Central Asia
2009,98.0,98.0,95.0,93.0,99.0,94.0,,95.0,87.0,,95.0,,Eastern Europe & Central Asia
2008,99.0,98.0,95.0,93.0,99.0,98.0,,92.0,97.0,,92.0,,Eastern Europe & Central Asia
2007,98.0,98.0,94.0,99.0,99.0,89.0,,95.0,96.0,,95.0,,Eastern Europe & Central Asia
2006,99.0,97.0,92.0,93.0,98.0,42.0,,88.0,90.0,,88.0,,Eastern Europe & Central Asia
2005,98.0,99.0,98.0,65.0,98.0,,,96.0,98.0,,96.0,,Eastern Europe & Central Asia
2004,97.0,91.0,88.0,89.0,98.0,,,89.0,96.0,,89.0,,Eastern Europe & Central Asia
2003,94.0,91.0,89.0,,,,,87.0,96.0,,87.0,,Eastern Europe & Central Asia
2002,91.0,98.0,95.0,,,,,92.0,75.0,,92.0,,Eastern Europe & Central Asia
2001,88.0,95.0,93.0,,,,,90.0,74.0,,90.0,,Eastern Europe & Central Asia
2000,85.0,97.0,95.0,,,,,89.0,78.0,,89.0,,Eastern Europe & Central Asia
1999,82.0,97.0,92.0,,,,,84.0,,,84.0,,Eastern Europe & Central Asia
1998,89.0,97.0,93.0,,,,,88.0,,,88.0,,Eastern Europe & Central Asia
1997,96.0,97.0,94.0,,,,,92.0,,,92.0,,Eastern Europe & Central Asia
1996,97.0,97.0,91.0,,,,,90.0,,,90.0,,Eastern Europe & Central Asia
1995,97.0,96.0,89.0,,,,,86.0,,,86.0,,Eastern Europe & Central Asia
1994,97.0,95.0,85.0,,,,,81.0,,,81.0,,Eastern Europe & Central Asia
1993,97.0,95.0,85.0,,,,,85.0,,,,,Eastern Europe & Central Asia
1992,97.0,94.0,84.0,,,,,82.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
