Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,98.0,96.0,96.0,99.0,96.0,51.0,98.0,97.0,,98.0,96.0,Eastern Europe & Central Asia
2017,98.0,98.0,96.0,96.0,99.0,96.0,,98.0,98.0,,98.0,97.0,Eastern Europe & Central Asia
2016,98.0,98.0,96.0,97.0,92.0,97.0,,97.0,97.0,,97.0,96.0,Eastern Europe & Central Asia
2015,98.0,97.0,96.0,96.0,95.0,96.0,,97.0,94.0,,97.0,85.0,Eastern Europe & Central Asia
2014,98.0,98.0,97.0,97.0,98.0,97.0,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2013,98.0,98.0,96.0,96.0,98.0,96.0,,92.0,92.0,,92.0,,Eastern Europe & Central Asia
2012,97.0,96.0,94.0,94.0,98.0,94.0,,94.0,97.0,,94.0,,Eastern Europe & Central Asia
2011,97.0,98.0,96.0,96.0,98.0,96.0,,98.0,96.0,,98.0,,Eastern Europe & Central Asia
2010,98.0,95.0,93.0,93.0,96.0,93.0,,94.0,95.0,,94.0,,Eastern Europe & Central Asia
2009,82.0,96.0,93.0,93.0,97.0,93.0,,89.0,93.0,,89.0,,Eastern Europe & Central Asia
2008,89.0,92.0,86.0,86.0,85.0,46.0,,86.0,87.0,,,,Eastern Europe & Central Asia
2007,83.0,88.0,86.0,84.0,83.0,,,85.0,90.0,,,,Eastern Europe & Central Asia
2006,93.0,92.0,83.0,88.0,94.0,,,82.0,96.0,,,,Eastern Europe & Central Asia
2005,97.0,92.0,84.0,81.0,98.0,,,85.0,92.0,,,,Eastern Europe & Central Asia
2004,95.0,93.0,86.0,81.0,90.0,,,92.0,98.0,,,,Eastern Europe & Central Asia
2003,98.0,92.0,85.0,58.0,77.0,,,91.0,94.0,,,,Eastern Europe & Central Asia
2002,97.0,92.0,85.0,39.0,80.0,,,89.0,93.0,,,,Eastern Europe & Central Asia
2001,96.0,89.0,85.0,,,,,88.0,72.0,,,,Eastern Europe & Central Asia
2000,98.0,88.0,83.0,,,,,88.0,59.0,,,,Eastern Europe & Central Asia
1999,98.0,88.0,82.0,,,,,79.0,,,,,Eastern Europe & Central Asia
1998,98.0,87.0,79.0,,,,,83.0,,,,,Eastern Europe & Central Asia
1997,99.0,85.0,81.0,,,,,84.0,,,,,Eastern Europe & Central Asia
1996,99.0,80.0,75.0,,,,,79.0,,,,,Eastern Europe & Central Asia
1995,96.0,86.0,80.0,,,,,70.0,,,,,Eastern Europe & Central Asia
1994,96.0,93.0,81.0,,,,,73.0,,,,,Eastern Europe & Central Asia
1993,69.0,84.0,64.0,,,,,81.0,,,,,Eastern Europe & Central Asia
1992,88.0,89.0,72.0,,,,,68.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
