Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,99.0,98.0,98.0,99.0,98.0,96.0,96.0,87.0,97.0,96.0,,Eastern Europe & Central Asia
2017,93.0,98.0,96.0,96.0,99.0,96.0,93.0,96.0,86.0,96.0,96.0,,Eastern Europe & Central Asia
2016,96.0,99.0,98.0,98.0,99.0,98.0,96.0,98.0,85.0,98.0,98.0,,Eastern Europe & Central Asia
2015,96.0,98.0,97.0,97.0,99.0,97.0,97.0,97.0,86.0,97.0,97.0,,Eastern Europe & Central Asia
2014,95.0,97.0,96.0,96.0,99.0,96.0,,94.0,88.0,96.0,94.0,,Eastern Europe & Central Asia
2013,96.0,99.0,98.0,97.0,99.0,98.0,,98.0,98.0,97.0,98.0,,Eastern Europe & Central Asia
2012,96.0,97.0,97.0,97.0,97.0,97.0,,96.0,85.0,97.0,96.0,,Eastern Europe & Central Asia
2011,96.0,98.0,97.0,96.0,97.0,97.0,,98.0,86.0,96.0,98.0,,Eastern Europe & Central Asia
2010,97.0,98.0,97.0,96.0,97.0,97.0,,97.0,91.0,93.0,97.0,,Eastern Europe & Central Asia
2009,96.0,97.0,96.0,94.0,96.0,96.0,,97.0,88.0,97.0,97.0,,Eastern Europe & Central Asia
2008,96.0,97.0,96.0,92.0,96.0,96.0,,97.0,92.0,,97.0,,Eastern Europe & Central Asia
2007,94.0,98.0,96.0,96.0,96.0,76.0,,96.0,94.0,,96.0,,Eastern Europe & Central Asia
2006,88.0,92.0,90.0,82.0,95.0,,,98.0,84.0,,98.0,,Eastern Europe & Central Asia
2005,88.0,92.0,90.0,85.0,94.0,,,91.0,98.0,,,,Eastern Europe & Central Asia
2004,85.0,86.0,85.0,77.0,88.0,,,81.0,97.0,,,,Eastern Europe & Central Asia
2003,88.0,76.0,68.0,68.0,78.0,,,75.0,97.0,,,,Eastern Europe & Central Asia
2002,89.0,82.0,78.0,72.0,,,,83.0,83.0,,,,Eastern Europe & Central Asia
2001,95.0,95.0,88.0,77.0,,,,91.0,91.0,,,,Eastern Europe & Central Asia
2000,96.0,92.0,85.0,71.0,,,,87.0,,,,,Eastern Europe & Central Asia
1999,93.0,92.0,79.0,,,,,82.0,,,,,Eastern Europe & Central Asia
1998,91.0,93.0,81.0,,,,,81.0,,,,,Eastern Europe & Central Asia
1997,89.0,92.0,79.0,,,,,79.0,,,,,Eastern Europe & Central Asia
1996,89.0,89.0,72.0,,,,,72.0,,,,,Eastern Europe & Central Asia
1995,90.0,86.0,67.0,,,,,65.0,,,,,Eastern Europe & Central Asia
1994,91.0,95.0,87.0,,,,,76.0,,,,,Eastern Europe & Central Asia
1993,90.0,91.0,76.0,,,,,72.0,,,,,Eastern Europe & Central Asia
1992,89.0,91.0,77.0,,,,,78.0,,,,,Eastern Europe & Central Asia
1991,91.0,89.0,72.0,,,,,73.0,,,,,Eastern Europe & Central Asia
1990,93.0,94.0,84.0,,,,,78.0,,,,,Eastern Europe & Central Asia
1989,95.0,92.0,79.0,,,,,71.0,,,,,Eastern Europe & Central Asia
1988,97.0,95.0,86.0,,,,,82.0,,,,,Eastern Europe & Central Asia
1987,87.0,95.0,86.0,,,,,67.0,,,,,Eastern Europe & Central Asia
1986,82.0,70.0,45.0,,,,,64.0,,,,,Eastern Europe & Central Asia
1985,76.0,78.0,55.0,,,,,61.0,,,,,Eastern Europe & Central Asia
1984,71.0,79.0,56.0,,,,,62.0,,,,,Eastern Europe & Central Asia
1983,65.0,79.0,56.0,,,,,63.0,,,,,Eastern Europe & Central Asia
1982,47.0,80.0,58.0,,,,,64.0,,,,,Eastern Europe & Central Asia
1981,42.0,84.0,64.0,,,,,52.0,,,,,Eastern Europe & Central Asia
1980,,67.0,42.0,,,,,27.0,,,,,Eastern Europe & Central Asia
