Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2017,98.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2016,98.0,99.0,98.0,98.0,99.0,98.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2015,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2014,99.0,99.0,98.0,97.0,99.0,97.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2013,98.0,99.0,98.0,98.0,99.0,97.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2012,99.0,98.0,97.0,98.0,99.0,97.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2011,98.0,98.0,97.0,97.0,99.0,71.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2010,99.0,99.0,96.0,96.0,99.0,58.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2009,99.0,98.0,96.0,97.0,99.0,,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2008,99.0,98.0,96.0,96.0,99.0,,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2007,99.0,99.0,98.0,98.0,99.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2006,99.0,99.0,98.0,98.0,99.0,,,99.0,99.0,,,,Eastern Europe & Central Asia
2005,99.0,99.0,99.0,99.0,99.0,,,99.0,98.0,,,,Eastern Europe & Central Asia
2004,99.0,98.0,97.0,96.0,99.0,,,97.0,90.0,,,,Eastern Europe & Central Asia
2003,99.0,96.0,83.0,97.0,99.0,,,97.0,89.0,,,,Eastern Europe & Central Asia
2002,99.0,99.0,98.0,96.0,98.0,,,88.0,87.0,,,,Eastern Europe & Central Asia
2001,99.0,96.0,95.0,,,,,98.0,94.0,,,,Eastern Europe & Central Asia
2000,99.0,97.0,97.0,,,,,96.0,92.0,,,,Eastern Europe & Central Asia
1999,99.0,99.0,98.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1998,98.0,99.0,99.0,,,,,99.0,,,,,Eastern Europe & Central Asia
1997,97.0,98.0,98.0,,,,,99.0,,,,,Eastern Europe & Central Asia
1996,93.0,98.0,97.0,,,,,98.0,,,,,Eastern Europe & Central Asia
1995,93.0,97.0,93.0,,,,,92.0,,,,,Eastern Europe & Central Asia
1994,97.0,96.0,90.0,,,,,90.0,,,,,Eastern Europe & Central Asia
1993,94.0,90.0,73.0,,,,,84.0,,,,,Eastern Europe & Central Asia
1992,97.0,94.0,84.0,,,,,76.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
