Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,90.0,65.0,50.0,52.0,49.0,39.0,43.0,91.0,90.0,,91.0,,Eastern Europe & Central Asia
2017,84.0,65.0,50.0,52.0,49.0,39.0,43.0,86.0,84.0,,86.0,,Eastern Europe & Central Asia
2016,75.0,42.0,19.0,26.0,37.0,47.0,75.0,42.0,31.0,,42.0,,Eastern Europe & Central Asia
2015,39.0,59.0,23.0,22.0,57.0,38.0,59.0,56.0,57.0,,56.0,,Eastern Europe & Central Asia
2014,39.0,59.0,23.0,22.0,57.0,38.0,,56.0,57.0,,56.0,,Eastern Europe & Central Asia
2013,95.0,76.0,76.0,46.0,51.0,83.0,,79.0,54.0,,79.0,,Eastern Europe & Central Asia
2012,95.0,76.0,76.0,46.0,51.0,83.0,,79.0,54.0,,79.0,,Eastern Europe & Central Asia
2011,90.0,50.0,50.0,21.0,53.0,26.0,,67.0,56.0,,67.0,,Eastern Europe & Central Asia
2010,92.0,52.0,52.0,48.0,64.0,51.0,,56.0,41.0,,56.0,,Eastern Europe & Central Asia
2009,94.0,71.0,71.0,66.0,73.0,66.0,,75.0,68.0,,75.0,,Eastern Europe & Central Asia
2008,95.0,90.0,90.0,84.0,82.0,81.0,,94.0,95.0,,94.0,,Eastern Europe & Central Asia
2007,98.0,99.0,98.0,92.0,89.0,46.0,,97.0,96.0,,97.0,,Eastern Europe & Central Asia
2006,97.0,99.0,98.0,96.0,88.0,11.0,,98.0,98.0,,98.0,,Eastern Europe & Central Asia
2005,96.0,99.0,96.0,97.0,96.0,,,96.0,96.0,,96.0,,Eastern Europe & Central Asia
2004,98.0,99.0,99.0,98.0,99.0,,,99.0,97.0,,99.0,,Eastern Europe & Central Asia
2003,98.0,99.0,97.0,77.0,85.0,,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2002,98.0,99.0,99.0,48.0,70.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2001,98.0,99.0,99.0,7.0,34.0,,,99.0,98.0,,99.0,,Eastern Europe & Central Asia
2000,98.0,99.0,99.0,4.0,,,,99.0,99.0,,,,Eastern Europe & Central Asia
1999,99.0,99.0,99.0,,,,,99.0,,,,,Eastern Europe & Central Asia
1998,97.0,98.0,98.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1997,97.0,99.0,99.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1996,97.0,99.0,99.0,,,,,92.0,,,,,Eastern Europe & Central Asia
1995,95.0,98.0,98.0,,,,,97.0,,,,,Eastern Europe & Central Asia
1994,92.0,98.0,97.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1993,89.0,97.0,93.0,,,,,94.0,,,,,Eastern Europe & Central Asia
1992,93.0,96.0,88.0,,,,,90.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
