Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,96.0,99.0,98.0,98.0,95.0,98.0,56.0,96.0,99.0,96.0,96.0,84.0,Eastern Europe & Central Asia
2017,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,99.0,Eastern Europe & Central Asia
2016,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,99.0,99.0,99.0,Eastern Europe & Central Asia
2015,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,95.0,Eastern Europe & Central Asia
2014,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,52.0,Eastern Europe & Central Asia
2013,99.0,99.0,99.0,99.0,99.0,99.0,,97.0,99.0,,97.0,,Eastern Europe & Central Asia
2012,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2011,99.0,99.0,99.0,99.0,99.0,99.0,,99.0,99.0,,99.0,,Eastern Europe & Central Asia
2010,99.0,99.0,99.0,99.0,48.0,99.0,,98.0,54.0,,98.0,,Eastern Europe & Central Asia
2009,99.0,99.0,98.0,98.0,99.0,98.0,,95.0,8.0,,95.0,,Eastern Europe & Central Asia
2008,96.0,99.0,98.0,91.0,99.0,,,98.0,26.0,,98.0,,Eastern Europe & Central Asia
2007,99.0,98.0,96.0,99.0,99.0,,,98.0,44.0,,98.0,,Eastern Europe & Central Asia
2006,99.0,96.0,96.0,98.0,99.0,,,98.0,63.0,,98.0,,Eastern Europe & Central Asia
2005,93.0,99.0,99.0,99.0,99.0,,,99.0,81.0,,,,Eastern Europe & Central Asia
2004,99.0,99.0,99.0,99.0,99.0,,,98.0,99.0,,,,Eastern Europe & Central Asia
2003,99.0,99.0,98.0,99.0,99.0,,,99.0,98.0,,,,Eastern Europe & Central Asia
2002,99.0,99.0,99.0,62.0,99.0,,,97.0,97.0,,,,Eastern Europe & Central Asia
2001,98.0,99.0,99.0,,,,,99.0,98.0,,,,Eastern Europe & Central Asia
2000,98.0,99.0,99.0,,,,,99.0,98.0,,,,Eastern Europe & Central Asia
1999,98.0,99.0,99.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1998,97.0,99.0,99.0,,,,,95.0,,,,,Eastern Europe & Central Asia
1997,97.0,98.0,96.0,,,,,96.0,,,,,Eastern Europe & Central Asia
1996,96.0,98.0,95.0,,,,,95.0,,,,,Eastern Europe & Central Asia
1995,99.0,96.0,87.0,,,,,91.0,,,,,Eastern Europe & Central Asia
1994,93.0,86.0,67.0,,,,,71.0,,,,,Eastern Europe & Central Asia
1993,98.0,83.0,45.0,,,,,82.0,,,,,Eastern Europe & Central Asia
1992,98.0,94.0,90.0,,,,,84.0,,,,,Eastern Europe & Central Asia
1991,,,,,,,,,,,,,Eastern Europe & Central Asia
1990,,,,,,,,,,,,,Eastern Europe & Central Asia
1989,,,,,,,,,,,,,Eastern Europe & Central Asia
1988,,,,,,,,,,,,,Eastern Europe & Central Asia
1987,,,,,,,,,,,,,Eastern Europe & Central Asia
1986,,,,,,,,,,,,,Eastern Europe & Central Asia
1985,,,,,,,,,,,,,Eastern Europe & Central Asia
1984,,,,,,,,,,,,,Eastern Europe & Central Asia
1983,,,,,,,,,,,,,Eastern Europe & Central Asia
1982,,,,,,,,,,,,,Eastern Europe & Central Asia
1981,,,,,,,,,,,,,Eastern Europe & Central Asia
1980,,,,,,,,,,,,,Eastern Europe & Central Asia
