Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,86.0,67.0,59.0,59.0,,59.0,40.0,50.0,35.0,67.0,50.0,65.0,28.0,Eastern & Southern Africa
2017,83.0,61.0,52.0,52.0,,52.0,,42.0,30.0,59.0,,58.0,28.0,Eastern & Southern Africa
2016,49.0,67.0,55.0,55.0,,55.0,,45.0,26.0,59.0,,59.0,24.0,Eastern & Southern Africa
2015,69.0,65.0,55.0,55.0,,55.0,,51.0,26.0,58.0,,55.0,43.0,Eastern & Southern Africa
2014,72.0,69.0,55.0,55.0,,55.0,,56.0,,45.0,,18.0,48.0,Eastern & Southern Africa
2013,71.0,67.0,54.0,54.0,,54.0,,59.0,,9.0,,,21.0,Eastern & Southern Africa
2012,73.0,73.0,52.0,52.0,,52.0,,65.0,,,,,36.0,Eastern & Southern Africa
2011,74.0,79.0,46.0,46.0,,46.0,,57.0,,,,,38.0,Eastern & Southern Africa
2010,79.0,85.0,52.0,52.0,,52.0,,62.0,,,,,16.0,Eastern & Southern Africa
2009,70.0,71.0,34.0,34.0,,34.0,,46.0,,,,,17.0,Eastern & Southern Africa
2008,73.0,81.0,41.0,41.0,,41.0,,48.0,,,,,39.0,Eastern & Southern Africa
2007,75.0,66.0,43.0,43.0,,43.0,,58.0,,,,,51.0,Eastern & Southern Africa
2006,54.0,52.0,8.0,,,,,21.0,,,,,22.0,Eastern & Southern Africa
2005,51.0,50.0,15.0,,,,,21.0,,,,,23.0,Eastern & Southern Africa
2004,63.0,66.0,19.0,,,,,43.0,,,,,39.0,Eastern & Southern Africa
2003,54.0,60.0,22.0,,,,,44.0,,,,,31.0,Eastern & Southern Africa
2002,76.0,60.0,27.0,,,,,59.0,,,,,25.0,Eastern & Southern Africa
2001,70.0,54.0,26.0,,,,,60.0,,,,,25.0,Eastern & Southern Africa
2000,53.0,44.0,19.0,,,,,32.0,,,,,29.0,Eastern & Southern Africa
1999,49.0,51.0,13.0,,,,,40.0,,,,,32.0,Eastern & Southern Africa
1998,60.0,59.0,43.0,,,,,59.0,,,,,24.0,Eastern & Southern Africa
1997,70.0,66.0,41.0,,,,,78.0,,,,,16.0,Eastern & Southern Africa
1996,65.0,53.0,28.0,,,,,62.0,,,,,,Eastern & Southern Africa
1995,60.0,48.0,24.0,,,,,46.0,,,,,,Eastern & Southern Africa
1994,48.0,52.0,27.0,,,,,44.0,,,,,,Eastern & Southern Africa
1993,53.0,55.0,30.0,,,,,47.0,,,,,,Eastern & Southern Africa
1992,47.0,45.0,21.0,,,,,39.0,,,,,,Eastern & Southern Africa
1991,53.0,51.0,26.0,,,,,39.0,,,,,,Eastern & Southern Africa
1990,48.0,48.0,24.0,,,,,38.0,,,,,,Eastern & Southern Africa
1989,47.0,41.0,18.0,,,,,48.0,,,,,,Eastern & Southern Africa
1988,32.0,33.0,12.0,,,,,56.0,,,,,,Eastern & Southern Africa
1987,29.0,31.0,10.0,,,,,55.0,,,,,,Eastern & Southern Africa
1986,32.0,31.0,10.0,,,,,44.0,,,,,,Eastern & Southern Africa
1985,28.0,28.0,8.0,,,,,44.0,,,,,,Eastern & Southern Africa
1984,28.0,28.0,8.0,,,,,35.0,,,,,,Eastern & Southern Africa
1983,25.0,25.0,6.0,,,,,26.0,,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,,Eastern & Southern Africa
