Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,98.0,95.0,95.0,,95.0,95.0,97.0,74.0,91.0,97.0,87.0,Eastern & Southern Africa
2017,98.0,98.0,95.0,95.0,,95.0,95.0,97.0,74.0,89.0,97.0,85.0,Eastern & Southern Africa
2016,98.0,98.0,95.0,95.0,,95.0,49.0,97.0,74.0,91.0,97.0,88.0,Eastern & Southern Africa
2015,98.0,98.0,95.0,95.0,,95.0,8.0,97.0,80.0,93.0,,92.0,Eastern & Southern Africa
2014,98.0,98.0,95.0,95.0,,95.0,,97.0,85.0,95.0,,95.0,Eastern & Southern Africa
2013,98.0,98.0,95.0,95.0,,95.0,,97.0,83.0,72.0,,85.0,Eastern & Southern Africa
2012,98.0,98.0,95.0,95.0,,95.0,,97.0,,52.0,,74.0,Eastern & Southern Africa
2011,98.0,98.0,95.0,95.0,,95.0,,97.0,,,,,Eastern & Southern Africa
2010,98.0,98.0,95.0,95.0,,,,96.0,,,,,Eastern & Southern Africa
2009,99.0,98.0,96.0,94.0,,,,96.0,,,,,Eastern & Southern Africa
2008,99.0,98.0,96.0,94.0,,,,95.0,,,,,Eastern & Southern Africa
2007,99.0,98.0,96.0,93.0,,,,95.0,,,,,Eastern & Southern Africa
2006,99.0,98.0,96.0,93.0,,,,94.0,,,,,Eastern & Southern Africa
2005,99.0,98.0,96.0,92.0,,,,93.0,,,,,Eastern & Southern Africa
2004,99.0,98.0,96.0,91.0,,,,93.0,,,,,Eastern & Southern Africa
2003,99.0,98.0,96.0,90.0,,,,92.0,,,,,Eastern & Southern Africa
2002,99.0,98.0,97.0,88.0,,,,92.0,,,,,Eastern & Southern Africa
2001,99.0,98.0,97.0,87.0,,,,91.0,,,,,Eastern & Southern Africa
2000,99.0,98.0,97.0,86.0,,,,91.0,,,,,Eastern & Southern Africa
1999,99.0,98.0,97.0,85.0,,,,90.0,,,,,Eastern & Southern Africa
1998,99.0,98.0,98.0,77.0,,,,89.0,,,,,Eastern & Southern Africa
1997,98.0,98.0,96.0,60.0,,,,89.0,,,,,Eastern & Southern Africa
1996,97.0,98.0,96.0,62.0,,,,89.0,,,,,Eastern & Southern Africa
1995,96.0,98.0,95.0,73.0,,,,89.0,,,,,Eastern & Southern Africa
1994,96.0,99.0,94.0,,,,,88.0,,,,,Eastern & Southern Africa
1993,95.0,99.0,94.0,,,,,88.0,,,,,Eastern & Southern Africa
1992,94.0,99.0,94.0,,,,,88.0,,,,,Eastern & Southern Africa
1991,93.0,99.0,93.0,,,,,88.0,,,,,Eastern & Southern Africa
1990,93.0,99.0,92.0,,,,,87.0,,,,,Eastern & Southern Africa
1989,92.0,99.0,92.0,,,,,87.0,,,,,Eastern & Southern Africa
1988,95.0,96.0,88.0,,,,,87.0,,,,,Eastern & Southern Africa
1987,95.0,93.0,88.0,,,,,87.0,,,,,Eastern & Southern Africa
1986,99.0,98.0,86.0,,,,,91.0,,,,,Eastern & Southern Africa
1985,97.0,98.0,84.0,,,,,85.0,,,,,Eastern & Southern Africa
1984,95.0,98.0,83.0,,,,,82.0,,,,,Eastern & Southern Africa
1983,94.0,97.0,82.0,,,,,79.0,,,,,Eastern & Southern Africa
1982,94.0,97.0,82.0,,,,,75.0,,,,,Eastern & Southern Africa
1981,93.0,93.0,75.0,,,,,70.0,,,,,Eastern & Southern Africa
1980,92.0,89.0,71.0,,,,,63.0,,,,,Eastern & Southern Africa
