Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,91.0,94.0,90.0,90.0,,90.0,50.0,88.0,77.0,90.0,88.0,92.0,,Eastern & Southern Africa
2017,92.0,94.0,91.0,91.0,,91.0,,90.0,75.0,91.0,90.0,93.0,,Eastern & Southern Africa
2016,93.0,97.0,94.0,94.0,,94.0,60.0,93.0,72.0,94.0,,96.0,,Eastern & Southern Africa
2015,93.0,97.0,94.0,94.0,,94.0,4.0,93.0,65.0,94.0,,96.0,,Eastern & Southern Africa
2014,92.0,98.0,95.0,95.0,,95.0,,94.0,60.0,95.0,,84.0,,Eastern & Southern Africa
2013,95.0,98.0,96.0,96.0,,96.0,,98.0,51.0,96.0,,,,Eastern & Southern Africa
2012,98.0,98.0,96.0,96.0,,96.0,,93.0,,96.0,,,,Eastern & Southern Africa
2011,90.0,99.0,96.0,96.0,,96.0,,93.0,,14.0,,,,Eastern & Southern Africa
2010,93.0,99.0,96.0,96.0,,96.0,,92.0,,,,,,Eastern & Southern Africa
2009,98.0,99.0,94.0,94.0,,94.0,,91.0,,,,,,Eastern & Southern Africa
2008,99.0,98.0,92.0,92.0,,92.0,,84.0,,,,,,Eastern & Southern Africa
2007,97.0,99.0,99.0,99.0,,99.0,,88.0,,,,,,Eastern & Southern Africa
2006,98.0,99.0,92.0,92.0,,92.0,,92.0,,,,,,Eastern & Southern Africa
2005,89.0,96.0,87.0,87.0,,87.0,,87.0,,,,,,Eastern & Southern Africa
2004,91.0,95.0,83.0,83.0,,83.0,,78.0,,,,,,Eastern & Southern Africa
2003,90.0,93.0,82.0,,,,,76.0,,,,,,Eastern & Southern Africa
2002,88.0,91.0,81.0,,,,,75.0,,,,,,Eastern & Southern Africa
2001,87.0,90.0,81.0,,,,,73.0,,,,,,Eastern & Southern Africa
2000,85.0,88.0,80.0,,,,,72.0,,,,,,Eastern & Southern Africa
1999,84.0,86.0,79.0,,,,,70.0,,,,,,Eastern & Southern Africa
1998,86.0,86.0,65.0,,,,,68.0,,,,,,Eastern & Southern Africa
1997,87.0,86.0,74.0,,,,,77.0,,,,,,Eastern & Southern Africa
1996,90.0,86.0,73.0,,,,,79.0,,,,,,Eastern & Southern Africa
1995,92.0,86.0,73.0,,,,,80.0,,,,,,Eastern & Southern Africa
1994,61.0,72.0,48.0,,,,,42.0,,,,,,Eastern & Southern Africa
1993,73.0,84.0,63.0,,,,,69.0,,,,,,Eastern & Southern Africa
1992,90.0,93.0,80.0,,,,,69.0,,,,,,Eastern & Southern Africa
1991,87.0,94.0,83.0,,,,,74.0,,,,,,Eastern & Southern Africa
1990,97.0,95.0,86.0,,,,,74.0,,,,,,Eastern & Southern Africa
1989,99.0,94.0,82.0,,,,,73.0,,,,,,Eastern & Southern Africa
1988,54.0,68.0,51.0,,,,,46.0,,,,,,Eastern & Southern Africa
1987,82.0,87.0,68.0,,,,,54.0,,,,,,Eastern & Southern Africa
1986,77.0,76.0,55.0,,,,,59.0,,,,,,Eastern & Southern Africa
1985,52.0,61.0,36.0,,,,,32.0,,,,,,Eastern & Southern Africa
1984,46.0,51.0,26.0,,,,,27.0,,,,,,Eastern & Southern Africa
1983,52.0,69.0,44.0,,,,,54.0,,,,,,Eastern & Southern Africa
1982,56.0,58.0,33.0,,,,,40.0,,,,,,Eastern & Southern Africa
1981,59.0,61.0,36.0,,,,,28.0,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,,Eastern & Southern Africa
