Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,94.0,96.0,91.0,91.0,,91.0,84.0,90.0,,,,,Eastern & Southern Africa
2017,94.0,96.0,91.0,91.0,,91.0,57.0,90.0,,,,,Eastern & Southern Africa
2016,94.0,96.0,91.0,91.0,,91.0,91.0,90.0,,,,,Eastern & Southern Africa
2015,94.0,96.0,91.0,91.0,,91.0,91.0,90.0,,,,,Eastern & Southern Africa
2014,90.0,93.0,87.0,88.0,,88.0,,86.0,,,,,Eastern & Southern Africa
2013,85.0,90.0,87.0,88.0,,88.0,,85.0,,,,,Eastern & Southern Africa
2012,79.0,91.0,86.0,89.0,,89.0,,85.0,,,,,Eastern & Southern Africa
2011,78.0,92.0,83.0,83.0,,83.0,,79.0,,,,,Eastern & Southern Africa
2010,76.0,81.0,74.0,74.0,,74.0,,72.0,,,,,Eastern & Southern Africa
2009,80.0,89.0,83.0,83.0,,38.0,,79.0,,,,,Eastern & Southern Africa
2008,81.0,85.0,81.0,81.0,,,,76.0,,,,,Eastern & Southern Africa
2007,77.0,79.0,75.0,75.0,,,,65.0,,,,,Eastern & Southern Africa
2006,84.0,78.0,69.0,69.0,,,,66.0,,,,,Eastern & Southern Africa
2005,80.0,77.0,68.0,68.0,,,,67.0,,,,,Eastern & Southern Africa
2004,79.0,85.0,76.0,77.0,,,,76.0,,,,,Eastern & Southern Africa
2003,79.0,82.0,80.0,28.0,,,,67.0,,,,,Eastern & Southern Africa
2002,90.0,96.0,89.0,,,,,71.0,,,,,Eastern & Southern Africa
2001,90.0,85.0,70.0,,,,,70.0,,,,,Eastern & Southern Africa
2000,90.0,85.0,70.0,,,,,70.0,,,,,Eastern & Southern Africa
1999,87.0,73.0,73.0,,,,,69.0,,,,,Eastern & Southern Africa
1998,84.0,90.0,75.0,,,,,67.0,,,,,Eastern & Southern Africa
1997,55.0,72.0,48.0,,,,,49.0,,,,,Eastern & Southern Africa
1996,55.0,82.0,60.0,,,,,43.0,,,,,Eastern & Southern Africa
1995,95.0,91.0,75.0,,,,,69.0,,,,,Eastern & Southern Africa
1994,94.0,80.0,58.0,,,,,59.0,,,,,Eastern & Southern Africa
1993,95.0,88.0,70.0,,,,,56.0,,,,,Eastern & Southern Africa
1992,81.0,63.0,38.0,,,,,51.0,,,,,Eastern & Southern Africa
1991,71.0,76.0,52.0,,,,,40.0,,,,,Eastern & Southern Africa
1990,99.0,97.0,94.0,,,,,87.0,,,,,Eastern & Southern Africa
1989,95.0,94.0,82.0,,,,,85.0,,,,,Eastern & Southern Africa
1988,72.0,68.0,43.0,,,,,40.0,,,,,Eastern & Southern Africa
1987,97.0,88.0,71.0,,,,,71.0,,,,,Eastern & Southern Africa
1986,97.0,88.0,71.0,,,,,71.0,,,,,Eastern & Southern Africa
1985,77.0,75.0,51.0,,,,,18.0,,,,,Eastern & Southern Africa
1984,56.0,56.0,31.0,,,,,42.0,,,,,Eastern & Southern Africa
1983,,,,,,,,,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
