Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,93.0,91.0,84.0,84.0,93.0,84.0,44.0,86.0,81.0,84.0,,87.0,Eastern & Southern Africa
2017,92.0,83.0,76.0,76.0,92.0,76.0,46.0,81.0,81.0,76.0,,80.0,Eastern & Southern Africa
2016,90.0,74.0,68.0,68.0,90.0,68.0,46.0,75.0,81.0,68.0,,72.0,Eastern & Southern Africa
2015,92.0,90.0,84.0,84.0,92.0,84.0,,74.0,82.0,82.0,,86.0,Eastern & Southern Africa
2014,99.0,93.0,78.0,78.0,94.0,78.0,,71.0,82.0,78.0,,,Eastern & Southern Africa
2013,86.0,87.0,82.0,82.0,86.0,82.0,,80.0,82.0,82.0,,,Eastern & Southern Africa
2012,87.0,85.0,81.0,81.0,87.0,81.0,,83.0,82.0,,,,Eastern & Southern Africa
2011,89.0,89.0,87.0,87.0,,87.0,,84.0,,,,,Eastern & Southern Africa
2010,90.0,90.0,88.0,88.0,,88.0,,85.0,,,,,Eastern & Southern Africa
2009,90.0,90.0,89.0,89.0,,89.0,,84.0,,,,,Eastern & Southern Africa
2008,90.0,90.0,89.0,88.0,,89.0,,73.0,,,,,Eastern & Southern Africa
2007,90.0,92.0,88.0,25.0,,25.0,,74.0,,,,,Eastern & Southern Africa
2006,88.0,76.0,72.0,,,,,67.0,,,,,Eastern & Southern Africa
2005,80.0,73.0,71.0,,,,,65.0,,,,,Eastern & Southern Africa
2004,71.0,81.0,64.0,,,,,60.0,,,,,Eastern & Southern Africa
2003,63.0,76.0,68.0,,,,,66.0,,,,,Eastern & Southern Africa
2002,52.0,72.0,62.0,,,,,62.0,,,,,Eastern & Southern Africa
2001,38.0,65.0,53.0,,,,,49.0,,,,,Eastern & Southern Africa
2000,34.0,66.0,46.0,,,,,50.0,,,,,Eastern & Southern Africa
1999,26.0,63.0,23.0,,,,,23.0,,,,,Eastern & Southern Africa
1998,35.0,60.0,23.0,,,,,21.0,,,,,Eastern & Southern Africa
1997,43.0,57.0,32.0,,,,,31.0,,,,,Eastern & Southern Africa
1996,51.0,66.0,41.0,,,,,41.0,,,,,Eastern & Southern Africa
1995,51.0,66.0,41.0,,,,,41.0,,,,,Eastern & Southern Africa
1994,51.0,66.0,41.0,,,,,42.0,,,,,Eastern & Southern Africa
1993,51.0,66.0,41.0,,,,,41.0,,,,,Eastern & Southern Africa
1992,51.0,66.0,41.0,,,,,41.0,,,,,Eastern & Southern Africa
1991,66.0,77.0,53.0,,,,,53.0,,,,,Eastern & Southern Africa
1990,81.0,95.0,85.0,,,,,85.0,,,,,Eastern & Southern Africa
1989,80.0,91.0,77.0,,,,,75.0,,,,,Eastern & Southern Africa
1988,87.0,85.0,65.0,,,,,68.0,,,,,Eastern & Southern Africa
1987,42.0,50.0,25.0,,,,,22.0,,,,,Eastern & Southern Africa
1986,38.0,48.0,24.0,,,,,19.0,,,,,Eastern & Southern Africa
1985,37.0,46.0,22.0,,,,,27.0,,,,,Eastern & Southern Africa
1984,36.0,45.0,21.0,,,,,20.0,,,,,Eastern & Southern Africa
1983,36.0,36.0,14.0,,,,,18.0,,,,,Eastern & Southern Africa
1982,5.0,25.0,6.0,,,,,15.0,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
