Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,96.0,90.0,90.0,,90.0,90.0,89.0,75.0,88.0,89.0,90.0,Eastern & Southern Africa
2017,98.0,96.0,90.0,90.0,,90.0,82.0,89.0,70.0,87.0,89.0,86.0,Eastern & Southern Africa
2016,97.0,96.0,90.0,90.0,,90.0,45.0,89.0,76.0,90.0,,95.0,Eastern & Southern Africa
2015,98.0,96.0,90.0,90.0,,90.0,,89.0,83.0,90.0,,36.0,Eastern & Southern Africa
2014,99.0,99.0,98.0,98.0,,98.0,,97.0,89.0,67.0,,,Eastern & Southern Africa
2013,99.0,99.0,98.0,98.0,,98.0,,96.0,89.0,,,,Eastern & Southern Africa
2012,99.0,97.0,95.0,95.0,,95.0,,88.0,52.0,,,,Eastern & Southern Africa
2011,98.0,98.0,91.0,91.0,,91.0,,87.0,92.0,,,,Eastern & Southern Africa
2010,98.0,95.0,89.0,89.0,,89.0,,94.0,99.0,,,,Eastern & Southern Africa
2009,97.0,95.0,88.0,88.0,,89.0,,94.0,99.0,,,,Eastern & Southern Africa
2008,96.0,96.0,88.0,90.0,,,,94.0,99.0,,,,Eastern & Southern Africa
2007,95.0,95.0,87.0,92.0,,,,94.0,99.0,,,,Eastern & Southern Africa
2006,94.0,95.0,87.0,93.0,,,,93.0,99.0,,,,Eastern & Southern Africa
2005,93.0,95.0,86.0,95.0,,,,93.0,99.0,,,,Eastern & Southern Africa
2004,92.0,95.0,86.0,93.0,,,,93.0,99.0,,,,Eastern & Southern Africa
2003,91.0,95.0,85.0,90.0,,,,93.0,99.0,,,,Eastern & Southern Africa
2002,90.0,95.0,85.0,88.0,,,,93.0,99.0,,,,Eastern & Southern Africa
2001,89.0,95.0,84.0,86.0,,,,93.0,,,,,Eastern & Southern Africa
2000,88.0,94.0,84.0,83.0,,,,92.0,,,,,Eastern & Southern Africa
1999,87.0,94.0,83.0,81.0,,,,92.0,,,,,Eastern & Southern Africa
1998,86.0,94.0,83.0,78.0,,,,92.0,,,,,Eastern & Southern Africa
1997,85.0,94.0,82.0,76.0,,,,92.0,,,,,Eastern & Southern Africa
1996,85.0,94.0,82.0,76.0,,,,82.0,,,,,Eastern & Southern Africa
1995,99.0,94.0,82.0,,,,,94.0,,,,,Eastern & Southern Africa
1994,99.0,98.0,96.0,,,,,94.0,,,,,Eastern & Southern Africa
1993,98.0,96.0,89.0,,,,,85.0,,,,,Eastern & Southern Africa
1992,97.0,97.0,93.0,,,,,85.0,,,,,Eastern & Southern Africa
1991,71.0,92.0,79.0,,,,,80.0,,,,,Eastern & Southern Africa
1990,96.0,96.0,89.0,,,,,85.0,,,,,Eastern & Southern Africa
1989,96.0,96.0,89.0,,,,,85.0,,,,,Eastern & Southern Africa
1988,95.0,96.0,89.0,,,,,85.0,,,,,Eastern & Southern Africa
1987,94.0,95.0,86.0,,,,,65.0,,,,,Eastern & Southern Africa
1986,91.0,90.0,74.0,,,,,74.0,,,,,Eastern & Southern Africa
1985,79.0,82.0,61.0,,,,,54.0,,,,,Eastern & Southern Africa
1984,73.0,74.0,50.0,,,,,50.0,,,,,Eastern & Southern Africa
1983,72.0,68.0,43.0,,,,,46.0,,,,,Eastern & Southern Africa
1982,66.0,64.0,39.0,,,,,38.0,,,,,Eastern & Southern Africa
1981,59.0,55.0,30.0,,,,,30.0,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
