Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,85.0,85.0,72.0,72.0,,72.0,52.0,61.0,,67.0,,79.0,,Eastern & Southern Africa
2017,85.0,85.0,73.0,73.0,,73.0,52.0,65.0,,68.0,,80.0,,Eastern & Southern Africa
2016,83.0,85.0,73.0,73.0,,73.0,,66.0,,69.0,,80.0,,Eastern & Southern Africa
2015,88.0,85.0,73.0,73.0,,73.0,,65.0,,68.0,,79.0,,Eastern & Southern Africa
2014,69.0,73.0,61.0,61.0,,61.0,,54.0,,55.0,,56.0,,Eastern & Southern Africa
2013,68.0,67.0,59.0,59.0,,59.0,,55.0,,48.0,,,,Eastern & Southern Africa
2012,74.0,74.0,62.0,62.0,,62.0,,62.0,,30.0,,,,Eastern & Southern Africa
2011,80.0,80.0,65.0,65.0,,65.0,,68.0,,12.0,,,,Eastern & Southern Africa
2010,76.0,77.0,61.0,62.0,,62.0,,64.0,,,,,,Eastern & Southern Africa
2009,74.0,74.0,58.0,56.0,,56.0,,59.0,,,,,,Eastern & Southern Africa
2008,71.0,71.0,54.0,52.0,,52.0,,54.0,,,,,,Eastern & Southern Africa
2007,69.0,67.0,50.0,47.0,,47.0,,49.0,,,,,,Eastern & Southern Africa
2006,66.0,64.0,46.0,,,,,44.0,,,,,,Eastern & Southern Africa
2005,64.0,61.0,44.0,,,,,40.0,,,,,,Eastern & Southern Africa
2004,60.0,58.0,40.0,,,,,35.0,,,,,,Eastern & Southern Africa
2003,59.0,55.0,37.0,,,,,35.0,,,,,,Eastern & Southern Africa
2002,58.0,52.0,35.0,,,,,36.0,,,,,,Eastern & Southern Africa
2001,57.0,50.0,32.0,,,,,35.0,,,,,,Eastern & Southern Africa
2000,56.0,47.0,30.0,,,,,36.0,,,,,,Eastern & Southern Africa
1999,54.0,44.0,27.0,,,,,37.0,,,,,,Eastern & Southern Africa
1998,54.0,61.0,41.0,,,,,44.0,,,,,,Eastern & Southern Africa
1997,54.0,78.0,55.0,,,,,51.0,,,,,,Eastern & Southern Africa
1996,57.0,78.0,55.0,,,,,54.0,,,,,,Eastern & Southern Africa
1995,61.0,80.0,57.0,,,,,38.0,,,,,,Eastern & Southern Africa
1994,65.0,80.0,57.0,,,,,54.0,,,,,,Eastern & Southern Africa
1993,36.0,53.0,28.0,,,,,22.0,,,,,,Eastern & Southern Africa
1992,26.0,35.0,13.0,,,,,12.0,,,,,,Eastern & Southern Africa
1991,29.0,45.0,21.0,,,,,17.0,,,,,,Eastern & Southern Africa
1990,64.0,73.0,49.0,,,,,38.0,,,,,,Eastern & Southern Africa
1989,44.0,51.0,26.0,,,,,23.0,,,,,,Eastern & Southern Africa
1988,27.0,39.0,16.0,,,,,15.0,,,,,,Eastern & Southern Africa
1987,28.0,39.0,16.0,,,,,13.0,,,,,,Eastern & Southern Africa
1986,13.0,27.0,7.0,,,,,10.0,,,,,,Eastern & Southern Africa
1985,11.0,25.0,6.0,,,,,12.0,,,,,,Eastern & Southern Africa
1984,8.0,22.0,4.0,,,,,8.0,,,,,,Eastern & Southern Africa
1983,7.0,22.0,4.0,,,,,7.0,,,,,,Eastern & Southern Africa
1982,6.0,21.0,3.0,,,,,7.0,,,,,,Eastern & Southern Africa
1981,5.0,21.0,3.0,,,,,3.0,,,,,,Eastern & Southern Africa
1980,,,,,,,,4.0,,,,,,Eastern & Southern Africa
