Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,95.0,97.0,92.0,92.0,,92.0,88.0,89.0,45.0,81.0,89.0,78.0,1.0,Eastern & Southern Africa
2017,89.0,93.0,82.0,82.0,,82.0,78.0,89.0,35.0,71.0,89.0,67.0,1.0,Eastern & Southern Africa
2016,99.0,96.0,89.0,89.0,,90.0,70.0,96.0,32.0,78.0,,74.0,1.0,Eastern & Southern Africa
2015,87.0,96.0,89.0,89.0,,89.0,,96.0,28.0,75.0,,66.0,1.0,Eastern & Southern Africa
2014,94.0,97.0,92.0,92.0,,92.0,,95.0,,81.0,,19.0,1.0,Eastern & Southern Africa
2013,92.0,95.0,87.0,93.0,,93.0,,94.0,,75.0,,,2.0,Eastern & Southern Africa
2012,97.0,98.0,94.0,94.0,,94.0,,93.0,,82.0,,,2.0,Eastern & Southern Africa
2011,99.0,98.0,96.0,96.0,,96.0,,87.0,,85.0,,,1.0,Eastern & Southern Africa
2010,99.0,93.0,90.0,90.0,,90.0,,86.0,,,,,1.0,Eastern & Southern Africa
2009,99.0,92.0,88.0,88.0,,88.0,,88.0,,,,,1.0,Eastern & Southern Africa
2008,98.0,90.0,88.0,88.0,,88.0,,90.0,,,,,1.0,Eastern & Southern Africa
2007,92.0,89.0,81.0,81.0,,81.0,,80.0,,,,,1.0,Eastern & Southern Africa
2006,92.0,90.0,80.0,80.0,,80.0,,77.0,,,,,1.0,Eastern & Southern Africa
2005,85.0,85.0,76.0,76.0,,76.0,,69.0,,,,,1.0,Eastern & Southern Africa
2004,87.0,87.0,73.0,73.0,,73.0,,73.0,,,,,1.0,Eastern & Southern Africa
2003,87.0,89.0,73.0,73.0,,73.0,,72.0,,,,,1.0,Eastern & Southern Africa
2002,91.0,90.0,84.0,84.0,,84.0,,78.0,,,,,1.0,Eastern & Southern Africa
2001,94.0,84.0,80.0,,,,,77.0,,,,,,Eastern & Southern Africa
2000,91.0,83.0,82.0,,,,,78.0,,,,,,Eastern & Southern Africa
1999,88.0,89.0,82.0,,,,,76.0,,,,,,Eastern & Southern Africa
1998,99.0,93.0,81.0,,,,,90.0,,,,,,Eastern & Southern Africa
1997,96.0,96.0,79.0,,,,,79.0,,,,,,Eastern & Southern Africa
1996,96.0,96.0,87.0,,,,,81.0,,,,,,Eastern & Southern Africa
1995,97.0,96.0,94.0,,,,,83.0,,,,,,Eastern & Southern Africa
1994,97.0,96.0,92.0,,,,,84.0,,,,,,Eastern & Southern Africa
1993,96.0,96.0,89.0,,,,,84.0,,,,,,Eastern & Southern Africa
1992,96.0,96.0,87.0,,,,,84.0,,,,,,Eastern & Southern Africa
1991,94.0,92.0,86.0,,,,,81.0,,,,,,Eastern & Southern Africa
1990,92.0,92.0,84.0,,,,,78.0,,,,,,Eastern & Southern Africa
1989,90.0,92.0,83.0,,,,,75.0,,,,,,Eastern & Southern Africa
1988,90.0,92.0,82.0,,,,,72.0,,,,,,Eastern & Southern Africa
1987,86.0,91.0,77.0,,,,,69.0,,,,,,Eastern & Southern Africa
1986,80.0,89.0,72.0,,,,,65.0,,,,,,Eastern & Southern Africa
1985,82.0,88.0,70.0,,,,,63.0,,,,,,Eastern & Southern Africa
1984,76.0,80.0,58.0,,,,,55.0,,,,,,Eastern & Southern Africa
1983,,,,,,,,,,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,,Eastern & Southern Africa
