Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,98.0,98.0,93.0,93.0,,93.0,39.0,90.0,82.0,93.0,90.0,70.0,Eastern & Southern Africa
2017,98.0,98.0,93.0,93.0,,93.0,,90.0,82.0,93.0,90.0,,Eastern & Southern Africa
2016,98.0,98.0,93.0,93.0,,93.0,44.0,90.0,82.0,93.0,,,Eastern & Southern Africa
2015,98.0,98.0,93.0,93.0,,93.0,,90.0,82.0,29.0,,,Eastern & Southern Africa
2014,98.0,98.0,93.0,93.0,,93.0,,90.0,82.0,,,,Eastern & Southern Africa
2013,98.0,98.0,93.0,93.0,,93.0,,90.0,82.0,,,,Eastern & Southern Africa
2012,93.0,98.0,95.0,95.0,,95.0,,91.0,82.0,,,,Eastern & Southern Africa
2011,87.0,97.0,96.0,96.0,,96.0,,92.0,82.0,,,,Eastern & Southern Africa
2010,90.0,97.0,93.0,93.0,,94.0,,88.0,81.0,,,,Eastern & Southern Africa
2009,92.0,96.0,91.0,91.0,,91.0,,84.0,81.0,,,,Eastern & Southern Africa
2008,95.0,96.0,88.0,88.0,,,,80.0,80.0,,,,Eastern & Southern Africa
2007,95.0,96.0,88.0,90.0,,,,81.0,80.0,,,,Eastern & Southern Africa
2006,95.0,96.0,89.0,91.0,,,,82.0,80.0,,,,Eastern & Southern Africa
2005,96.0,95.0,89.0,87.0,,,,83.0,68.0,,,,Eastern & Southern Africa
2004,96.0,95.0,90.0,60.0,,,,84.0,56.0,,,,Eastern & Southern Africa
2003,96.0,95.0,90.0,17.0,,,,85.0,47.0,,,,Eastern & Southern Africa
2002,90.0,89.0,84.0,,,,,78.0,50.0,,,,Eastern & Southern Africa
2001,83.0,83.0,78.0,,,,,70.0,46.0,,,,Eastern & Southern Africa
2000,88.0,87.0,83.0,,,,,74.0,,,,,Eastern & Southern Africa
1999,92.0,90.0,88.0,,,,,77.0,,,,,Eastern & Southern Africa
1998,93.0,92.0,88.0,,,,,79.0,,,,,Eastern & Southern Africa
1997,94.0,93.0,87.0,,,,,80.0,,,,,Eastern & Southern Africa
1996,95.0,94.0,87.0,,,,,82.0,,,,,Eastern & Southern Africa
1995,96.0,95.0,88.0,,,,,83.0,,,,,Eastern & Southern Africa
1994,95.0,94.0,87.0,,,,,82.0,,,,,Eastern & Southern Africa
1993,93.0,94.0,86.0,,,,,82.0,,,,,Eastern & Southern Africa
1992,92.0,93.0,85.0,,,,,81.0,,,,,Eastern & Southern Africa
1991,90.0,92.0,84.0,,,,,81.0,,,,,Eastern & Southern Africa
1990,89.0,91.0,82.0,,,,,80.0,,,,,Eastern & Southern Africa
1989,87.0,91.0,81.0,,,,,79.0,,,,,Eastern & Southern Africa
1988,86.0,90.0,80.0,,,,,79.0,,,,,Eastern & Southern Africa
1987,84.0,89.0,79.0,,,,,78.0,,,,,Eastern & Southern Africa
1986,88.0,91.0,81.0,,,,,76.0,,,,,Eastern & Southern Africa
1985,91.0,92.0,82.0,,,,,73.0,,,,,Eastern & Southern Africa
1984,89.0,88.0,74.0,,,,,63.0,,,,,Eastern & Southern Africa
1983,87.0,83.0,66.0,,,,,53.0,,,,,Eastern & Southern Africa
1982,84.0,79.0,61.0,,,,,51.0,,,,,Eastern & Southern Africa
1981,81.0,75.0,56.0,,,,,49.0,,,,,Eastern & Southern Africa
1980,81.0,75.0,56.0,,,,,49.0,,,,,Eastern & Southern Africa
