Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,70.0,81.0,75.0,75.0,,75.0,70.0,62.0,,75.0,,78.0,Eastern & Southern Africa
2017,70.0,80.0,74.0,74.0,,74.0,62.0,60.0,,74.0,,77.0,Eastern & Southern Africa
2016,70.0,84.0,77.0,77.0,,77.0,49.0,59.0,,76.0,,78.0,Eastern & Southern Africa
2015,70.0,79.0,69.0,69.0,,69.0,30.0,58.0,,69.0,,69.0,Eastern & Southern Africa
2014,75.0,83.0,73.0,73.0,,73.0,,64.0,,72.0,,50.0,Eastern & Southern Africa
2013,77.0,80.0,74.0,74.0,,74.0,,63.0,,76.0,,,Eastern & Southern Africa
2012,78.0,80.0,70.0,70.0,,70.0,,61.0,,,,,Eastern & Southern Africa
2011,82.0,80.0,73.0,73.0,,73.0,,62.0,,,,,Eastern & Southern Africa
2010,76.0,78.0,70.0,70.0,,71.0,,66.0,,,,,Eastern & Southern Africa
2009,78.0,80.0,77.0,77.0,,77.0,,63.0,,,,,Eastern & Southern Africa
2008,83.0,84.0,77.0,77.0,,52.0,,70.0,,,,,Eastern & Southern Africa
2007,94.0,92.0,84.0,84.0,,,,81.0,,,,,Eastern & Southern Africa
2006,95.0,93.0,85.0,82.0,,,,71.0,,,,,Eastern & Southern Africa
2005,92.0,88.0,85.0,81.0,,,,74.0,,,,,Eastern & Southern Africa
2004,85.0,82.0,78.0,71.0,,,,79.0,,,,,Eastern & Southern Africa
2003,77.0,79.0,66.0,61.0,,,,65.0,,,,,Eastern & Southern Africa
2002,73.0,76.0,62.0,51.0,,,,61.0,,,,,Eastern & Southern Africa
2001,73.0,75.0,60.0,,,,,59.0,,,,,Eastern & Southern Africa
2000,72.0,74.0,57.0,,,,,57.0,,,,,Eastern & Southern Africa
1999,72.0,73.0,55.0,,,,,55.0,,,,,Eastern & Southern Africa
1998,70.0,73.0,52.0,,,,,51.0,,,,,Eastern & Southern Africa
1997,67.0,73.0,49.0,,,,,46.0,,,,,Eastern & Southern Africa
1996,67.0,73.0,49.0,,,,,46.0,,,,,Eastern & Southern Africa
1995,72.0,80.0,57.0,,,,,55.0,,,,,Eastern & Southern Africa
1994,77.0,86.0,66.0,,,,,63.0,,,,,Eastern & Southern Africa
1993,77.0,86.0,66.0,,,,,54.0,,,,,Eastern & Southern Africa
1992,77.0,85.0,65.0,,,,,54.0,,,,,Eastern & Southern Africa
1991,75.0,77.0,53.0,,,,,54.0,,,,,Eastern & Southern Africa
1990,67.0,71.0,46.0,,,,,47.0,,,,,Eastern & Southern Africa
1989,72.0,70.0,45.0,,,,,44.0,,,,,Eastern & Southern Africa
1988,70.0,67.0,42.0,,,,,36.0,,,,,Eastern & Southern Africa
1987,54.0,60.0,35.0,,,,,28.0,,,,,Eastern & Southern Africa
1986,49.0,55.0,30.0,,,,,18.0,,,,,Eastern & Southern Africa
1985,31.0,47.0,23.0,,,,,6.0,,,,,Eastern & Southern Africa
1984,28.0,42.0,19.0,,,,,1.0,,,,,Eastern & Southern Africa
1983,31.0,47.0,23.0,,,,,,,,,,Eastern & Southern Africa
1982,22.0,37.0,15.0,,,,,,,,,,Eastern & Southern Africa
1981,26.0,,,,,,,,,,,,Eastern & Southern Africa
1980,21.0,,,,,,,,,,,,Eastern & Southern Africa
