Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,92.0,96.0,92.0,92.0,,92.0,,87.0,72.0,92.0,87.0,90.0,Eastern & Southern Africa
2017,89.0,93.0,88.0,88.0,,88.0,,83.0,67.0,88.0,83.0,85.0,Eastern & Southern Africa
2016,86.0,89.0,84.0,84.0,,84.0,,81.0,61.0,83.0,,81.0,Eastern & Southern Africa
2015,90.0,93.0,88.0,88.0,,88.0,,87.0,8.0,88.0,,84.0,Eastern & Southern Africa
2014,97.0,97.0,91.0,91.0,,91.0,,85.0,,87.0,,83.0,Eastern & Southern Africa
2013,96.0,96.0,89.0,89.0,,89.0,,88.0,,89.0,,81.0,Eastern & Southern Africa
2012,99.0,99.0,96.0,96.0,,96.0,,90.0,,99.0,,7.0,Eastern & Southern Africa
2011,99.0,98.0,97.0,97.0,,97.0,,96.0,,,,,Eastern & Southern Africa
2010,97.0,97.0,93.0,93.0,,93.0,,93.0,,,,,Eastern & Southern Africa
2009,95.0,97.0,93.0,93.0,,93.0,,92.0,,,,,Eastern & Southern Africa
2008,97.0,97.0,91.0,91.0,,91.0,,88.0,,,,,Eastern & Southern Africa
2007,95.0,96.0,87.0,87.0,,87.0,,83.0,,,,,Eastern & Southern Africa
2006,99.0,99.0,99.0,99.0,,99.0,,85.0,,,,,Eastern & Southern Africa
2005,99.0,99.0,93.0,93.0,,93.0,,82.0,,,,,Eastern & Southern Africa
2004,97.0,99.0,89.0,89.0,,89.0,,80.0,,,,,Eastern & Southern Africa
2003,91.0,99.0,84.0,84.0,,84.0,,77.0,,,,,Eastern & Southern Africa
2002,78.0,94.0,64.0,64.0,,64.0,,69.0,,,,,Eastern & Southern Africa
2001,93.0,99.0,90.0,,,,,81.0,,,,,Eastern & Southern Africa
2000,83.0,98.0,75.0,,,,,73.0,,,,,Eastern & Southern Africa
1999,87.0,98.0,85.0,,,,,82.0,,,,,Eastern & Southern Africa
1998,99.0,98.0,96.0,,,,,90.0,,,,,Eastern & Southern Africa
1997,99.0,98.0,95.0,,,,,87.0,,,,,Eastern & Southern Africa
1996,95.0,96.0,90.0,,,,,90.0,,,,,Eastern & Southern Africa
1995,97.0,96.0,89.0,,,,,90.0,,,,,Eastern & Southern Africa
1994,94.0,94.0,82.0,,,,,83.0,,,,,Eastern & Southern Africa
1993,96.0,97.0,91.0,,,,,87.0,,,,,Eastern & Southern Africa
1992,98.0,95.0,87.0,,,,,91.0,,,,,Eastern & Southern Africa
1991,96.0,95.0,87.0,,,,,85.0,,,,,Eastern & Southern Africa
1990,97.0,95.0,87.0,,,,,81.0,,,,,Eastern & Southern Africa
1989,96.0,95.0,87.0,,,,,84.0,,,,,Eastern & Southern Africa
1988,90.0,94.0,82.0,,,,,82.0,,,,,Eastern & Southern Africa
1987,92.0,92.0,78.0,,,,,79.0,,,,,Eastern & Southern Africa
1986,87.0,80.0,57.0,,,,,60.0,,,,,Eastern & Southern Africa
1985,87.0,78.0,55.0,,,,,49.0,,,,,Eastern & Southern Africa
1984,74.0,80.0,58.0,,,,,50.0,,,,,Eastern & Southern Africa
1983,81.0,84.0,63.0,,,,,58.0,,,,,Eastern & Southern Africa
1982,87.0,84.0,64.0,,,,,64.0,,,,,Eastern & Southern Africa
1981,86.0,86.0,66.0,,,,,64.0,,,,,Eastern & Southern Africa
1980,,80.0,58.0,,,,,49.0,,,,,Eastern & Southern Africa
