Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,99.0,98.0,97.0,97.0,,97.0,98.0,99.0,99.0,96.0,99.0,95.0,Eastern & Southern Africa
2017,99.0,96.0,94.0,96.0,,96.0,95.0,89.0,95.0,84.0,89.0,90.0,Eastern & Southern Africa
2016,98.0,97.0,96.0,72.0,,96.0,96.0,92.0,92.0,10.0,92.0,92.0,Eastern & Southern Africa
2015,98.0,98.0,97.0,97.0,,97.0,,99.0,96.0,,99.0,66.0,Eastern & Southern Africa
2014,97.0,97.0,97.0,97.0,,97.0,,98.0,85.0,,98.0,,Eastern & Southern Africa
2013,99.0,99.0,98.0,98.0,,98.0,,99.0,85.0,,99.0,,Eastern & Southern Africa
2012,99.0,99.0,98.0,98.0,,98.0,,99.0,90.0,,99.0,,Eastern & Southern Africa
2011,99.0,99.0,98.0,98.0,,98.0,,99.0,89.0,,99.0,,Eastern & Southern Africa
2010,99.0,99.0,99.0,99.0,,99.0,,99.0,90.0,,99.0,,Eastern & Southern Africa
2009,95.0,99.0,99.0,99.0,,99.0,,99.0,85.0,,99.0,,Eastern & Southern Africa
2008,96.0,99.0,99.0,99.0,,99.0,,98.0,83.0,,98.0,,Eastern & Southern Africa
2007,98.0,97.0,97.0,97.0,,96.0,,98.0,80.0,,98.0,,Eastern & Southern Africa
2006,97.0,99.0,97.0,97.0,,96.0,,99.0,85.0,,99.0,,Eastern & Southern Africa
2005,99.0,99.0,97.0,97.0,,,,98.0,78.0,,98.0,,Eastern & Southern Africa
2004,99.0,98.0,98.0,98.0,,,,98.0,80.0,,98.0,,Eastern & Southern Africa
2003,99.0,99.0,99.0,97.0,,,,91.0,,,91.0,,Eastern & Southern Africa
2002,87.0,96.0,88.0,88.0,,,,84.0,,,84.0,,Eastern & Southern Africa
2001,89.0,92.0,92.0,92.0,,,,90.0,,,90.0,,Eastern & Southern Africa
2000,88.0,88.0,88.0,88.0,,,,84.0,,,84.0,,Eastern & Southern Africa
1999,86.0,91.0,85.0,85.0,,,,80.0,,,80.0,,Eastern & Southern Africa
1998,87.0,93.0,89.0,90.0,,,,85.0,,,85.0,,Eastern & Southern Africa
1997,87.0,96.0,90.0,90.0,,,,87.0,,,87.0,,Eastern & Southern Africa
1996,86.0,96.0,89.0,,,,,61.0,,,61.0,,Eastern & Southern Africa
1995,86.0,97.0,93.0,,,,,89.0,,,,,Eastern & Southern Africa
1994,87.0,96.0,89.0,,,,,85.0,,,,,Eastern & Southern Africa
1993,87.0,96.0,88.0,,,,,84.0,,,,,Eastern & Southern Africa
1992,87.0,96.0,88.0,,,,,84.0,,,,,Eastern & Southern Africa
1991,87.0,97.0,91.0,,,,,88.0,,,,,Eastern & Southern Africa
1990,87.0,95.0,85.0,,,,,76.0,,,,,Eastern & Southern Africa
1989,88.0,95.0,85.0,,,,,80.0,,,,,Eastern & Southern Africa
1988,88.0,95.0,86.0,,,,,73.0,,,,,Eastern & Southern Africa
1987,87.0,94.0,84.0,,,,,69.0,,,,,Eastern & Southern Africa
1986,88.0,95.0,86.0,,,,,71.0,,,,,Eastern & Southern Africa
1985,87.0,96.0,88.0,,,,,67.0,,,,,Eastern & Southern Africa
1984,88.0,95.0,85.0,,,,,55.0,,,,,Eastern & Southern Africa
1983,88.0,96.0,89.0,,,,,53.0,,,,,Eastern & Southern Africa
1982,89.0,97.0,94.0,,,,,34.0,,,,,Eastern & Southern Africa
1981,87.0,94.0,82.0,,,,,,,,,,Eastern & Southern Africa
1980,89.0,96.0,89.0,,,,,,,,,,Eastern & Southern Africa
