Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,95.0,90.0,80.0,80.0,,80.0,64.0,85.0,59.0,80.0,85.0,80.0,Eastern & Southern Africa
2017,95.0,90.0,80.0,80.0,,80.0,60.0,85.0,45.0,80.0,,80.0,Eastern & Southern Africa
2016,95.0,90.0,80.0,80.0,,80.0,72.0,85.0,36.0,80.0,,70.0,Eastern & Southern Africa
2015,95.0,90.0,80.0,80.0,,80.0,,85.0,,80.0,,17.0,Eastern & Southern Africa
2014,94.0,92.0,79.0,79.0,,79.0,,85.0,,73.0,,,Eastern & Southern Africa
2013,93.0,93.0,78.0,78.0,,78.0,,85.0,,45.0,,,Eastern & Southern Africa
2012,91.0,91.0,76.0,76.0,,76.0,,82.0,,,,,Eastern & Southern Africa
2011,91.0,91.0,76.0,76.0,,76.0,,82.0,,,,,Eastern & Southern Africa
2010,90.0,91.0,74.0,74.0,,74.0,,82.0,,,,,Eastern & Southern Africa
2009,90.0,89.0,74.0,74.0,,74.0,,80.0,,,,,Eastern & Southern Africa
2008,90.0,87.0,75.0,75.0,,,,77.0,,,,,Eastern & Southern Africa
2007,90.0,85.0,75.0,75.0,,,,75.0,,,,,Eastern & Southern Africa
2006,90.0,86.0,78.0,75.0,,,,76.0,,,,,Eastern & Southern Africa
2005,90.0,87.0,80.0,75.0,,,,78.0,,,,,Eastern & Southern Africa
2004,90.0,88.0,83.0,76.0,,,,79.0,,,,,Eastern & Southern Africa
2003,90.0,89.0,85.0,76.0,,,,80.0,,,,,Eastern & Southern Africa
2002,87.0,88.0,76.0,76.0,,,,77.0,,,,,Eastern & Southern Africa
2001,86.0,86.0,73.0,25.0,,,,74.0,,,,,Eastern & Southern Africa
2000,84.0,84.0,70.0,,,,,71.0,,,,,Eastern & Southern Africa
1999,83.0,82.0,68.0,,,,,67.0,,,,,Eastern & Southern Africa
1998,81.0,80.0,65.0,,,,,64.0,,,,,Eastern & Southern Africa
1997,80.0,78.0,62.0,,,,,61.0,,,,,Eastern & Southern Africa
1996,78.0,76.0,60.0,,,,,58.0,,,,,Eastern & Southern Africa
1995,78.0,75.0,57.0,,,,,71.0,,,,,Eastern & Southern Africa
1994,78.0,74.0,55.0,,,,,65.0,,,,,Eastern & Southern Africa
1993,66.0,73.0,49.0,,,,,62.0,,,,,Eastern & Southern Africa
1992,64.0,74.0,50.0,,,,,56.0,,,,,Eastern & Southern Africa
1991,63.0,71.0,46.0,,,,,55.0,,,,,Eastern & Southern Africa
1990,59.0,71.0,46.0,,,,,59.0,,,,,Eastern & Southern Africa
1989,53.0,72.0,47.0,,,,,48.0,,,,,Eastern & Southern Africa
1988,49.0,63.0,38.0,,,,,44.0,,,,,Eastern & Southern Africa
1987,52.0,64.0,39.0,,,,,37.0,,,,,Eastern & Southern Africa
1986,45.0,57.0,32.0,,,,,39.0,,,,,Eastern & Southern Africa
1985,47.0,54.0,29.0,,,,,39.0,,,,,Eastern & Southern Africa
1984,49.0,57.0,32.0,,,,,50.0,,,,,Eastern & Southern Africa
1983,59.0,63.0,38.0,,,,,51.0,,,,,Eastern & Southern Africa
1982,56.0,68.0,43.0,,,,,58.0,,,,,Eastern & Southern Africa
1981,46.0,79.0,56.0,,,,,32.0,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
