Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,94.0,94.0,89.0,89.0,76.0,89.0,82.0,82.0,50.0,61.0,82.0,92.0,Eastern & Southern Africa
2017,94.0,94.0,88.0,88.0,81.0,88.0,,80.0,32.0,67.0,80.0,86.0,Eastern & Southern Africa
2016,89.0,90.0,85.0,85.0,85.0,85.0,46.0,75.0,,84.0,,86.0,Eastern & Southern Africa
2015,94.0,98.0,92.0,92.0,87.0,92.0,,85.0,,81.0,,87.0,Eastern & Southern Africa
2014,97.0,92.0,88.0,88.0,1.0,88.0,,83.0,,,,,Eastern & Southern Africa
2013,94.0,94.0,89.0,89.0,,89.0,,82.0,,,,,Eastern & Southern Africa
2012,90.0,89.0,84.0,84.0,,84.0,,76.0,,,,,Eastern & Southern Africa
2011,89.0,88.0,82.0,82.0,,82.0,,74.0,,,,,Eastern & Southern Africa
2010,88.0,87.0,83.0,83.0,,83.0,,75.0,,,,,Eastern & Southern Africa
2009,85.0,87.0,83.0,,,,,76.0,,,,,Eastern & Southern Africa
2008,88.0,88.0,83.0,,,,,73.0,,,,,Eastern & Southern Africa
2007,95.0,88.0,86.0,,,,,69.0,,,,,Eastern & Southern Africa
2006,88.0,91.0,86.0,,,,,63.0,,,,,Eastern & Southern Africa
2005,95.0,93.0,86.0,,,,,73.0,,,,,Eastern & Southern Africa
2004,94.0,88.0,81.0,,,,,70.0,,,,,Eastern & Southern Africa
2003,92.0,87.0,79.0,,,,,70.0,,,,,Eastern & Southern Africa
2002,81.0,86.0,77.0,,,,,68.0,,,,,Eastern & Southern Africa
2001,69.0,88.0,78.0,,,,,58.0,,,,,Eastern & Southern Africa
2000,77.0,90.0,79.0,,,,,69.0,,,,,Eastern & Southern Africa
1999,80.0,90.0,72.0,,,,,65.0,,,,,Eastern & Southern Africa
1998,85.0,88.0,74.0,,,,,64.0,,,,,Eastern & Southern Africa
1997,65.0,86.0,66.0,,,,,59.0,,,,,Eastern & Southern Africa
1996,79.0,88.0,70.0,,,,,61.0,,,,,Eastern & Southern Africa
1995,92.0,90.0,74.0,,,,,68.0,,,,,Eastern & Southern Africa
1994,99.0,92.0,79.0,,,,,70.0,,,,,Eastern & Southern Africa
1993,92.0,90.0,73.0,,,,,71.0,,,,,Eastern & Southern Africa
1992,92.0,88.0,70.0,,,,,76.0,,,,,Eastern & Southern Africa
1991,91.0,87.0,69.0,,,,,76.0,,,,,Eastern & Southern Africa
1990,,,,,,,,,,,,,Eastern & Southern Africa
1989,,,,,,,,,,,,,Eastern & Southern Africa
1988,,,,,,,,,,,,,Eastern & Southern Africa
1987,,,,,,,,,,,,,Eastern & Southern Africa
1986,,,,,,,,,,,,,Eastern & Southern Africa
1985,,,,,,,,,,,,,Eastern & Southern Africa
1984,,,,,,,,,,,,,Eastern & Southern Africa
1983,,,,,,,,,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
