Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,97.0,98.0,97.0,97.0,,97.0,81.0,99.0,96.0,97.0,99.0,98.0,,Eastern & Southern Africa
2017,98.0,99.0,98.0,98.0,,98.0,,97.0,95.0,98.0,97.0,98.0,,Eastern & Southern Africa
2016,99.0,99.0,98.0,98.0,,98.0,,95.0,90.0,98.0,95.0,98.0,,Eastern & Southern Africa
2015,99.0,99.0,98.0,98.0,,98.0,,96.0,87.0,98.0,96.0,98.0,,Eastern & Southern Africa
2014,99.0,99.0,98.0,98.0,,98.0,,97.0,,98.0,,98.0,,Eastern & Southern Africa
2013,99.0,99.0,98.0,98.0,,98.0,,95.0,,98.0,,98.0,,Eastern & Southern Africa
2012,99.0,99.0,98.0,98.0,,98.0,,97.0,,98.0,,50.0,,Eastern & Southern Africa
2011,99.0,98.0,97.0,97.0,,97.0,,95.0,,97.0,,,,Eastern & Southern Africa
2010,99.0,98.0,97.0,97.0,,97.0,,95.0,,97.0,,,,Eastern & Southern Africa
2009,99.0,98.0,97.0,97.0,,97.0,,95.0,,,,,,Eastern & Southern Africa
2008,93.0,97.0,97.0,97.0,,97.0,,92.0,,,,,,Eastern & Southern Africa
2007,89.0,99.0,97.0,97.0,,97.0,,94.0,,,,,,Eastern & Southern Africa
2006,98.0,99.0,99.0,99.0,,99.0,,95.0,,,,,,Eastern & Southern Africa
2005,91.0,95.0,95.0,95.0,,95.0,,89.0,,,,,,Eastern & Southern Africa
2004,86.0,94.0,89.0,89.0,,89.0,,84.0,,,,,,Eastern & Southern Africa
2003,88.0,97.0,96.0,96.0,,96.0,,90.0,,,,,,Eastern & Southern Africa
2002,81.0,95.0,88.0,88.0,,88.0,,69.0,,,,,,Eastern & Southern Africa
2001,74.0,94.0,77.0,,,,,69.0,,,,,,Eastern & Southern Africa
2000,81.0,93.0,90.0,,,,,74.0,,,,,,Eastern & Southern Africa
1999,94.0,93.0,85.0,,,,,78.0,,,,,,Eastern & Southern Africa
1998,95.0,92.0,79.0,,,,,72.0,,,,,,Eastern & Southern Africa
1997,96.0,90.0,73.0,,,,,66.0,,,,,,Eastern & Southern Africa
1996,93.0,96.0,89.0,,,,,76.0,,,,,,Eastern & Southern Africa
1995,89.0,94.0,83.0,,,,,84.0,,,,,,Eastern & Southern Africa
1994,32.0,47.0,23.0,,,,,25.0,,,,,,Eastern & Southern Africa
1993,82.0,94.0,83.0,,,,,74.0,,,,,,Eastern & Southern Africa
1992,94.0,95.0,85.0,,,,,82.0,,,,,,Eastern & Southern Africa
1991,94.0,97.0,91.0,,,,,89.0,,,,,,Eastern & Southern Africa
1990,92.0,94.0,84.0,,,,,83.0,,,,,,Eastern & Southern Africa
1989,92.0,94.0,82.0,,,,,83.0,,,,,,Eastern & Southern Africa
1988,91.0,93.0,80.0,,,,,79.0,,,,,,Eastern & Southern Africa
1987,92.0,96.0,88.0,,,,,78.0,,,,,,Eastern & Southern Africa
1986,92.0,95.0,87.0,,,,,79.0,,,,,,Eastern & Southern Africa
1985,83.0,74.0,50.0,,,,,52.0,,,,,,Eastern & Southern Africa
1984,66.0,78.0,55.0,,,,,53.0,,,,,,Eastern & Southern Africa
1983,49.0,81.0,59.0,,,,,53.0,,,,,,Eastern & Southern Africa
1982,50.0,63.0,38.0,,,,,48.0,,,,,,Eastern & Southern Africa
1981,51.0,40.0,17.0,,,,,42.0,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,,Eastern & Southern Africa
