Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,97.0,99.0,99.0,99.0,,99.0,99.0,96.0,97.0,16.0,96.0,99.0,Eastern & Southern Africa
2017,99.0,98.0,97.0,98.0,,97.0,99.0,99.0,99.0,,99.0,8.0,Eastern & Southern Africa
2016,99.0,98.0,96.0,97.0,,96.0,99.0,97.0,99.0,,97.0,,Eastern & Southern Africa
2015,99.0,99.0,97.0,98.0,,97.0,35.0,98.0,98.0,,98.0,,Eastern & Southern Africa
2014,98.0,99.0,99.0,99.0,,99.0,,99.0,98.0,,99.0,,Eastern & Southern Africa
2013,99.0,99.0,98.0,99.0,,98.0,,97.0,97.0,,97.0,,Eastern & Southern Africa
2012,99.0,98.0,98.0,99.0,,98.0,,98.0,99.0,,98.0,,Eastern & Southern Africa
2011,99.0,99.0,99.0,99.0,,99.0,,99.0,99.0,,99.0,,Eastern & Southern Africa
2010,99.0,99.0,99.0,99.0,,99.0,,99.0,98.0,,99.0,,Eastern & Southern Africa
2009,96.0,99.0,99.0,99.0,,,,97.0,99.0,,97.0,,Eastern & Southern Africa
2008,99.0,99.0,99.0,99.0,,,,99.0,98.0,,99.0,,Eastern & Southern Africa
2007,99.0,99.0,99.0,99.0,,,,99.0,99.0,,99.0,,Eastern & Southern Africa
2006,99.0,99.0,99.0,99.0,,,,99.0,99.0,,99.0,,Eastern & Southern Africa
2005,99.0,99.0,99.0,99.0,,,,99.0,99.0,,99.0,,Eastern & Southern Africa
2004,99.0,99.0,99.0,99.0,,,,99.0,99.0,,99.0,,Eastern & Southern Africa
2003,99.0,99.0,99.0,99.0,,,,99.0,99.0,,99.0,,Eastern & Southern Africa
2002,99.0,99.0,99.0,99.0,,,,98.0,99.0,,98.0,,Eastern & Southern Africa
2001,99.0,99.0,96.0,96.0,,,,95.0,98.0,,95.0,,Eastern & Southern Africa
2000,99.0,99.0,98.0,98.0,,,,97.0,,,97.0,,Eastern & Southern Africa
1999,99.0,99.0,99.0,99.0,,,,99.0,,,99.0,,Eastern & Southern Africa
1998,99.0,99.0,99.0,97.0,,,,93.0,,,93.0,,Eastern & Southern Africa
1997,99.0,98.0,98.0,97.0,,,,99.0,,,99.0,,Eastern & Southern Africa
1996,99.0,99.0,99.0,98.0,,,,98.0,,,98.0,,Eastern & Southern Africa
1995,99.0,98.0,97.0,99.0,,,,97.0,,,97.0,,Eastern & Southern Africa
1994,99.0,98.0,96.0,,,,,92.0,,,92.0,,Eastern & Southern Africa
1993,99.0,98.0,96.0,,,,,92.0,,,92.0,,Eastern & Southern Africa
1992,99.0,98.0,96.0,,,,,92.0,,,92.0,,Eastern & Southern Africa
1991,99.0,98.0,98.0,,,,,89.0,,,89.0,,Eastern & Southern Africa
1990,98.0,99.0,99.0,,,,,86.0,,,86.0,,Eastern & Southern Africa
1989,94.0,98.0,97.0,,,,,89.0,,,89.0,,Eastern & Southern Africa
1988,94.0,97.0,94.0,,,,,89.0,,,89.0,,Eastern & Southern Africa
1987,94.0,96.0,89.0,,,,,95.0,,,95.0,,Eastern & Southern Africa
1986,94.0,97.0,94.0,,,,,95.0,,,95.0,,Eastern & Southern Africa
1985,92.0,95.0,86.0,,,,,90.0,,,90.0,,Eastern & Southern Africa
1984,95.0,98.0,95.0,,,,,77.0,,,77.0,,Eastern & Southern Africa
1983,98.0,98.0,97.0,,,,,98.0,,,98.0,,Eastern & Southern Africa
1982,83.0,78.0,55.0,,,,,64.0,,,64.0,,Eastern & Southern Africa
1981,67.0,35.0,13.0,,,,,29.0,,,29.0,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
