Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,YFV,Region
2018,37.0,52.0,42.0,42.0,,42.0,42.0,46.0,,,,,,Eastern & Southern Africa
2017,37.0,52.0,42.0,42.0,,42.0,,46.0,,,,,,Eastern & Southern Africa
2016,37.0,52.0,42.0,42.0,,42.0,,46.0,,,,,,Eastern & Southern Africa
2015,37.0,52.0,42.0,42.0,,42.0,,46.0,,,,,,Eastern & Southern Africa
2014,37.0,52.0,42.0,42.0,,42.0,,46.0,,,,,,Eastern & Southern Africa
2013,37.0,52.0,42.0,42.0,,42.0,,46.0,,,,,,Eastern & Southern Africa
2012,37.0,52.0,42.0,,,,,46.0,,,,,,Eastern & Southern Africa
2011,39.0,52.0,41.0,,,,,46.0,,,,,,Eastern & Southern Africa
2010,41.0,55.0,45.0,,,,,46.0,,,,,,Eastern & Southern Africa
2009,29.0,52.0,42.0,,,,,43.0,,,,,,Eastern & Southern Africa
2008,36.0,40.0,31.0,,,,,34.0,,,,,,Eastern & Southern Africa
2007,38.0,59.0,40.0,,,,,35.0,,,,,,Eastern & Southern Africa
2006,40.0,40.0,26.0,,,,,35.0,,,,,,Eastern & Southern Africa
2005,50.0,50.0,35.0,,,,,35.0,,,,,,Eastern & Southern Africa
2004,50.0,50.0,30.0,,,,,40.0,,,,,,Eastern & Southern Africa
2003,65.0,65.0,40.0,,,,,40.0,,,,,,Eastern & Southern Africa
2002,60.0,60.0,40.0,,,,,45.0,,,,,,Eastern & Southern Africa
2001,70.0,57.0,33.0,,,,,20.0,,,,,,Eastern & Southern Africa
2000,69.0,57.0,33.0,,,,,24.0,,,,,,Eastern & Southern Africa
1999,71.0,59.0,36.0,,,,,38.0,,,,,,Eastern & Southern Africa
1998,54.0,51.0,33.0,,,,,32.0,,,,,,Eastern & Southern Africa
1997,37.0,42.0,19.0,,,,,25.0,,,,,,Eastern & Southern Africa
1996,43.0,45.0,21.0,,,,,33.0,,,,,,Eastern & Southern Africa
1995,46.0,46.0,22.0,,,,,34.0,,,,,,Eastern & Southern Africa
1994,48.0,47.0,23.0,,,,,35.0,,,,,,Eastern & Southern Africa
1993,42.0,46.0,22.0,,,,,33.0,,,,,,Eastern & Southern Africa
1992,37.0,45.0,21.0,,,,,32.0,,,,,,Eastern & Southern Africa
1991,31.0,44.0,20.0,,,,,30.0,,,,,,Eastern & Southern Africa
1990,31.0,42.0,19.0,,,,,30.0,,,,,,Eastern & Southern Africa
1989,31.0,41.0,18.0,,,,,30.0,,,,,,Eastern & Southern Africa
1988,39.0,51.0,26.0,,,,,33.0,,,,,,Eastern & Southern Africa
1987,33.0,50.0,25.0,,,,,28.0,,,,,,Eastern & Southern Africa
1986,28.0,40.0,17.0,,,,,25.0,,,,,,Eastern & Southern Africa
1985,30.0,46.0,22.0,,,,,35.0,,,,,,Eastern & Southern Africa
1984,17.0,31.0,10.0,,,,,16.0,,,,,,Eastern & Southern Africa
1983,7.0,24.0,5.0,,,,,6.0,,,,,,Eastern & Southern Africa
1982,8.0,24.0,5.0,,,,,4.0,,,,,,Eastern & Southern Africa
1981,3.0,20.0,2.0,,,,,3.0,,,,,,Eastern & Southern Africa
1980,6.0,,,,,,,9.0,,,,,,Eastern & Southern Africa
