Year,BCG,DTP1,DTP3,HEPB3,HEPBB,HIB3,IPV1,MCV1,MCV2,PCV3,RCV1,ROTAC,Region
2018,70.0,81.0,74.0,74.0,,74.0,81.0,70.0,50.0,73.0,,70.0,Eastern & Southern Africa
2017,75.0,82.0,76.0,76.0,,76.0,82.0,70.0,53.0,68.0,,71.0,Eastern & Southern Africa
2016,90.0,86.0,76.0,76.0,,76.0,86.0,85.0,63.0,77.0,,73.0,Eastern & Southern Africa
2015,83.0,91.0,85.0,85.0,,85.0,91.0,86.0,59.0,85.0,,85.0,Eastern & Southern Africa
2014,93.0,88.0,85.0,85.0,,85.0,,84.0,55.0,85.0,,85.0,Eastern & Southern Africa
2013,88.0,81.0,81.0,73.0,,79.0,,78.0,50.0,77.0,,77.0,Eastern & Southern Africa
2012,86.0,72.0,71.0,70.0,,69.0,,79.0,53.0,75.0,,74.0,Eastern & Southern Africa
2011,84.0,80.0,75.0,76.0,,71.0,,77.0,54.0,62.0,,67.0,Eastern & Southern Africa
2010,81.0,80.0,77.0,71.0,,72.0,,72.0,55.0,58.0,,60.0,Eastern & Southern Africa
2009,82.0,81.0,81.0,74.0,,77.0,,77.0,63.0,10.0,,17.0,Eastern & Southern Africa
2008,84.0,93.0,82.0,76.0,,80.0,,73.0,54.0,,,,Eastern & Southern Africa
2007,79.0,95.0,85.0,83.0,,84.0,,68.0,49.0,,,,Eastern & Southern Africa
2006,79.0,94.0,84.0,83.0,,84.0,,69.0,53.0,,,,Eastern & Southern Africa
2005,76.0,83.0,81.0,79.0,,82.0,,64.0,48.0,,,,Eastern & Southern Africa
2004,78.0,80.0,74.0,76.0,,75.0,,63.0,51.0,,,,Eastern & Southern Africa
2003,81.0,77.0,69.0,71.0,,69.0,,62.0,52.0,,,,Eastern & Southern Africa
2002,84.0,80.0,70.0,72.0,,70.0,,65.0,46.0,,,,Eastern & Southern Africa
2001,86.0,82.0,71.0,72.0,,71.0,,69.0,54.0,,,,Eastern & Southern Africa
2000,89.0,85.0,73.0,73.0,,73.0,,72.0,62.0,,,,Eastern & Southern Africa
1999,92.0,88.0,74.0,73.0,,,,75.0,,,,,Eastern & Southern Africa
1998,94.0,90.0,75.0,74.0,,,,79.0,,,,,Eastern & Southern Africa
1997,97.0,93.0,76.0,74.0,,,,82.0,,,,,Eastern & Southern Africa
1996,95.0,90.0,73.0,,,,,76.0,,,,,Eastern & Southern Africa
1995,95.0,89.0,72.0,,,,,76.0,,,,,Eastern & Southern Africa
1994,95.0,90.0,73.0,,,,,76.0,,,,,Eastern & Southern Africa
1993,95.0,93.0,81.0,,,,,85.0,,,,,Eastern & Southern Africa
1992,66.0,92.0,79.0,,,,,85.0,,,,,Eastern & Southern Africa
1991,63.0,93.0,81.0,,,,,85.0,,,,,Eastern & Southern Africa
1990,57.0,89.0,72.0,,,,,79.0,,,,,Eastern & Southern Africa
1989,73.0,88.0,71.0,,,,,84.0,,,,,Eastern & Southern Africa
1988,55.0,88.0,70.0,,,,,68.0,,,,,Eastern & Southern Africa
1987,64.0,89.0,72.0,,,,,75.0,,,,,Eastern & Southern Africa
1986,61.0,88.0,70.0,,,,,64.0,,,,,Eastern & Southern Africa
1985,70.0,91.0,75.0,,,,,70.0,,,,,Eastern & Southern Africa
1984,67.0,91.0,75.0,,,,,70.0,,,,,Eastern & Southern Africa
1983,71.0,90.0,74.0,,,,,74.0,,,,,Eastern & Southern Africa
1982,,,,,,,,,,,,,Eastern & Southern Africa
1981,,,,,,,,,,,,,Eastern & Southern Africa
1980,,,,,,,,,,,,,Eastern & Southern Africa
